;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; VH-TAA ;Airbus A300B4-203;; 16 Jun 1989 ; 31 Oct 1993 ;VH-TAA Qantas ;;;
; VH-TAB ;Airbus A300B4-2C;; 4 Aug 1986 ; 28 Mar 1987 ;JA8263 TDA - Toa Domestic Airlines ;;;
; VH-TAC ;Airbus A300B4-203;; 4 Aug 1986 ; 31 Oct 1993 ;VH-TAC Qantas ;;;
; VH-TAD ;Airbus A300B4-203;; 4 Aug 1986 ; 31 Oct 1993 ;VH-TAD Qantas ;;;
; VH-TAE ;Airbus A300B4-203;; 4 Aug 1986 ; 31 Oct 1993 ;VH-TAE Qantas ;;;
; VH-TAF ;Boeing 737-376; F12C36Y60 ; 3 Oct 1986 ; 31 Oct 1993 ;VH-TAF Qantas ;;;
; VH-TAG ;Boeing 737-376; F12C36Y60 ; 25 Jul 1986 ; 31 Oct 1993 ;VH-TAG Qantas ;Advance ;;
; VH-TAH ;Boeing 737-376; F12C36Y60 ; 11 Aug 1986 ; 31 Oct 1993 ;VH-TAH Qantas ;Adventure ;;
; VH-TAI ;Boeing 737-376; F12C36Y60 ; 22 Aug 1986 ; 31 Oct 1993 ;VH-TAI Qantas ;Boldness ;;
; VH-TAJ ;Boeing 737-376; F12C36Y60 ; 6 Sep 1986 ; 31 Oct 1993 ;VH-TAJ Qantas ;Challenge ;;
; VH-TAK ;Boeing 737-376; F12C36Y60 ; 3 Nov 1986 ; 31 Oct 1993 ;VH-TAK Qantas ;Daring ;;
; VH-TAU ;Boeing 737-376; F12C36Y60 ; 1 Dec 1986 ; 31 Oct 1993 ;VH-TAU Qantas ;Enterprise ;;
; VH-TAV ;Boeing 737-376; F12C36Y60 ; 12 Dec 1986 ; 31 Oct 1993 ;VH-TAV Qantas ;Intrepid ;;
; VH-TAW ;Boeing 737-376; F12C36Y60 ; 6 Apr 1987 ; 31 Oct 1993 ;VH-TAW Qantas ;Progress ;;
; VH-TAX ;Boeing 737-376; F12C36Y60 ; 29 Sep 1990 ; 31 Oct 1993 ;VH-TAX Qantas ;Success ;;
; VH-TAY ;Boeing 737-376; F12C36Y60 ; 21 Jun 1987 ; 31 Oct 1993 ;VH-TAY Qantas ;Valiant ;;
; VH-TAZ ;Boeing 737-376; F12C36Y60 ; 21 Jun 1987 ; 31 Oct 1993 ;VH-TAZ Qantas ;Victory ;;
; VH-TJA ;Boeing 737-376; F12C24Y78 ; 15 Dec 1988 ; 31 Oct 1993 ;VH-TJA Qantas ;Resolute ;;
; VH-TJB ;Boeing 737-376; F12C24Y78 ; 21 Dec 1988 ; 31 Oct 1993 ;VH-TJB Qantas ;Guadalcanal ;;
; VH-TJC ;Boeing 737-376; F12C24Y78 ; 11 Jul 1989 ; 31 Oct 1993 ;VH-TJC Qantas ;Endeavour ;;
; VH-TJD ;Boeing 737-376; F12C24Y78 ; 29 Aug 1989 ; 31 Oct 1993 ;VH-TJD Qantas ;Gallant ;;
; VH-TJE ;Boeing 737-476;; 26 Feb 1990 ; 31 Oct 1993 ;VH-TJE Qantas ;;;
