;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; TG-RYM ;ATR 42-300;; 23 Dec 2006 ; 17 Aug 2012 ;N283CS GECAS ;lsd ;;
; TG-TRA ;ATR 42-300(QC);; 7 Mar 2009 ; 12 Oct 2015 ;D-BCCC Flair Aviation ;;;
; TG-TRB ;ATR 42-300(QC);; 7 Mar 2009 ; 31 May 2017 ;2-WFBA WFBN Wells Fargo Bank Northwest ;;;
; TG-ARA ;BAC 1-11-518FG One-Eleven;; 23 Nov 1970 ; 6 Apr 1971 ;G-AXMK Court Line ;lsf Court Line ;;
; TG-AVA ;BAC 1-11-518FG One-Eleven;; 4 Sep 1975 ; 27 Apr 1979 ;LV-MRZ Austral Líneas Aéreas ;Zaculeu ;;
; TG-AYA ;BAC 1-11-523FJ One-Eleven;; 21 Apr 1978 ; 29 May 1978 ;VR-CAL Cayman Airways ;lsf British Aircraft Corporation (BAC) ;;
; TG-AZA ;BAC 1-11-516FP One-Eleven;; 25 Mar 1971 ; 7 Jul 1980 ;RP-C1193 Philippine Airlines ;Quetzal ;;
; N5607 ;Boeing 727-051(F); Cargo ; Jan 1987 ; Feb 1989 ;N5607 Amerijet International ;lsf Amerijet International ;;
; N121GU ;Boeing 737-2H6(A);; Dec 2003 ; 30 Apr 2004 ;N121GU Sky Airline ;;;
; N122GU ;Boeing 737-2H6(A);; 20 Dec 1995 ; 1 Apr 2003 ;CC-CTO Sky Airline ;lsd ;;
; N123GU ;Boeing 737-2H6(A); Y125 ; Nov 1993 ; Dec 2002 ; Stored ;lsd ;;
; N125GU ;Boeing 737-2H6(A); Y125 ; 1 Jan 1994 ; 10 Aug 1995 ; Written Off ;lsf TACA International Airlines ;;
; N126GU ;Boeing 737-2H6(A);; 15 Dec 1995 ; Apr 2003 ;CC-CTU Sky Airline ;lsd ;;
; N127GU ;Boeing 737-242(A);; 14 Sep 1995 ; 1 Nov 2004 ;EX-047 Phoenix Aviation ;lsd ;;
; N236TA ;Boeing 737-244;; May 1992 ; Jul 1992 ;N236TA TACA International Airlines ;lsf TACA International Airlines ;;
; N238TA ;Boeing 737-242(A);; 1 Dec 1991 ; 8 Sep 1992 ;N238TA TACA International Airlines ;lsf TACA International Airlines ;;
; N239TA ;Boeing 737-25A(A);; 9 Mar 1992 ; Apr 1992 ;N239TA TACA International Airlines ;;;
; N4501W ;Boeing 737-247;; 7 Jun 1990 ; 7 Apr 1994 ;N4501W Viscount Air Service ;lsd ;;
; N4516W ;Boeing 737-247;; 1 Aug 1992 ; 9 Oct 1992 ;N4516W TACA International Airlines ;lsd ;;
; ZK-NAR ;Boeing 737-219(A);; 11 Apr 1994 ; 11 Jul 1994 ;N237TA TACA International Airlines ;lsd ;;
; G-DHSW ;Boeing 737-3Y0;; 5 Nov 1989 ; 21 Mar 1990 ;G-DHSW Monarch Airlines ;lsf Monarch Airlines ;;
; G-MONF ;Boeing 737-3Y0;; 11 Nov 1989 ; 22 Mar 1990 ;G-MONF Monarch Airlines ;lsf Monarch Airlines ;;
; N101GU ;Boeing 737-3Q8;; 9 Mar 1990 ; 30 Mar 1994 ;VH-NJE National Jet Systems ;lsd ;;
; N102GU ;Boeing 737-3Q8;; 20 Mar 1990 ; 16 May 1996 ;SP-LMB LOT - Polish Airlines ;lsd ;;
; N103GU ;Boeing 737-3Q8;; Aug 1993 ; 7 Mar 1994 ;N687SW Southwest Airlines ;lsd ;;
; N375TA ;Boeing 737-3S3;; 22 Sep 1995 ; 6 Mar 1996 ;N375TA Western Pacific Airlines ;lsd ;;
; N75356 ;Boeing 737-3T0;; 30 Oct 1989 ; 16 Apr 1991 ;N319AW America West Airlines ;;;
; N841LF ;Boeing 737-3S3(SF); Cargo ; 31 Dec 1992 ; 14 Aug 1994 ;D-ABWS Lufthansa Cargo ;104, lsd ;;
; N851LF ;Boeing 737-3S3;; 22 Feb 1992 ; 8 Apr 1992 ;5W-FAX Polynesian Airlines ;lsf TACA International Airlines ;;
; N30UA ;Douglas DC-8-61;; Nov 1988 ; Jan 1989 ;N30UA Trans International Airlines ;lsf Trans International Airlines ;;
