;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; VP-BIR ;Boeing 737-8Q8(WL); Y189 ; 8 Jun 2017 ; Parked, lsd, ANEX Tour cs ; 23.6 Years ;;
; VP-BYD ;Boeing 737-89L(WL); Y189 ; 17 Aug 2017 ;lsd ; 21.7 Years ;;
; VQ-BAL ;Boeing 737-8Q8; Y189 ; 13 Mar 2018 ;lsd ; 23.6 Years ;;
; VQ-BYO ;Boeing 737-9GPER(WL); Y215 ; 20 Dec 2018 ;lsd ; 14.6 Years ;;
; VQ-BYX ;Boeing 737-9GPER(WL); Y215 ; 2 Nov 2018 ;lsd ; 14.2 Years ;;
; RA-73029 ;Boeing 757-2K2(WL); C72 ; Jun 2021 ; Parked, Lujo Hotel cs ; 25.7 Years ;;
; VP-BIS ;Boeing 757-2Q8; Y238 ; 5 Jun 2020 ; Parked, lsd ; 21 Years ;;
; VP-BLV ;Boeing 757-28A; Y238 ; 24 Dec 2014 ;lsd ; 21.9 Years ;;
; VP-BPB ;Boeing 757-231(WL); Y238 ; 4 Mar 2015 ; Parked, lsd ; 23.4 Years ;;
; VP-BYC ;Boeing 757-231; Y238 ; 5 Apr 2017 ;; 22.5 Years ;;
; VQ-BEY ;Boeing 757-2Q8(WL); Y238 ; 24 Dec 2014 ;lsd ; 19.9 Years ;;
; VQ-BEZ ;Boeing 757-2Q8(WL); Y238 ; 16 Dec 2014 ;lsd ; 23 Years ;;
; VQ-BKB ;Boeing 757-2Q8(WL); Y238 ; 19 Jan 2015 ;lsd ; 28.1 Years ;;
; VQ-BKF ;Boeing 757-2Q8(WL); Y238 ; 20 Jan 2015 ;lsd ; 28.2 Years ;;
; VQ-BQA ;Boeing 757-2Q8; Y238 ; 4 Feb 2015 ;lsd ; 21.1 Years ;;
; RA-73030 ;Boeing 767-3Q8ER; Y336 ; 14 Jul 2018 ;; 30.7 Years ;;
; RA-73032 ;Boeing 767-306ER; Y336 ; 17 Sep 2020 ;; 24.8 Years ;;
; RA-73034 ;Boeing 767-306ER; Y336 ; Oct 2020 ;; 25.1 Years ;;
; VP-BRA ;Boeing 767-33AER; Y336 ; 12 May 2019 ;; 22.1 Years ;;
; VP-BUV ;Boeing 767-3Q8ER; Y336 ; 22 Jul 2016 ;lsd ; 31 Years ;;
; VP-BUX ;Boeing 767-3Y0ER(WL); Y336 ; 19 Aug 2016 ;lsd ; 31.1 Years ;;
; VP-BUY ;Boeing 767-3Y0ER; Y336 ; 31 Oct 2016 ; Parked, lsd ; 30.2 Years ;;
; VP-BXW ;Boeing 767-3Q8ER(WL); Y336 ; 24 Apr 2015 ; Parked, lsd ; 23.3 Years ;;
; VQ-BEN ;Boeing 767-33AER(WL); Y336 ; 21 Feb 2019 ;lsd ; 20.5 Years ;;
; VQ-BEO ;Boeing 767-33AER(WL); Y336 ; 7 May 2019 ;lsd ; 20.4 Years ;;
; VQ-BUO ;Boeing 767-33AER; Y336 ; 1 Nov 2018 ;lsd ; 26.6 Years ;;
; VQ-BUP ;Boeing 767-33AER; Y336 ; 30 May 2015 ;lsd ; 23.1 Years ;;
; VQ-BTK ;Boeing 777-3ZGER; C37W24Y278 ; 29 Sep 2021 ;lsd, Lujo Hotel cs ; 13.1 Years ;;
; VQ-BXJ ;Boeing 777-367ER; F6C53W34Y182 ; 21 Jul 2021 ; Parked, lsd ; 13.8 Years ;;
; VQ-BXK ;Boeing 777-367ER; C7Y524 ; Due ; Stored, lsd ; 14.3 Years ;;
; VQ-BZA ;Boeing 777-31HER; C7Y524 ; 9 Nov 2018 ;lsd ; 15.4 Years ;;
; VQ-BZB ;Boeing 777-3Q8ER;; Due ; Stored, lsd ; 12.8 Years ;;
; VQ-BZC ;Boeing 777-31HER; C7Y524 ; 19 May 2019 ;lsd ; 15 Years ;;
; VQ-BZF ;Boeing 777-367ER; C7Y524 ; 10 Nov 2020 ;lsd ; 14 Years ;;
; VQ-BZY ;Boeing 777-31HER; C7Y524 ; 6 Jun 2018 ;lsd, Azur Bear cs ; 16.8 Years ;;
