;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; PR-BRB ;Boeing 737-3Q4; Y148 ; Oct 2001 ; Nov 2007 ;PR-BRB OceanAir ;lsd ;;
; PR-BRD ;Boeing 737-3M8; Y148 ; 15 Nov 2002 ; 1 Apr 2008 ;PR-BRD OceanAir ;;;
; PR-BRE ;Boeing 737-3K9;; 16 Dec 2001 ; May 2004 ;CS-TLL EuroAtlantic Airways ;lsf EuroAtlantic Airways ;;
; PR-BRF ;Boeing 737-341;; 25 Jul 2003 ; 3 Feb 2008 ;PR-WJC Webjet Linhas Aereas ;;;
; PR-BRG ;Boeing 737-341; Y148 ; 15 Aug 2003 ; 7 Nov 2007 ;PR-WJB Webjet Linhas Aereas ;lsd ;;
; PR-BRK ;Boeing 737-3S3; Y148 ; 10 Dec 2005 ; 15 Feb 2008 ;PR-BRK OceanAir ;lsd ;;
; PR-BRY ;Boeing 737-33A;; 11 Jan 2004 ; 30 Jul 2008 ;N238MQ EAST ;lsf EuroAtlantic Airways ;;
; PR-GLK ;Boeing 737-322;; 13 Feb 2009 ; 11 Apr 2010 ;PR-GLK Puma Linhas Aereas ;lsd ;;
; PR-BRC ;Boeing 737-46B; Y170 ; 11 Jul 2002 ; 7 Nov 2007 ;N252MQ Macquarie AirFinance ;lsd ;;
; PR-BRH ;Boeing 737-4Y0; Y170 ; 26 May 2004 ; 6 Nov 2007 ;N524MT GECAS ;lsd ;;
; PR-BRI ;Boeing 737-4Y0;; 4 Dec 2004 ; 23 Jun 2007 ;EC-KGM Futura ;lsd ;;
; PR-BRV ;Boeing 767-231;; 23 Jun 2006 ; 7 Nov 2007 ;N606TW AAR Corporation ;lsd ;;
; PR-BRW ;Boeing 767-33AER;; 24 Sep 2004 ; 7 Nov 2007 ;PR-BRW OceanAir ;lsd ;;
