;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; HB-IPK ;Airbus A310-322;; 21 Mar 1986 ; 1 Jan 1993 ;HB-IPK BalairCTA ;;;
; HB-IPL ;Airbus A310-325;; 27 Apr 1992 ; 1 Jan 1993 ;HB-IPL BalairCTA ;;;
; HB-IPM ;Airbus A310-325;; 30 Apr 1992 ; 1 Jan 1993 ;HB-IPM BalairCTA ;lsd ;;
; HB-ICH ;Convair CV-990-30A-6; Y136 ; 28 Mar 1968 ; 30 Mar 1971 ;HB-ICH Swissair ;lsf Swissair ;;
; HB-IDU ;Douglas DC-8-55CF Jet Trader;; 2 Apr 1971 ; 4 Oct 1979 ;N9110V Libyan Airlines ;;;
; HB-IDH ;Douglas DC-8-62CF;; 1 Apr 1976 ; 28 Dec 1981 ;FAP371 Peruvian Air Force ;lsf Swissair ;;
; HB-IDZ ;Douglas DC-8-63PF;; Nov 1973 ; 10 Dec 1985 ;N874UP United Parcel Service (UPS) ;;;
; HB-IHK ;McDonnell Douglas DC-10-30;; 31 Jan 1979 ; 10 May 1992 ;PH-MCO Martinair Holland ;;;
; HB-IDN ;McDonnell Douglas DC-9-33CF;; 17 Apr 1970 ; 7 Nov 1976 ;N7465B McDonnell Douglas ;;;
; HB-IDT ;McDonnell Douglas DC-9-34;; 3 Nov 1976 ; 21 Jan 1985 ;N936L Ozark Airlines ;;;
; HB-IFZ ;McDonnell Douglas DC-9-32;; 1 Apr 1988 ; 2 Jun 1988 ;N985US Northwest Airlines ;;;
; HB-INB ;McDonnell Douglas MD-82 (DC-9-82);; Oct 1990 ; 1 Jan 1993 ;HB-INB BalairCTA ;;;
; HB-INR ;McDonnell Douglas MD-82 (DC-9-82);; 1 Feb 1985 ; 1 Jan 1993 ;HB-INR BalairCTA ;;;
; HB-INW ;McDonnell Douglas MD-82 (DC-9-82);; 18 Sep 1987 ; 1 Jan 1993 ;HB-INW BalairCTA ;;;
; HB-ISZ ;McDonnell Douglas MD-83 (DC-9-83);; 20 Jun 1990 ; 1 Jan 1993 ;HB-ISZ BalairCTA ;;;
