;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; VN-A581 ;Airbus A319-132; C8Y126 ; 31 Jan 2019 ;lsd ;; 16.5 Years ;;
; VN-A582 ;Airbus A320-232; C8Y162 ; 1 May 2019 ;lsd ;; 15.1 Years ;;
; VN-A583 ;Airbus A320-232; C16Y120 ; 1 Oct 2019 ;lsd ;; 12.8 Years ;;
; VN-A584 ;Airbus A320-232; C8Y162 ; 1 Oct 2019 ;lsd ;; 15.1 Years ;;
; VN-A586 ;Airbus A320-232; C8Y162 ; 23 Jan 2019 ;lsd ;; 15.4 Years ;;
; VN-A587 ;Airbus A320-232; C8Y162 ; 27 Sep 2019 ;lsd ;; 15.2 Years ;;
; VN-A595 ;Airbus A320-232; C8Y162 ; 18 Nov 2019 ;lsd ;; 14 Years ;;
; VN-A226 ;Airbus A320-251N; C8Y168 ; 31 Mar 2021 ;lsd ;; 1 Years ;;
; VN-A592 ;Airbus A320-251N; C8Y162 ; 20 Dec 2019 ;lsd ;; 2.2 Years ;;
; VN-A593 ;Airbus A320-251N; C8Y162 ; 21 Nov 2019 ;lsd ;; 2.3 Years ;;
; VN-A596 ;Airbus A320-251N; C8Y168 ; 30 Oct 2019 ;lsd, Fly Green cs ;; 2.3 Years ;;
; VN-A598 ;Airbus A320-251N; C8Y168 ; 29 Nov 2019 ;lsd ;; 2.3 Years ;;
; VN-A599 ;Airbus A320-251N; C8Y168 ; 30 Dec 2019 ;lsd ;; 2.2 Years ;;
; VN-A585 ;Airbus A321-211; C8Y184 ; 21 Oct 2019 ;lsd ;; 10 Years ;;
; VN-A594 ;Airbus A321-211; C8Y184 ; 19 Dec 2019 ;lsd ;; 10 Years ;;
; VN-A597 ;Airbus A321-211; C8Y184 ; 31 Oct 2019 ;lsd ;; 9.5 Years ;;
; VN-A222 ;Airbus A321-251NX; C8Y215 ; 6 Feb 2021 ;lsd, "Hãng hàng không của sự hiếu khách (The airline of hospitality)" sticker ;; 1.4 Years ;;
; VN-A228 ;Airbus A321-251NX;; On Order ;;; 0.7 Years ;;
; VN-A588 ;Airbus A321-251N; C8Y188 ; 28 Dec 2018 ;lsd, "1st A321neo" sticker ;; 3.3 Years ;;
; VN-A589 ;Airbus A321-251N; C16Y182 ; 24 Apr 2019 ;lsd ;; 3.8 Years ;;
; VN-A590 ;Airbus A321-251N; C16Y182 ; 16 Aug 2019 ;lsd, First 1 million passenger cs ;; 3.6 Years ;;
; VN-A591 ;Airbus A321-251N; C16Y182 ; 11 Apr 2019 ;lsd ;; 3.6 Years ;;
; VN-A818 ;Boeing 787-9 Dreamliner; C26W21Y247 ; 14 Jan 2020 ;lsd ; Sam Son Beach ; 2.3 Years ;;
; VN-A819 ;Boeing 787-9 Dreamliner; C26W21Y247 ; 19 Dec 2019 ;lsd, "1st 787" sticker ; Ha Long Bay ; 2.3 Years ;;
; VN-A828 ;Boeing 787-9 Dreamliner; C30W36Y226 ; Due ; Stored, lsd ; Quang Ngai City ; 3.4 Years ;;
; VN-A829 ;Boeing 787-9 Dreamliner; C30W36Y226 ; 18 Jan 2020 ;lsd ; Quy Nhon City ; 3.5 Years ;;
; VN-A260 ;Embraer ERJ-190LR (ERJ-190-100 LR); C6Y92 ; 31 Aug 2021 ;lsd ;; 10 Years ;;
; VN-A261 ;Embraer ERJ-190LR (ERJ-190-100 LR); C6Y92 ; 29 Jun 2021 ;lsd ;; 9 Years ;;
; VN-A262 ;Embraer ERJ-190LR (ERJ-190-100 LR); C6Y92 ; 5 Oct 2021 ;lsd ;; 9 Years ;;
; VN-A266 ;Embraer ERJ-190LR (ERJ-190-100 LR); C6Y92 ; 25 Jan 2021 ;lsd ;; 9.5 Years ;;
; VN-A269 ;Embraer ERJ-190LR (ERJ-190-100 LR); C6Y92 ; 17 May 2021 ;lsd ;; 9.1 Years ;;
