;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; HS-PGN ;Airbus A319-132; Y144 ; 23 Jan 2009 ; Parked, lsd ; Luang Prabang ; 13.1 Years ;;
; HS-PGT ;Airbus A319-132; Y144 ; 5 Mar 2008 ; Parked, lsd ; Sukhothai ; 14 Years ;;
; HS-PGX ;Airbus A319-132; Y144 ; 10 Mar 2008 ; Parked, lsd ; Hiroshima ; 14 Years ;;
; HS-PGY ;Airbus A319-132; Y144 ; 7 Apr 2008 ; Parked, lsd ; Angkor Wat ; 13.9 Years ;;
; HS-PGZ ;Airbus A319-132; Y144 ; 13 Nov 2008 ; Parked, lsd ; Phnom Penh ; 13.3 Years ;;
; HS-PPB ;Airbus A319-132; Y144 ; 30 Nov 2011 ;lsd ; Bangkok ; 16.2 Years ;;
; HS-PPC ;Airbus A319-132; Y144 ; 9 Mar 2012 ; Parked, lsd ; Chiang Mai ; 16.1 Years ;;
; HS-PPF ;Airbus A319-132; Y144 ; 11 May 2013 ;lsd ;; 16.2 Years ;;
; HS-PPG ;Airbus A319-132; Y144 ; 21 May 2013 ;lsd ;; 16.2 Years ;;
; HS-PPR ;Airbus A319-132; Y144 ; 21 Jul 2017 ;lsd ;; 16.8 Years ;;
; HS-PPS ;Airbus A319-132; Y144 ; 5 Jul 2017 ;lsd ;; 17.1 Years ;;
; HS-PPT ;Airbus A319-132; Y144 ; 8 Jul 2018 ; Parked, lsd ;; 14 Years ;;
; HS-PPU ;Airbus A319-132; Y144 ; 17 Jan 2019 ;lsd ;; 13.4 Years ;;
; HS-PGU ;Airbus A320-232; Y162 ; 10 Sep 2004 ;lsd, Guilin cs ; Guilin ; 17.6 Years ;;
; HS-PGV ;Airbus A320-232; Y162 ; 26 Nov 2004 ; Parked, lsd ; Krabi ; 17.3 Years ;;
; HS-PGW ;Airbus A320-232; Y162 ; 30 Aug 2005 ;lsd ; Samui ; 16.6 Years ;;
; HS-PPD ;Airbus A320-232; Y162 ; 20 Dec 2012 ;lsd, Shopee cs ; Sawasdee Umphon ; 16.5 Years ;;
; HS-PPE ;Airbus A320-232; Y162 ; 24 Nov 2012 ; Parked, lsd ; Mahamongkoi ; 16.9 Years ;;
; HS-PPH ;Airbus A320-232; Y162 ; 7 Dec 2013 ; Parked, lsd, United for Wildlife cs ;; 15.8 Years ;;
; HS-PPJ ;Airbus A320-232; Y162 ; 20 Dec 2013 ; Parked, lsd ;; 17.1 Years ;;
; HS-PPK ;Airbus A320-232; Y162 ; 23 Jul 2014 ; Parked, lsd ;; 16.3 Years ;;
; HS-PPO ;Airbus A320-232;; 22 Dec 2016 ; Parked, lsd ;; 13.4 Years ;;
; HS-PZA ;ATR 72-600 (72-212A); Y70 ; 26 Nov 2014 ; Parked ;; 7.3 Years ;;
; HS-PZB ;ATR 72-600 (72-212A); Y70 ; 12 Feb 2015 ;;; 7.1 Years ;;
; HS-PZC ;ATR 72-600 (72-212A); Y70 ; 11 Sep 2015 ; Parked ;; 6.5 Years ;;
; HS-PZD ;ATR 72-600 (72-212A); Y70 ; 25 Dec 2015 ;;; 6.2 Years ;;
; HS-PZE ;ATR 72-600 (72-212A); Y70 ; 15 Jan 2016 ;;; 6.2 Years ;;
; HS-PZF ;ATR 72-600 (72-212A); Y70 ; 5 Apr 2016 ; Parked ;; 5.9 Years ;;
; HS-PZG ;ATR 72-600 (72-212A); Y70 ; 12 Aug 2016 ;;; 5.6 Years ;;
; HS-PZH ;ATR 72-600 (72-212A); Y70 ; 8 Apr 2017 ;Sea & Palm Tree cs ;; 5.3 Years ;;
; HS-PZJ ;ATR 72-600 (72-212A); Y70 ; 13 Apr 2017 ; Parked ;; 5 Years ;;
; HS-PZK ;ATR 72-600 (72-212A); Y70 ; 9 Dec 2018 ;;; 3.3 Years ;;
; HS-PZM ;ATR 72-600 (72-212A); Y70 ; 27 Dec 2018 ;;; 3.4 Years ;;
; HS-PZN ;ATR 72-600 (72-212A); Y70 ; 1 Apr 2019 ;;; 3.2 Years ;;
; HS-PZO ;ATR 72-600 (72-212A); Y70 ; 10 May 2019 ;;; 3 Years ;;
