;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; D-AMAP ;Airbus A300B4-103; Y315 ; 20 Feb 1978 ; 1 Jan 1979 ;D-AMAP Hapag-Lloyd ;;;
; D-AMAX ;Airbus A300B4-103; Y315 ; 1 Mar 1977 ; 1 Jan 1979 ;D-AMAX Hapag-Lloyd ;Maximilian ;;
; D-AMAY ;Airbus A300B4-103; Y315 ; 1 Mar 1977 ; 1 Jan 1979 ;D-AMAY Hapag-Lloyd ;Ludwig II. ;;
; D-AMAZ ;Airbus A300B4-103; Y315 ; 2 May 1977 ; 10 May 1977 ;D-AMAZ EgyptAir ;;;
; D-AISY ;BAC 1-11-414EG One-Eleven;; 1 Mar 1977 ; 28 Nov 1977 ;HZ-MF1 Aravco ;;;
; D-ALLI ;BAC 1-11-413FA One-Eleven;; May 1977 ; 25 Jun 1978 ;DQ-FCR Air Pacific ;;;
; D-ANNO ;BAC 1-11-414EG One-Eleven;; 1 Mar 1977 ; 15 Nov 1977 ;G-BFMC Ford Air ;;;
; D-ALFA ;BAC 1-11-528FL One-Eleven;; 1 Mar 1977 ; 1 Jan 1979 ;D-ALFA Hapag-Lloyd ;;;
; D-AMAM ;BAC 1-11-515FB One-Eleven;; 1 Mar 1977 ; 1 Jan 1979 ;D-AMAM Hapag-Lloyd ;;;
; D-AMAS ;BAC 1-11-515FB One-Eleven; Y114 ; 1 Mar 1977 ; 1 Jan 1979 ;D-AMAS Hapag-Lloyd ;;;
; D-AMAT ;BAC 1-11-524FF One-Eleven; Y114 ; 1 Mar 1977 ; 1 Jan 1979 ;D-AMAT Hapag-Lloyd ;;;
; D-AMOR ;BAC 1-11-524FF One-Eleven; Y114 ; 1 Mar 1977 ; 1 Jan 1979 ;D-AMOR Hapag-Lloyd ;;;
; D-AMUC ;BAC 1-11-528FL One-Eleven;; 1 Mar 1977 ; 1 Jan 1979 ;D-AMUC Hapag-Lloyd ;;;
; D-ANUE ;BAC 1-11-528FL One-Eleven;; 1 Mar 1977 ; 1 Jan 1979 ;D-ANUE Hapag-Lloyd ;;;
