;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; D-AILY ;BAC 1-11-414EG One-Eleven;; 26 Feb 1970 ; 6 Dec 1975 ;N123H Hilton Hotels ;Dominikus Zimmermann ;;
; D-AISY ;BAC 1-11-414EG One-Eleven;; 22 Apr 1970 ; 1 Mar 1977 ;D-AISY Bavaria Germanair ;;;
; D-ALLI ;BAC 1-11-413FA One-Eleven;; 17 Apr 1969 ; 13 Nov 1975 ;D-ALLI Gulf Air ;Morits von Schwind ;;
; D-ANDY ;BAC 1-11-414EG One-Eleven;; 29 Dec 1967 ; 19 Aug 1971 ;G-AZED Dan-Air London ;;;
; D-ANNO ;BAC 1-11-414EG One-Eleven;; 22 Dec 1970 ; 1 Mar 1977 ;D-ANNO Bavaria Germanair ;Carl Spitzweg ;;
; G-AVEJ ;BAC 1-11-402AP One-Eleven;; 23 Mar 1967 ; 28 Nov 1967 ;PI-C1141 Philippine Airlines ;lsf British Aircraft Corporation (BAC) ;;
; G-AYHM ;BAC 1-11-402AP One-Eleven;; 1 Aug 1970 ; 4 Jan 1971 ;G-AYHM British Aircraft Corporation (BAC) ;lsf British Aircraft Corporation (BAC) ;;
; D-ALFA ;BAC 1-11-528FL One-Eleven;; 26 Feb 1971 ; 1 Mar 1977 ;D-ALFA Bavaria Germanair ;Jakob Fugger ;;
; D-AMUC ;BAC 1-11-528FL One-Eleven;; 3 Dec 1970 ; 1 Mar 1977 ;D-AMUC Bavaria Germanair ;;;
; D-ANUE ;BAC 1-11-528FL One-Eleven;; 15 Mar 1972 ; 1 Mar 1977 ;D-ANUE Bavaria Germanair ;Albrecht Dürer ;;
; G-AXMG ;BAC 1-11-518FG One-Eleven;; 30 Apr 1976 ; 29 Oct 1976 ;G-AXMG Monarch Airlines ;lsd ;;
; D-BEBE ;Handley Page HPR-7 Herald 213; Y50 ; 29 Mar 1965 ; 30 Nov 1970 ;G-AYMG British Island Airways ;Herald of Bavaria ;;
; D-BIBI ;Handley Page HPR-7 Herald 213; Y50 ; 1 May 1964 ; 22 Jun 1967 ;G-AVPN Handley Page Leasing ;;;
; D-BOBO ;Handley Page HPR-7 Herald 201; Y50 ; 18 Apr 1966 ; 14 Oct 1968 ;G-ATHE Handley Page ;Herald of the Alps, lsd ;;
