;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; B-6178 ;Airbus A319-132; Y144 ; 4 May 2010 ; Parked, lsd ; 13.7 Years ;;
; B-6179 ;Airbus A319-132; Y144 ; 4 May 2010 ;lsd ; 13.7 Years ;;
; B-6180 ;Airbus A319-132; Y144 ; 4 May 2010 ;; 13.7 Years ;;
; B-6181 ;Airbus A319-132; Y144 ; 4 May 2010 ; Parked XIY, lsd ; 13.7 Years ;;
; B-6182 ;Airbus A319-132; Y144 ; 4 May 2010 ;; 13.6 Years ;;
; B-6210 ;Airbus A319-115; Y138 ; 4 May 2010 ; Parked HAK, lsd ; 16.5 Years ;;
; B-6211 ;Airbus A319-115; Y138 ; 4 May 2010 ; Parked PKX, lsd ; 16.4 Years ;;
; B-6215 ;Airbus A319-112; Y138 ; 4 May 2010 ;lsd ; 16.2 Years ;;
; B-6245 ;Airbus A319-133; Y144 ; 4 May 2010 ;lsd ; 12.9 Years ;;
; B-6400 ;Airbus A319-132; Y144 ; 4 May 2010 ; Parked YIH ; 12.7 Years ;;
; B-6401 ;Airbus A319-132; Y144 ; 4 May 2010 ; Parked XIY ; 12.5 Years ;;
; B-6402 ;Airbus A319-132; Y144 ; 4 May 2010 ;; 12.4 Years ;;
; B-6403 ;Airbus A319-132; Y138 ; 4 May 2010 ; Parked YIH ; 12.3 Years ;;
; B-6405 ;Airbus A319-132; Y144 ; 4 May 2010 ; Parked XIY ; 12.3 Years ;;
; B-6415 ;Airbus A319-133; Y138 ; 8 Dec 2010 ; Parked YIH ; 11.3 Years ;;
; B-6416 ;Airbus A319-133; Y138 ; 8 Dec 2010 ;; 11.3 Years ;;
; B-1603 ;Airbus A320-214(WL); Y174 ; 24 Oct 2014 ;; 7.4 Years ;;
; B-1621 ;Airbus A320-232(WL); Y180 ; 23 Sep 2014 ;lsd, vip.com cs ; 7.7 Years ;;
; B-1622 ;Airbus A320-232(WL); Y180 ; 25 Sep 2014 ;lsd ; 7.6 Years ;;
; B-1623 ;Airbus A320-232(WL); Y180 ; 4 Dec 2014 ;lsd ; 7.5 Years ;;
; B-1642 ;Airbus A320-232(WL); Y174 ; 21 Jan 2015 ;lsd, Babitu cs ; 7.2 Years ;;
; B-1643 ;Airbus A320-232(WL); Y174 ; 16 Feb 2015 ;lsd ; 7 Years ;;
; B-1691 ;Airbus A320-232(WL); Y174 ; 12 May 2015 ; Parked, lsd ; 6.9 Years ;;
; B-1809 ;Airbus A320-214(WL); Y174 ; 18 Feb 2014 ;lsd ; 8 Years ;;
; B-1810 ;Airbus A320-214(WL); Y174 ; 13 Jun 2014 ;lsd ; 7.7 Years ;;
; B-1811 ;Airbus A320-214(WL); Y174 ; 11 Jul 2014 ;lsd ; 7.7 Years ;;
; B-6709 ;Airbus A320-232; Y174 ; 19 Aug 2010 ;lsd ; 11.6 Years ;;
; B-6710 ;Airbus A320-232; Y174 ; 30 Sep 2010 ;lsd ; 11.4 Years ;;
; B-6723 ;Airbus A320-232; Y174 ; 3 Nov 2010 ; Parked XIY, lsd ; 11.4 Years ;;
; B-6725 ;Airbus A320-232; Y174 ; 5 Nov 2010 ;lsd, Meizhou Pomelo cs ; 11.4 Years ;;
; B-6726 ;Airbus A320-232; Y174 ; 30 Nov 2010 ;lsd ; 11.3 Years ;;
; B-6727 ;Airbus A320-232; Y174 ; 9 Dec 2010 ; Parked XIY, lsd ; 11.3 Years ;;
; B-6746 ;Airbus A320-232; Y174 ; 18 Feb 2011 ; Parked XIY ; 11.1 Years ;;
; B-6747 ;Airbus A320-232; Y174 ; 2 Jun 2011 ; Parked XIY, lsd ; 10.9 Years ;;
; B-6748 ;Airbus A320-232; Y174 ; 24 Jun 2011 ;lsd ; 10.8 Years ;;
; B-6769 ;Airbus A320-214; Y174 ; 26 Apr 2012 ;; 9.9 Years ;;
; B-6795 ;Airbus A320-232; Y174 ; 4 Aug 2011 ;lsd ; 10.6 Years ;;
; B-6858 ;Airbus A320-214; Y174 ; 16 Dec 2014 ;lsd ; 10.1 Years ;;
; B-6859 ;Airbus A320-214; Y174 ; 3 Apr 2012 ;HNA Telecom (海航通信) cs ; 10 Years ;;
; B-6867 ;Airbus A320-214; C8Y144 ; 24 Apr 2013 ;lsd ; 8.9 Years ;;
; B-6869 ;Airbus A320-214(WL); Y174 ; 4 Jun 2013 ;lsd ; 8.8 Years ;;
; B-6898 ;Airbus A320-232; Y174 ; 28 Jun 2012 ;lsd ; 9.7 Years ;;
; B-6958 ;Airbus A320-214; C8Y144 ; 11 Jan 2013 ;lsd, Bestune T99 cs ; 9.2 Years ;;
; B-8072 ;Airbus A320-214(WL); Y180 ; 20 Aug 2015 ;; 6.7 Years ;;
; B-8170 ;Airbus A320-214(WL); Y180 ; 29 Dec 2015 ;; 6.3 Years ;;
; B-8171 ;Airbus A320-214(WL); Y180 ; 29 Dec 2015 ; Parked ; 6.2 Years ;;
; B-9961 ;Airbus A320-214(WL); Y174 ; 14 Nov 2013 ;lsd ; 8.3 Years ;;
; B-9962 ;Airbus A320-214(WL); Y174 ; 8 Dec 2014 ;lsd ; 8.5 Years ;;
; B-1245 ;Airbus A320-251N; Y180 ; 16 Nov 2018 ;lsd ; 3.3 Years ;;
; B-1246 ;Airbus A320-251N; Y180 ; 13 Nov 2018 ;lsd ; 3.3 Years ;;
