;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; EW-528PA ;Boeing 737-8 MAX; C12Y162 ; 7 Apr 2021 ; Parked MSQ, lsd ; 2.7 Years ;;
; EW-529PA ;Boeing 737-8 MAX; C12Y162 ; On Order ;lsd ; 2.6 Years ;;
; EW-546PA ;Boeing 737-8 MAX; C12Y162 ; On Order ;lsd ; 0.8 Years ;;
; EW-547PA ;Boeing 737-8 MAX; C12Y162 ; On Order ;lsd ; 0.3 Years ;;
; EW-551PA ;Boeing 737-8 MAX; C12Y162 ; On Order ;; 0.4 Years ;;
; EW-254PA ;Boeing 737-3Q8; Y148 ; 27 Jun 2008 ;lsd, World of Tanks cs ; 28.3 Years ;;
; EW-366PA ;Boeing 737-31S; Y148 ; 28 May 2013 ;lsd ; 24.4 Years ;;
; EW-407PA ;Boeing 737-36M; Y148 ; 24 May 2014 ; Parked, lsf Carpatair ; 25.6 Years ;;
; EW-455PA ;Boeing 737-8ZM(WL); Y189 ; 11 Aug 2016 ;; 5.6 Years ;;
; EW-456PA ;Boeing 737-8ZM(WL); Y189 ; 27 Sep 2016 ;; 5.4 Years ;;
; EW-457PA ;Boeing 737-8ZM(WL); Y189 ; 20 Dec 2016 ; Parked ; 5.2 Years ;;
; EW-527PA ;Boeing 737-82R(WL); Y189 ; 14 May 2019 ;lsd ; 10.9 Years ;;
; EW-544PA ;Boeing 737-8K5(WL); Y189 ; 20 Mar 2020 ;lsd ; 14 Years ;;
; EW-340PO ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 14 Sep 2012 ; Parked GYD, lsd ; 9.5 Years ;;
; EW-341PO ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 25 Oct 2012 ; Parked GYD, lsd ; 9.4 Years ;;
; EW-512PO ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 17 Apr 2018 ;; 3.9 Years ;;
; EW-531PO ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 19 Apr 2019 ; Parked GYD, lsd ; 3 Years ;;
; EW-554PO ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 4 Sep 2020 ; Parked GYD, lsd ; 1.5 Years ;;
; EW-399PO ;Embraer ERJ-195LR (ERJ-190-200 LR); C11Y96 ; 28 Apr 2014 ;; 7.9 Years ;;
; EW-400PO ;Embraer ERJ-195LR (ERJ-190-200 LR); C11Y96 ; 7 May 2014 ; Parked, World of Tanks cs ; 7.9 Years ;;
; EW-513PO ;Embraer ERJ-195LR (ERJ-190-200 LR); C11Y96 ; 11 May 2018 ;; 3.9 Years ;;
; EW-514PO ;Embraer ERJ-195LR (ERJ-190-200 LR); C11Y96 ; 28 Jun 2018 ;; 3.7 Years ;;
; EW-532PO ;Embraer ERJ-195LR (ERJ-190-200 LR); C11Y96 ; 18 Apr 2019 ; Parked GYD, lsd ; 3 Years ;;
; EW-533PO ;Embraer ERJ-195LR (ERJ-190-200 LR); C11Y96 ; 26 Apr 2019 ; Parked GYD, lsd ; 2.9 Years ;;
; EW-545PO ;Embraer ERJ-195LR (ERJ-190-200 LR); C11Y96 ; 13 Dec 2019 ; Parked GYD, lsd ; 2.2 Years ;;
