;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; 5N-BVU ;Airbus A300B4-622R;; 14 Nov 1997 ; 18 Apr 2000 ;VH-BWF Ansett Worldwide (AWAS) ;lsd ;;
; 5N-BFM ;Boeing 737-2L9(A); CY108 ; 20 Mar 2003 ;; Stored ;Fortitude ;;
; 5N-BFN ;Boeing 737-2L9(A);; 20 Mar 2003 ; 22 Oct 2005 ; Written Off ;;;
; 5N-BFX ;Boeing 737-291(A);; 25 Aug 2003 ; Jan 2008 ; Stored ;Hope ;;
; F-GHXK ;Boeing 737-2A1(A);; 21 Nov 2001 ; 22 Nov 2016 ; Stored ;;;
; F-GHXL ;Boeing 737-2S3(A); CY108 ; 4 Oct 2002 ;; Stored ;Peace, lsf Alter Bail Aviation ;;
; OM-ASE ;Boeing 737-306; Y127 ; 15 Nov 2008 ; 21 Apr 2009 ;OM-ASE Air Slovakia ;lsf Air Slovakia ;;
; OM-ASF ;Boeing 737-306; Y127 ; 23 Oct 2008 ; 3 Mar 2009 ;OM-ASF Air Slovakia ;lsf Air Slovakia ;;
; YU-AND ;Boeing 737-3H9;; 27 Sep 2006 ; 7 Apr 2007 ;YU-AND JAT Airways ;lsf JAT Airways ;;
; YU-ANV ;Boeing 737-3H9;; Jan 2006 ; Sep 2006 ;YU-ANV JAT Airways ;lsf JAT Airways ;;
; 5N-BGG ;Boeing 767-241ER;; 30 Jun 2005 ; 10 Aug 2009 ;N805MT GECAS ;lsd ;;
; 5N-BGH ;Boeing 767-241ER;; 13 May 2005 ; 6 Aug 2009 ;N806MT GECAS ;lsd ;;
; 5N-BLV ;McDonnell Douglas DC-9-32; C12Y86 ; 1 Jun 1995 ;; Scrapped ;Peace ;;
; 5N-KAY ;McDonnell Douglas DC-9-32; C12Y86 ; 2 Jan 1994 ; Oct 1997 ; Preserved ;Faith, lsf McDonnell Douglas ;;
; YU-AJH ;McDonnell Douglas DC-9-32;; Apr 2001 ; Jan 2003 ;YU-AJH Sosoliso ;lsf JAT Yugoslav Airlines ;;
; YU-AJI ;McDonnell Douglas DC-9-32;; Dec 1998 ; Apr 2001 ;YU-AJI Sosoliso ;Lagos Express, lsf JAT Yugoslav Airlines ;;
; YU-AJK ;McDonnell Douglas DC-9-32;; 19 Dec 2000 ; 19 Oct 2003 ;YU-AJK Cameroon Airlines ;lsf JAT Airways ;;
; YU-AJM ;McDonnell Douglas DC-9-32;; Sep 1999 ; 28 Jun 2000 ;YU-AJM JAT Yugoslav Airlines ;lsf JAT Yugoslav Airlines, "Abuja Shuttle" titles ;;
