;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; N406AV ;De Havilland Canada DHC-8-201Q Dash 8;; 31 Jan 2021 ;;; 25.4 Years ;;
; N428MS ;De Havilland Canada DHC-8-201 Dash 8;; 12 Aug 2021 ;;; 26 Years ;;
; N437YV ;De Havilland Canada DHC-8-202 Dash 8;; 6 Jan 2011 ;;; 25.7 Years ;;
; N449YV ;De Havilland Canada DHC-8-202Q Dash 8;; 6 Jan 2011 ;;; 25.3 Years ;;
; N480AV ;De Havilland Canada DHC-8-202Q Dash 8;; 15 Apr 2020 ;;; 24.8 Years ;;
; N541AV ;De Havilland Canada DHC-8-201Q Dash 8;; 27 Oct 2009 ;;; 22.5 Years ;;
; N989HA ;De Havilland Canada DHC-8-202 Dash 8;; Jan 2015 ;;; 26.1 Years ;;
; N229SW ; Embraer EMB-120FC Brasilia ; Cargo ; 7 Aug 2014 ;;; 26.7 Years ;;
; N235SW ; Embraer EMB-120FC Brasilia ; Cargo ; 5 Mar 2015 ;;; 25.7 Years ;;
; N290SW ; Embraer EMB-120FC Brasilia ; Cargo ; 12 Jun 2015 ;;; 25.7 Years ;;
; N297SW ; Embraer EMB-120FC Brasilia ; Cargo ; 3 Feb 2016 ;; 297 ; 25.7 Years ;;
; N586SW ; Embraer EMB-120FC Brasilia ; Cargo ; 5 Mar 2019 ;; 586 ; 22.7 Years ;;
