;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; S2-AEQ ;Boeing 737-8HO(WL); C12Y150 ; 16 May 2019 ;lsd ;; 11.2 Years ;;
; S2-AEW ;Boeing 737-8HO(WL); C12Y150 ; 29 Jun 2019 ;lsd ;; 11.3 Years ;;
; S2-AFL ;Boeing 737-83N(WL); C12Y150 ; 21 Jan 2010 ;;; 20.7 Years ;;
; S2-AFM ;Boeing 737-83N(WL); C12Y150 ; 4 Feb 2010 ;;; 20.5 Years ;;
; S2-AHO ;Boeing 737-8E9(WL); C12Y150 ; 24 Nov 2015 ;; Meghdoot ; 6.3 Years ;;
; S2-AHV ;Boeing 737-8E9(WL); C12Y150 ; 22 Dec 2015 ;; Mayurpankhi ; 6.2 Years ;;
; S2-AFO ;Boeing 777-3E9ER; C35Y384 ; 21 Oct 2011 ;; The Palki ; 10.4 Years ;;
; S2-AFP ;Boeing 777-3E9ER; C35Y384 ; 23 Nov 2011 ; Parked ; The Arun Alo ; 10.4 Years ;;
; S2-AHM ;Boeing 777-3E9ER; C35Y384 ; 5 Feb 2014 ;; Aakash Pradeep ; 8.1 Years ;;
; S2-AHN ;Boeing 777-3E9ER; C35Y384 ; 21 Mar 2014 ;; Raanga Pravat ; 8 Years ;;
; S2-AJS ;Boeing 787-8 Dreamliner; C24Y247 ; 17 Aug 2018 ;; The Aakashbeena ; 3.7 Years ;;
; S2-AJT ;Boeing 787-8 Dreamliner; C24Y247 ; 29 Nov 2018 ;; The Hangsabalaka ; 3.3 Years ;;
; S2-AJU ;Boeing 787-8 Dreamliner; C24Y247 ; 12 Sep 2019 ;; The Rajhangsa ; 2.5 Years ;;
; S2-AJV ;Boeing 787-8 Dreamliner; C24Y247 ; 23 Jul 2019 ;; The Gaangchil ; 2.6 Years ;;
; S2-AJX ;Boeing 787-9 Dreamliner; C30W21Y247 ; 22 Dec 2019 ;; The Awchin Pakhi ; 2.6 Years ;;
; S2-AJY ;Boeing 787-9 Dreamliner; C30W21Y247 ; 19 Dec 2019 ;; Shonar Tori / সোনার তরী ; 2.5 Years ;;
; S2-AGR ;Bombardier DHC-8-402Q Dash 8; Y74 ; 3 Apr 2015 ;; Hangsha Mithun / হংস মিথুন ; 11 Years ;;
; S2-AJW ;Bombardier DHC-8-402Q Dash 8; Y74 ; 14 Sep 2018 ;lsd ;; 13.9 Years ;;
; S2-AKD ;De Havilland Canada DHC-8-402 Dash 8; Y74 ; 30 Nov 2020 ; Parked ; Dhrubotara / ধ্রুবতারা ; 1.3 Years ;;
; S2-AKE ;De Havilland Canada DHC-8-402 Dash 8; Y74 ; 1 Mar 2021 ;; Akaashtori ; 1.1 Years ;;
; S2-AKF ;De Havilland Canada DHC-8-402 Dash 8; Y74 ; 10 Mar 2021 ;;; 1 Years ;;
