;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; TC-YAB ;ATR 72-500 (72-212A);; 4 Jan 2010 ; 25 Sep 2014 ;TC-YAB Anadolu Jet ;lsd ;;
; TC-YAC ;ATR 72-500 (72-212A);; 25 Jan 2010 ; 14 Aug 2014 ;TC-YAC Anadolu Jet ;lsd ;;
; TC-YAD ;ATR 72-500 (72-212A); Y66 ; 2 Dec 2009 ; 18 Dec 2014 ;OY-EDD Nordic Aviation Capital (NAC) ;Orhan, lsd ;;
; TC-YAE ;ATR 72-500 (72-212A); Y66 ; 21 May 2010 ; 28 Aug 2014 ;OY-YAE Nordic Aviation Capital (NAC) ;Serpil, lsd ;;
; TC-YAF ;ATR 72-500 (72-212A); Y66 ; 23 Dec 2011 ; 27 Feb 2015 ;OY-YAF Nordic Aviation Capital (NAC) ;;;
; TC-YAG ;Embraer ERJ-190LR (ERJ-190-100 LR);; 27 Jun 2014 ; 23 Apr 2017 ;OY-ZAG Nordic Aviation Capital (NAC) ;Siirt, lsd ;;
; TC-YAH ;Embraer ERJ-190LR (ERJ-190-100 LR); Y110 ; 24 Jul 2014 ; 23 Apr 2017 ;OY-ZAH Nordic Aviation Capital (NAC) ;Çanakkale, lsd ;;
; TC-YAI ;Embraer ERJ-190LR (ERJ-190-100 LR); Y110 ; 30 Oct 2014 ; 25 May 2017 ;EI-FCL SMBC Aviation Capital ;Edremit, lsd ;;
; TC-YAJ ;Embraer ERJ-190LR (ERJ-190-100 LR);; 21 Aug 2014 ; 20 Jul 2017 ;2-CYAJ Nordic Aviation Capital (NAC) ;Tokat, lsd ;;
; TC-YAK ;Embraer ERJ-190LR (ERJ-190-100 LR);; 23 Jul 2014 ; 11 Oct 2015 ;PH-IAM Falko Regional Aircraft ;lsd ;;
; TC-YAL ;Embraer ERJ-190LR (ERJ-190-100 LR); Y110 ; 27 Jan 2016 ; 24 Sep 2016 ;VP-CIB GECAS ;Edremit, lsd ;;
; TC-YAM ;Embraer ERJ-190LR (ERJ-190-100 LR); Y110 ; 4 Apr 2016 ; 16 Nov 2016 ;2-TYAM Willis Lease ;lsd ;;
; TC-YAN ;Embraer ERJ-190LR (ERJ-190-100 LR); Y110 ; 12 Mar 2016 ; 9 Oct 2016 ;2-TYAN Willis Lease ;İstanbul, lsd ;;
; TC-YAO ;Embraer ERJ-195LR (ERJ-190-200 LR); Y118 ; 12 Sep 2016 ; 12 May 2017 ;EI-GCA GECAS ;lsd ;;
; TC-YAP ;Embraer ERJ-195LR (ERJ-190-200 LR); Y118 ; 12 Sep 2016 ; 11 May 2017 ;EI-GCB GECAS ;lsd ;;
; TC-YAR ;Embraer ERJ-195LR (ERJ-190-200 LR); Y118 ; 12 Sep 2016 ; 11 May 2017 ;EI-GAZ GECAS ;lsd ;;
; TC-YAS ;Embraer ERJ-195AR (ERJ-190-200 IGW);; 22 Oct 2015 ; 20 Jul 2017 ;2-CYAS Nordic Aviation Capital (NAC) ;lsd ;;
; TC-YAT ;Embraer ERJ-195AR (ERJ-190-200 IGW);; 25 Feb 2016 ; 15 Apr 2017 ;OY-ZAT Nordic Aviation Capital (NAC) ;Fenerbahçe, lsd, Fenerbahçe S.K. cs ;;
; TC-YAU ;Embraer ERJ-195AR (ERJ-190-200 IGW);; 23 Dec 2015 ; 11 May 2017 ;EI-FLR GECAS ;Kars, lsd ;;
