;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; PK-PJF ;BAC 1-11-401AK One-Eleven;; Sep 1995 ; 2000 ; Scrapped ;;;
; PK-ALK ;Boeing 737-236(A); CY100 ; Jun 2001 ; 27 Sep 2001 ;PK-ALK Star Air ;;;
; PK-IJA ;Boeing 737-205;; Oct 1992 ; 18 Jan 1994 ;N408CE EA-727 ;lsf Transaviation KB ;;
; PK-IJD ;Boeing 737-2H6(A);; 11 Feb 1993 ; 23 Sep 1998 ;XA-APB TAESA ;lsf Airlease Ltd ;;
; PK-IJE ;Boeing 737-2H6(A);; 4 Jun 1993 ; 4 Aug 1998 ;XA-TLJ TAESA ;lsf Airlease Ltd ;;
; PK-IJG ;Boeing 737-2H6(A);; 1 Nov 1993 ; 15 Apr 1998 ;TS-IEA Tuninter ;lsd ;;
; PK-IJH ;Boeing 737-2K2(A);; 2 Dec 1993 ; 30 Nov 2004 ; Preserved ;;;
; PK-IJI ;Boeing 737-230(A);; 13 Feb 1994 ; 2005 ; Stored ;;;
; PK-IJJ ;Boeing 737-230(A);; 13 Feb 1994 ; 2005 ; Stored ;;;
; PK-IJK ;Boeing 737-230(A);; 20 Jul 1994 ;; Preserved ;;;
; PK-IJL ;Boeing 737-2Y5(A);; 17 Nov 1997 ; 14 Apr 1998 ;ZK-NAH Air New Zealand ;lsf Air New Zealand ;;
; PK-IJM ;Boeing 737-230(A);; 2 Jun 1999 ; 2005 ; Stored ;;;
; PK-IJN ;Boeing 737-230(A);; Jan 1999 ; 2005 ; Stored ;;;
; PK-IJO ;Boeing 737-2H6(A); Y120 ; 5 Dec 2000 ; Sep 2001 ;PK-ALH Star Air ;lsd ;;
; PK-IJP ;Boeing 737-284(A);; 4 Jan 2004 ; 28 Sep 2005 ;PK-KAO Kartika Airlines ;;;
; PK-IJQ ;Boeing 737-284(A);; 26 Mar 2004 ; 28 Jul 2005 ;PK-KAD Kartika Airlines ;;;
; PK-IJR ;Boeing 737-284(A);; Jun 2004 ; 3 Feb 2006 ;PK-CJO Sriwijaya Air ;lsf Aero Nusantara ;;
; PK-IJS ;Boeing 737-284(A);; Jun 2004 ; May 2005 ;PK-CJA Sriwijaya Air ;lsd ;;
; PK-LIH ;Boeing 737-2A9C; Cargo ; 18 Jun 2002 ; 1 Oct 2002 ;PK-YGM Tri-M.G. Intra Asia Airlines ;;;
; YU-AOF ;Boeing 737-2K5(A);; May 1995 ; Jan 1996 ;YU-AOF Aviogenex ;;;
; PK-IMC ;McDonnell Douglas MD-82 (DC-9-82);; 31 Jul 2002 ; 26 Feb 2006 ;9A-CDD Dubrovnik Airline ;;;
; PK-IMD ;McDonnell Douglas MD-82 (DC-9-82);; Sep 2002 ; Dec 2004 ;PK-ALI Star Air ;;;
; PK-IME ;McDonnell Douglas MD-82 (DC-9-82);; 13 Nov 2002 ; Dec 2004 ;PK-ALH Star Air ;;;
