;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; LN-BRA ;Boeing 737-405; CY150 ; 7 Jun 1989 ; 1 May 1999 ;OO-VEK Virgin Express ;;;
; LN-BRB ;Boeing 737-405;; 29 Jun 1989 ; 31 Mar 1999 ;OO-VEJ Virgin Express ;;;
; LN-BRE ;Boeing 737-405; CY150 ; 18 May 1990 ; 1 Apr 2004 ;LN-BRE SAS Braathens ;Hakon V Magnusson ;;
; LN-BRI ;Boeing 737-405; CY150 ; 18 Jun 1993 ; 1 Apr 2004 ;LN-BRI SAS Braathens ;Harald Harfagre ;;
; LN-BRP ;Boeing 737-405;; 23 Mar 1998 ; 18 Jul 2003 ;PK-YTE Batavia Air ;;;
; LN-BRQ ;Boeing 737-405; CY150 ; 24 Oct 1991 ; 1 Apr 2004 ;LN-BRQ SAS Braathens ;Harald Grafell ;;
; LN-BUB ;Boeing 737-4Q8;; 8 Feb 1994 ; 28 Nov 1996 ;N407KW Carnival Airlines ;lsd ;;
; LN-BUF ;Boeing 737-405; CY150 ; 15 Apr 1997 ; 1 Apr 2004 ;LN-BUF SAS Braathens ;Magnus den Gode, lsd ;;
; LN-BRC ;Boeing 737-505; CY120 ; 7 Mar 1990 ; 18 Sep 2000 ;G-GFFG British Airways ;lsd ;;
; LN-BRD ;Boeing 737-505; CY120 ; 19 Apr 1990 ; 1 Apr 2004 ;LN-BRD SAS Braathens ;Harald Gille ;;
; LN-BRF ;Boeing 737-505; CY120 ; 27 Sep 1993 ; 26 Mar 2002 ;F-GYAM Air Méditerranée ;lsd ;;
; LN-BRG ;Boeing 737-505; CY120 ; 29 Sep 1990 ; 22 Mar 2000 ;G-GFFC British Airways ;lsd ;;
; LN-BRH ;Boeing 737-505; CY120 ; 18 Oct 1993 ; 1 Apr 2004 ;LN-BRH SAS Braathens ;;;
; LN-BRJ ;Boeing 737-505; CY120 ; 28 Mar 1994 ; 13 Nov 2003 ;YL-BBB Air Baltic ;Olav Tryggvason ;;
; LN-BRK ;Boeing 737-505; CY120 ; 26 Apr 1991 ; 1 Apr 2004 ;LN-BRK SAS Braathens ;Magnus Barfot ;;
; LN-BRM ;Boeing 737-505; CY120 ; 26 Jun 1991 ; 1 Apr 2004 ;LN-BRM SAS Braathens ;Olav den Hellige, lsd ;;
; LN-BRN ;Boeing 737-505; CY120 ; 10 Oct 1991 ; 23 Jan 2004 ;N646LS GECAS ;Hakon Herdebrei, lsd ;;
; LN-BRO ;Boeing 737-505; CY120 ; 17 Oct 1991 ; 1 Apr 2004 ;LN-BRO SAS Braathens ;Magnus Haraldsson, lsd ;;
; LN-BRR ;Boeing 737-505; CY120 ; 7 Feb 1992 ; 1 Apr 2004 ;LN-BRR SAS Braathens ;Halvdan Svarte ;;
; LN-BRS ;Boeing 737-505; CY120 ; 21 Feb 1992 ; 1 Apr 2004 ;LN-BRS SAS Braathens ;Olav Kyrre ;;
; LN-BRT ;Boeing 737-505; CY120 ; 27 Feb 1992 ; 8 Feb 2000 ;G-GFFB British Airways ;lsf Indigo Aviation ;;
; LN-BRU ;Boeing 737-505; CY120 ; 20 Mar 1992 ; 22 Mar 2002 ;LN-BRU ILFC ;lsd ;;
; LN-BRV ;Boeing 737-505; CY120 ; 23 Mar 1998 ; 1 Apr 2004 ;LN-BRV SAS Braathens ;Hakon Sverresson ;;
; LN-BRW ;Boeing 737-505; CY120 ; 8 Sep 1992 ; 24 Sep 1992 ;B-2591 Xiamen Airlines ;;;
; LN-BRX ;Boeing 737-505; CY120 ; 22 Feb 1993 ; 1 Apr 2004 ;LN-BRX SAS Braathens ;Sigurd Munn, lsd ;;
; LN-BRY ;Boeing 737-505; CY120 ; 23 Mar 1993 ; 1 Apr 1993 ;B-2593 Xiamen Airlines ;;;
; LN-BRZ ;Boeing 737-505; CY120 ; 1 Sep 1993 ; 9 Sep 1993 ;B-2592 Xiamen Airlines ;;;
; LN-BUA ;Boeing 737-505; CY120 ; 21 Feb 1994 ; 1 Mar 1994 ;B-2529 Xiamen Airlines ;lsd ;;
