;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N81AC ;Aérospatiale/BAC Concorde 102; R100 ; 5 Jan 1979 ; 11 Aug 1980 ;G-BOAC British Airways ;;;
; N94AA ;Aérospatiale/BAC Concorde 102; R100 ; 12 Jan 1979 ; 28 Jul 1980 ;G-BOAA British Airways ;;;
; N94AB ;Aérospatiale/BAC Concorde 102; R100 ; 12 Jan 1979 ; 17 Sep 1980 ;G-BOAB British Airways ;;;
; N94AD ;Aérospatiale/BAC Concorde 102; R100 ; 5 Jan 1979 ; 19 Jun 1980 ;G-BOAD British Airways ;;;
; N94AE ;Aérospatiale/BAC Concorde 102; R100 ; 5 Jan 1979 ; 1 Jul 1980 ;G-BOAE British Airways ;;;
; N94FA ;Aérospatiale/BAC Concorde 101; R100 ; 12 Jan 1979 ; 1 Jun 1980 ;F-BVFA Air France ;;;
; N94FB ;Aérospatiale/BAC Concorde 101; R100 ; 12 Jan 1979 ; 1 Jun 1980 ;F-BVFB Air France ;;;
; N94FC ;Aérospatiale/BAC Concorde 101; R100 ; 12 Jan 1979 ; 1 Jun 1980 ;F-BVFC Air France ;;;
; N94FD ;Aérospatiale/BAC Concorde 101; R100 ; 12 Jan 1979 ; 1 Jun 1980 ;F-BVFD Air France ;;;
; N94SD ;Aérospatiale/BAC Concorde 101; R100 ; 12 Jan 1979 ; 12 Mar 1979 ;F-BTSD Aérospatiale ;;;
; N1542 ;BAC 1-11-203AE One-Eleven;; 20 Apr 1965 ; 18 Aug 1972 ;N1542 Allegheny Airlines ;542 ;;
; N1543 ;BAC 1-11-203AE One-Eleven;; 30 Apr 1972 ; 31 Mar 1977 ;N1543 McCulloch International Airlines ;543 ;;
; N1544 ;BAC 1-11-203AE One-Eleven;; 6 Apr 1965 ; 3 Mar 1972 ;N1544 Allegheny Airlines ;544 ;;
; N1545 ;BAC 1-11-203AE One-Eleven;; 12 May 1965 ; 24 Jul 1972 ;N1545 Allegheny Airlines ;545 ;;
; N1546 ;BAC 1-11-203AE One-Eleven;; 2 Jun 1965 ; 7 Sep 1972 ;N1546 Allegheny Airlines ;546 ;;
; N1547 ;BAC 1-11-203AE One-Eleven;; 20 Jul 1965 ; 6 Apr 1972 ;N1547 Allegheny Airlines ;547 ;;
; N1548 ;BAC 1-11-203AE One-Eleven;; 18 Aug 1965 ; 4 May 1972 ;N1548 Allegheny Airlines ;548 ;;
; N1549 ;BAC 1-11-203AE One-Eleven;; 24 Sep 1965 ; 12 Apr 1972 ;N1549 Allegheny Airlines ;549 ;;
; N1550 ;BAC 1-11-203AE One-Eleven;; 4 Oct 1965 ; 29 Mar 1972 ;N1550 Allegheny Airlines ;550 ;;
; N1551 ;BAC 1-11-203AE One-Eleven;; 8 Nov 1965 ; 21 Sep 1970 ;N1134J Mohawk Airlines ;551 ;;
; N1552 ;BAC 1-11-203AE One-Eleven;; 24 Nov 1965 ; 15 Sep 1970 ;N1135J Mohawk Airlines ;552 ;;
; N1553 ;BAC 1-11-203AE One-Eleven;; 8 Dec 1965 ; 6 Aug 1966 ; Written Off ;553 ;;
; N1554 ;BAC 1-11-203AE One-Eleven;; 22 Dec 1965 ; 29 Sep 1970 ;N1136J Mohawk Airlines ;;;
; N541BN ;BAC 1-11-203AE One-Eleven; VIP ; 17 Aug 1972 ; 16 Oct 1972 ;N541BN Omni Aircraft Sales ;;;
; N455BN ;Boeing 727-227(A);; 27 Apr 1978 ; 1 Mar 1984 ;N455BN Braniff ;455 ;;
; N457BN ;Boeing 727-227(A);; 13 Jun 1978 ; 12 May 1982 ;N457BN Braniff ;457 ;;
; N458BN ;Boeing 727-227(A);; 15 Jun 1978 ; 12 May 1982 ;N458BN Braniff ;458 ;;
; N459BN ;Boeing 727-227(A);; 17 Jul 1978 ; 1 Mar 1984 ;N459BN Braniff ;459 ;;
; N461BN ;Boeing 727-227(A);; 21 Sep 1978 ; 1 Mar 1984 ;N461BN Braniff ;461 ;;
; N462BN ;Boeing 727-227(A);; 27 Sep 1978 ; 1 Mar 1984 ;N462BN Braniff ;462 ;;
; N463BN ;Boeing 727-227(A);; 11 Oct 1978 ; 1 Mar 1984 ;N463BN Braniff ;463 ;;
; N464BN ;Boeing 727-227(A);; 26 Oct 1978 ; 1 Mar 1984 ;N464BN Braniff ;464 ;;
; N465BN ;Boeing 727-227(A);; 7 Feb 1979 ; 12 May 1982 ;N465BN Braniff ;465 ;;
; N466BN ;Boeing 727-227(A);; 9 Feb 1979 ; 1 Mar 1984 ;N466BN Braniff ;466 ;;
; N467BN ;Boeing 727-227(A);; 19 Feb 1979 ; 1 Mar 1984 ;N467BN Braniff ;467 ;;
; N468BN ;Boeing 727-227(A);; 22 Feb 1979 ; 1 Mar 1984 ;N468BN Braniff ;468 ;;
; N469BN ;Boeing 727-227(A);; 2 Mar 1979 ; 1 Mar 1984 ;N469BN Braniff ;469 ;;
; N470BN ;Boeing 727-227(A);; 10 Mar 1979 ; 1 Mar 1984 ;N470BN Braniff ;470 ;;
; N471BN ;Boeing 727-227(A);; 25 May 1979 ; 1 Mar 1984 ;N471BN Braniff ;471 ;;
; N601BN ;Boeing 747-127;; 5 Jan 1971 ; Jun 1982 ;N601BN Polaris Aircraft Leasing (POLA) ;;;
; N610BN ;Boeing 747-130;; 29 Nov 1978 ; 23 Oct 1981 ;N610BN GATX Leasing ;lsd ;;
; N9666 ;Boeing 747-123;; 1 Mar 1978 ; 31 May 1980 ;N9666 American Airlines ;lsf American Airlines ;;
; N9667 ;Boeing 747-123;; 29 Oct 1978 ; 16 Nov 1978 ;N9667 American Airlines ;lsf American Airlines ;;
; N602BN ;Boeing 747-227B;; 31 May 1979 ; May 1983 ;N602PE PEOPLExpress ;;;
; N611BN ;Boeing 747-230B;; 11 May 1979 ; 15 Apr 1982 ;G-BJXN British Caledonian ;;;
; N620BN ;Boeing 747-217B;; 15 Nov 1978 ; 7 Dec 1978 ;C-FCRD CP Air ;lsf CP Air ;;
; N749WA ;Boeing 747-273C;; 10 Apr 1979 ; 9 Jun 1981 ;N749WA World Airways ;lsf World Airways ;;
; N603BN ;Boeing 747SP-27;; 30 Oct 1979 ; 23 Jan 1981 ;N351AS Boeing ;;;
; N604BN ;Boeing 747SP-27;; 23 Apr 1980 ; 12 Sep 1980 ;LV-OHV Aerolineas Argentinas ;;;
; N606BN ;Boeing 747SP-27;; 30 May 1980 ; 23 Sep 1983 ;N529PA Pan American World Airways (Pan Am) ;;;
