;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; G-MABR ;British Aerospace 146-100A; Y78 ; 28 Mar 2002 ; 1 Feb 2006 ;G-MABR British Airways ;;;
; G-GNTZ ;British Aerospace 146-200A; Y95 ; 28 Mar 2002 ; 1 Feb 2006 ;G-GNTZ British Airways ;lsd ;;
; G-MANS ;British Aerospace 146-200; Y95 ; 28 Mar 2002 ; 1 Feb 2006 ;G-MANS British Airways ;;;
; G-MIMA ;British Aerospace 146-200; Y95 ; 31 Aug 2002 ; 4 May 2005 ;G-MIMA British Airways ;;;
; G-OINV ;British Aerospace 146-300A;; 31 Mar 2002 ; 1 Feb 2006 ;G-OINV BA Connect ;;;
; G-BXAR ;British Aerospace Avro RJ100; Y110 ; 5 Nov 2003 ; 1 Feb 2006 ;G-BXAR British Airways ;;;
; G-BXAS ;British Aerospace Avro RJ100; Y110 ; 5 Nov 2003 ; 1 Feb 2006 ;G-BXAS British Airways ;lsd ;;
; G-BZAT ;British Aerospace Avro RJ100; Y110 ; 5 Nov 2003 ; 1 Feb 2006 ;G-BZAT British Airways ;;;
; G-BZAU ;British Aerospace Avro RJ100; Y110 ; 5 Nov 2003 ; 1 Feb 2006 ;G-BZAU British Airways ;;;
; G-BZAV ;British Aerospace Avro RJ100; Y110 ; 5 Nov 2003 ; 1 Feb 2006 ;G-BZAV British Airways ;;;
; G-BZAW ;British Aerospace Avro RJ100; Y110 ; 5 Nov 2003 ; 1 Feb 2006 ;G-BZAW British Airways ;lsd ;;
; G-BZAX ;British Aerospace Avro RJ100; Y110 ; 30 Sep 2003 ; 1 Feb 2006 ;G-BZAX British Airways ;;;
; G-BZAY ;British Aerospace Avro RJ100; Y110 ; 5 Nov 2003 ; 1 Feb 2006 ;G-BZAY British Airways ;;;
; G-BZAZ ;British Aerospace Avro RJ100; Y110 ; 5 Nov 2003 ; 1 Feb 2006 ;G-BZAZ British Airways ;lsd ;;
; G-CFAA ;British Aerospace Avro RJ100; Y110 ; 5 Nov 2003 ; 1 Feb 2006 ;G-CFAA British Airways ;lsd ;;
; G-CFAB ;British Aerospace Avro RJ100; Y110 ; 25 Jul 2003 ; 1 Feb 2006 ;G-CFAB British Airways ;lsd ;;
; G-CFAC ;British Aerospace Avro RJ100; Y110 ; 25 Jul 2003 ; 1 Feb 2006 ;G-CFAC British Airways ;;;
; G-CFAD ;British Aerospace Avro RJ100; Y110 ; 5 Nov 2003 ; 2 Jan 2006 ;G-CFAD British Airways ;;;
; G-CFAE ;British Aerospace Avro RJ100; Y110 ; 8 Jul 2003 ; 1 Feb 2006 ;G-CFAE British Airways ;;;
; G-CFAF ;British Aerospace Avro RJ100; Y110 ; 8 Jul 2003 ; 28 Nov 2005 ;G-CFAF British Airways ;;;
; G-CFAH ;British Aerospace Avro RJ100; Y110 ; 15 Jul 2003 ; 25 Jan 2006 ;G-CFAH British Airways ;;;
; G-MANA ;British Aerospace ATP; Y64 ; 31 Aug 2002 ; 31 Oct 2003 ;G-MANA British Airways ;lsd ;;
; G-MANB ;British Aerospace ATP; Y64 ; 31 Aug 2002 ; 8 Aug 2003 ;G-MANB British Airways ;lsd ;;
; G-MANC ;British Aerospace ATP; Y64 ; 31 Aug 2002 ; 28 Mar 2003 ;G-MANC British Airways ;lsd ;;
; G-MANE ;British Aerospace ATP; Y64 ; 28 Mar 2002 ; 26 Mar 2004 ;G-MANE British Airways ;lsd ;;
; G-MANF ;British Aerospace ATP; Y64 ; 28 Mar 2002 ; 7 Sep 2004 ;G-MANF British Airways ;lsd ;;
; G-MANG ;British Aerospace ATP; Y64 ; 28 Mar 2002 ; 24 Mar 2004 ;G-MANG British Airways ;lsd ;;
; G-MANH ;British Aerospace ATP; Y64 ; 28 Mar 2002 ; 28 Mar 2004 ;G-MANH British Airways ;lsd ;;
; G-MANJ ;British Aerospace ATP; Y66 ; 28 Mar 2002 ; 29 Feb 2004 ;G-MANJ British Airways ;lsd ;;
; G-MANL ;British Aerospace ATP; Y66 ; 28 Mar 2002 ; 29 Feb 2004 ;G-MANL British Airways ;lsd ;;
; G-MANM ;British Aerospace ATP; Y66 ; 28 Mar 2002 ; 14 Feb 2004 ;G-MANM British Airways ;;;
; G-MANO ;British Aerospace ATP; Y64 ; 28 Mar 2002 ; 4 Sep 2003 ;G-MANO British Airways ;lsd ;;
; G-MANP ;British Aerospace ATP; Y64 ; 28 Mar 2002 ; 17 Mar 2004 ;G-MANP British Airways ;lsd ;;
; G-MAUD ;British Aerospace ATP; Y66 ; 28 Mar 2002 ; 29 Feb 2004 ;G-MAUD British Airways ;lsd ;;
; G-MAJA ;British Aerospace Jetstream 41 (4100); Y29 ; 31 Aug 2002 ; 14 Apr 2003 ;G-MAJA British Airways ;;;
; G-MAJB ;British Aerospace Jetstream 41 (4100); Y29 ; 28 Mar 2002 ; 29 Mar 2003 ;G-MAJB British Airways ;;;
; G-MAJC ;British Aerospace Jetstream 41 (4100); Y29 ; 28 Mar 2002 ; 19 Feb 2003 ;G-MAJC British Airways ;;;
; G-MAJD ;British Aerospace Jetstream 41 (4100); Y29 ; 28 Mar 2002 ; 23 Apr 2003 ;G-MAJD British Airways ;;;
; G-MAJE ;British Aerospace Jetstream 41 (4100); Y29 ; 28 Mar 2002 ; 17 Mar 2003 ;G-MAJE British Airways ;;;
; G-MAJF ;British Aerospace Jetstream 41 (4100); Y29 ; 28 Mar 2002 ; 28 Mar 2003 ;G-MAJF British Airways ;;;
; G-MAJG ;British Aerospace Jetstream 41 (4100); Y29 ; 28 Mar 2002 ; 29 Mar 2003 ;G-MAJG British Airways ;;;
; G-MAJH ;British Aerospace Jetstream 41 (4100); Y29 ; 28 Mar 2002 ; 17 Mar 2003 ;G-MAJH British Airways ;;;
; G-MAJI ;British Aerospace Jetstream 41 (4100); Y29 ; 28 Mar 2002 ; 10 Feb 2003 ;G-MAJI British Airways ;;;
; G-MAJJ ;British Aerospace Jetstream 41 (4100); Y29 ; 28 Mar 2002 ; 3 Mar 2003 ;G-MAJJ British Airways ;;;
; G-MAJK ;British Aerospace Jetstream 41 (4100); Y29 ; 28 Mar 2002 ; 29 Mar 2003 ;G-MAJK British Airways ;;;
; G-MAJM ;British Aerospace Jetstream 41 (4100); Y29 ; 28 Mar 2002 ; 27 Jan 2003 ;G-MAJM British Airways ;;;
; G-BRYI ;De Havilland Canada DHC-8-311 Dash 8; Y50 ; 28 Mar 2002 ; 23 Apr 2005 ;G-BRYI British Airways ;;;
; G-BRYJ ;De Havilland Canada DHC-8-311 Dash 8; Y50 ; 28 Mar 2002 ; 1 Mar 2005 ;G-BRYJ British Airways ;;;
; G-BRYO ;De Havilland Canada DHC-8-311 Dash 8; CY50 ; 31 Mar 2002 ; 2 Jul 2002 ;N784BC Bombardier Capital ;lsd ;;
; G-BRYS ;De Havilland Canada DHC-8-311 Dash 8; CY50 ; 31 Mar 2002 ; 1 Oct 2003 ;C-GZOF Avmax Group ;;;
