;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; G-ARVA ;BAC Vickers VC-10 (1101); F16Y93 ; 8 Dec 1964 ; 29 Sep 1969 ;5N-ABD Nigeria Airways ;;;
; G-ARVB ;BAC Vickers VC-10 (1101); F16Y93 ; 6 Jun 1965 ; 1 Apr 1974 ;G-ARVB British Airways ;;;
; G-ARVC ;BAC Vickers VC-10 (1101); F16Y93 ; Jul 1967 ; 1 Apr 1974 ;G-ARVC British Airways ;;;
; G-ARVE ;BAC Vickers VC-10 (1101); F16Y93 ; 1 Oct 1964 ; 1 Apr 1974 ;G-ARVE British Airways ;;;
; G-ARVF ;BAC Vickers VC-10 (1101); F16Y93 ; 4 Sep 1964 ; 1 Apr 1974 ;G-ARVF British Airways ;;;
; G-ARVG ;BAC Vickers VC-10 (1101); F16Y93 ; 12 Jun 1964 ; 1 Apr 1974 ;G-ARVG British Airways ;;;
; G-ARVH ;BAC Vickers VC-10 (1101); F16Y93 ; 2 Jul 1964 ; 1 Apr 1974 ;G-ARVH British Airways ;;;
; G-ARVI ;BAC Vickers VC-10 (1101); F16Y93 ; 22 Apr 1964 ; 4 Mar 1974 ;G-ARVI Gulf Air ;;;
; G-ARVJ ;BAC Vickers VC-10 (1101); F16Y93 ; 23 Apr 1964 ; 1 Apr 1974 ;G-ARVJ British Airways ;;;
; G-ARVK ;BAC Vickers VC-10 (1101); F16Y93 ; 2 May 1964 ; 1 Apr 1974 ;G-ARVK British Airways ;;;
; G-ARVL ;BAC Vickers VC-10 (1101); F16Y93 ; 16 Jun 1964 ; 25 Mar 1974 ;G-ARVL Gulf Air ;;;
; G-ARVM ;BAC Vickers VC-10 (1101); F16Y93 ; 22 Jul 1964 ; 1 Apr 1974 ;G-ARVM British Airways ;;;
; G-ASGA ;BAC Vickers Super VC-10 (1151); F16Y132 ; 31 Dec 1965 ; 1 Apr 1974 ;G-ASGA British Airways ;;;
; G-ASGB ;BAC Vickers Super VC-10 (1151); F16Y132 ; 30 Apr 1965 ; 1 Apr 1974 ;G-ASGB British Airways ;;;
