;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; OO-SSA ;Airbus A319-111; CY141 ; 7 Nov 2012 ; Parked, lsd ;; 17.1 Years ;;
; OO-SSB ;Airbus A319-111; CY141 ; 6 Dec 2012 ;lsd ;; 17.1 Years ;;
; OO-SSF ;Airbus A319-111; CY141 ; 13 Jun 2014 ;lsd ;; 15.8 Years ;;
; OO-SSH ;Airbus A319-112; CY141 ; 17 Nov 2014 ; Parked BRU, lsd ;; 15.3 Years ;;
; OO-SSJ ;Airbus A319-111; CY141 ; 7 Jun 2016 ;lsd ;; 19.7 Years ;;
; OO-SSL ;Airbus A319-111; CY141 ; 29 Apr 2016 ;lsd ;; 19.5 Years ;;
; OO-SSN ;Airbus A319-112; CY141 ; 21 Jun 2012 ;lsd ;; 18.9 Years ;;
; OO-SSO ;Airbus A319-111; CY141 ; 9 Mar 2017 ;lsd ;; 17.5 Years ;;
; OO-SSQ ;Airbus A319-112; CY141 ; 4 Feb 2011 ;lsd ;; 13.1 Years ;;
; OO-SSR ;Airbus A319-112; CY141 ; 14 Jan 2011 ; Parked, lsd ;; 11.9 Years ;;
; OO-SSS ;Airbus A319-111; CY141 ; 20 Jul 2016 ;lsd ;; 18.6 Years ;;
; OO-SSU ;Airbus A319-111; CY141 ; 12 Aug 2011 ;lsd ;; 17.8 Years ;;
; OO-SSV ;Airbus A319-111; CY141 ; 2 Sep 2011 ; Parked, lsd ;; 18 Years ;;
; OO-SSW ;Airbus A319-111; CY141 ; 20 Jan 2012 ;lsd ;; 14.4 Years ;;
; OO-SSX ;Airbus A319-111; CY141 ; 28 Sep 2016 ;lsd ;; 17.7 Years ;;
; OO-SNA ;Airbus A320-214; CY180 ; 18 Feb 2011 ;lsd, Belgian Icons - Red Devils cs ; Trident ; 21 Years ;;
; OO-SNB ;Airbus A320-214; CY180 ; 2 May 2011 ;lsd, Belgian Icons - Tintin cs ; Rackham ; 20.8 Years ;;
; OO-SNC ;Airbus A320-214; CY180 ; 30 Mar 2012 ;lsd, Star Alliance cs ;; 19.8 Years ;;
; OO-SND ;Airbus A320-214; CY180 ; 11 Apr 2012 ;Belgian Icons - The Smurfs cs ; Aerosmurfs ; 19.7 Years ;;
; OO-SNE ;Airbus A320-214; CY180 ; 18 Mar 2016 ;lsd, Belgian Icons - Pieter Bruegel cs ; Bruegel ; 12 Years ;;
; OO-SNF ;Airbus A320-214; CY180 ; 6 Aug 2012 ;lsd, Belgian Icons - Tomorrowland cs ; Amare ; 15.8 Years ;;
; OO-SNH ;Airbus A320-214; CY180 ; 15 Jun 2016 ;lsd ;; 17.9 Years ;;
; OO-SNI ;Airbus A320-214; CY180 ; 16 Jun 2017 ;lsd ;; 19 Years ;;
; OO-SNJ ;Airbus A320-214; CY180 ; 19 Jan 2018 ;;; 14.7 Years ;;
; OO-SNK ;Airbus A320-214; CY180 ; 6 Jun 2018 ; Parked, lsd ;; 14.2 Years ;;
; OO-SNL ;Airbus A320-214; CY180 ; 27 Mar 2018 ;lsd ;; 19 Years ;;
; OO-SNM ;Airbus A320-214; CY180 ; 17 Apr 2018 ;lsd ;; 18.9 Years ;;
; OO-SNN ;Airbus A320-214; CY180 ; 9 May 2019 ;;; 11.9 Years ;;
; OO-TCH ;Airbus A320-214; CY180 ; 29 Oct 2017 ;;; 19.1 Years ;;
; OO-TCQ ;Airbus A320-214; CY180 ; 19 May 2015 ;lsd ;; 18.5 Years ;;
; OO-TCV ;Airbus A320-214; CY180 ; 6 Oct 2017 ;;; 19 Years ;;
; OO-SFB ;Airbus A330-342; C30W21Y244 ; 8 Feb 2018 ;;; 13.9 Years ;;
; OO-SFC ;Airbus A330-342; C30W21Y244 ; 15 Mar 2018 ;;; 14.2 Years ;;
; OO-SFD ;Airbus A330-342; C30W21Y244 ; 17 May 2018 ;;; 13.4 Years ;;
; OO-SFE ;Airbus A330-343; C30W21Y244 ; 9 May 2018 ;;; 12.9 Years ;;
; OO-SFF ;Airbus A330-343; C30W21Y244 ; 18 Jul 2019 ;lsd ;; 11.7 Years ;;
; OO-SFG ;Airbus A330-343; C30W21Y244 ; 5 Nov 2018 ; Parked ;; 13.1 Years ;;
; OO-SFH ;Airbus A330-342; C30W21Y244 ; 8 Nov 2019 ;;; 16.7 Years ;;
; OO-SFJ ;Airbus A330-343; C30W28Y225 ; 30 Oct 2018 ;;; 16.4 Years ;;
; OO-SFX ;Airbus A330-343; C30W21Y244 ; 9 Mar 2016 ;lsd ;; 12.2 Years ;;
