;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; G-BRYG ;De Havilland Canada DHC-8-102A Dash 8; CY36 ; 1 Aug 1993 ; 14 Apr 1996 ;G-BRYG British Airways ;lsd ;;
; G-BRYH ;De Havilland Canada DHC-8-102A Dash 8; CY36 ; 1 Aug 1993 ; 20 Apr 1996 ;G-BRYH British Airways ;lsd ;;
; EI-CED ;De Havilland Canada DHC-8-311 Dash 8; Y50 ; 1 Sep 1993 ; Oct 1993 ;PH-SDR Schreiner Airways ;lsd ;;
; G-BRYI ;De Havilland Canada DHC-8-311 Dash 8; CY50 ; 1 Aug 1993 ; 28 Mar 2002 ;G-BRYI British Airways ;;;
; G-BRYJ ;De Havilland Canada DHC-8-311 Dash 8; CY50 ; 1 Aug 1993 ; 28 Mar 2002 ;G-BRYJ British Airways ;;;
; G-BRYK ;De Havilland Canada DHC-8-311 Dash 8; CY50 ; 2 Apr 1996 ; 30 Dec 1998 ;G-BRYK British Airways Express ;lsd ;;
; G-BRYM ;De Havilland Canada DHC-8-311 Dash 8; CY50 ; 25 Mar 1996 ; 18 Mar 2002 ;G-BRYM British Airways Express ;lsd ;;
; G-BRYO ;De Havilland Canada DHC-8-311 Dash 8; Y50 ; 27 Apr 1996 ; 31 Mar 2002 ;G-BRYO British Airways CitiExpress ;lsd ;;
; G-BRYP ;De Havilland Canada DHC-8-311 Dash 8; Y50 ; 20 Apr 1996 ; 20 May 2002 ;N783BC Bombardier Capital ;;;
; G-BRYR ;De Havilland Canada DHC-8-311 Dash 8; Y50 ; 22 May 1996 ; 13 Jul 2000 ;N284BC Bombardier Capital ;lsd ;;
; G-BRYS ;De Havilland Canada DHC-8-311 Dash 8;; 1 May 1997 ; 31 Mar 2002 ;G-BRYS British Airways CitiExpress ;Waves of the City cs ;;
; G-BRYT ;De Havilland Canada DHC-8-311 Dash 8; Y50 ; 21 Mar 1997 ; 31 Mar 2002 ;G-BRYT British Airways CitiExpress ;;;
; G-BRYU ;De Havilland Canada DHC-8-311Q Dash 8; CY50 ; 3 Apr 1998 ; 31 Mar 2002 ;G-BRYU British Airways CitiExpress ;;;
; G-BRYV ;De Havilland Canada DHC-8-311Q Dash 8; CY50 ; 22 Apr 1998 ; 31 Mar 2002 ;G-BRYV British Airways CitiExpress ;;;
; G-BRYW ;De Havilland Canada DHC-8-311Q Dash 8; CY50 ; 26 May 1998 ; 31 Mar 2002 ;G-BRYW British Airways CitiExpress ;;;
; G-BRYX ;De Havilland Canada DHC-8-311Q Dash 8; CY50 ; 11 Oct 1998 ; 31 Mar 2002 ;G-BRYX British Airways CitiExpress ;;;
; G-BRYY ;De Havilland Canada DHC-8-311Q Dash 8; CY50 ; 19 Dec 1998 ; 31 Mar 2002 ;G-BRYY British Airways CitiExpress ;;;
; G-BRYZ ;De Havilland Canada DHC-8-311Q Dash 8; CY50 ; 25 Oct 1998 ; 31 Mar 2002 ;G-BRYZ British Airways CitiExpress ;;;
; G-BXPZ ;De Havilland Canada DHC-8-311 Dash 8; Y50 ; 6 Mar 1998 ; 19 Apr 2001 ;C-GJNL Hydro-Quebec ;lsd ;;
; G-NVSA ;De Havilland Canada DHC-8-311Q Dash 8; CY50 ; 21 Nov 1998 ; 31 Mar 2002 ;G-NVSA British Airways CitiExpress ;;;
; G-NVSB ;De Havilland Canada DHC-8-311Q Dash 8; CY50 ; 23 Jan 1999 ; 31 Mar 2002 ;G-NVSB British Airways CitiExpress ;;;
; G-EMBS ;Embraer ERJ-145EU; CY50 ; 27 Dec 2001 ; 28 Mar 2002 ;G-EMBS British Airways ;lsf British Regional Airlines ;;
; G-EMBU ;Embraer ERJ-145EU; CY50 ; 2 Jan 2002 ; 28 Mar 2002 ;G-EMBU British Airways ;lsf British Regional Airlines ;;
; G-ERJA ;Embraer ERJ-145EP; CY50 ; 25 Feb 2000 ; 28 Mar 2002 ;G-ERJA British Airways ;;;
; G-ERJB ;Embraer ERJ-145EP; CY50 ; 13 Mar 2000 ; 28 Mar 2002 ;G-ERJB British Airways ;;;
; G-ERJC ;Embraer ERJ-145EP; CY50 ; 25 Apr 2000 ; 28 Mar 2002 ;G-ERJC British Airways ;;;
; G-ERJD ;Embraer ERJ-145EP; CY50 ; 20 Jul 2000 ; 28 Mar 2002 ;G-ERJD British Airways ;;;
; G-ERJE ;Embraer ERJ-145EP; CY50 ; 15 Sep 2000 ; 28 Mar 2002 ;G-ERJE British Airways ;;;
; G-ERJF ;Embraer ERJ-145EP; CY50 ; 24 Oct 2000 ; 28 Mar 2002 ;G-ERJF British Airways ;;;
; G-ERJG ;Embraer ERJ-145EP; CY50 ; 8 Mar 2001 ; 28 Mar 2002 ;G-ERJG British Airways ;;;
