;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; UR-CQS ;Boeing 737-5Q8;; 12 Oct 2017 ; 11 Nov 2017 ;UR-CQS Kish Air ;;;
; UR-CJM ;British Aerospace 146-300;; 4 Jul 2011 ; Nov 2011 ;UR-CJM Mahan Airlines ;;;
; UR-CKT ;Fokker F100;; 20 Jul 2012 ; 7 Mar 2013 ;EP-FQF Qeshm Airlines ;;;
; UR-CKU ;Fokker F100;; 21 Jan 2013 ; 3 Jul 2013 ;EP-FQG Qeshm Airlines ;;;
; UR-CKV ;Fokker F100;; 21 Jan 2013 ; 24 Jul 2013 ;EP-FQI Qeshm Airlines ;;;
; UR-CKW ;Fokker F100;; 26 Feb 2012 ; Feb 2013 ;EP-FQJ Qeshm Airlines ;;;
; UR-BXI ;McDonnell Douglas MD-82 (DC-9-82);; 21 Apr 2009 ; 15 Jun 2018 ;UR-BXI Iran Airtour ;;;
; UR-BXL ;McDonnell Douglas MD-82 (DC-9-82);; 11 Jun 2010 ;;UR-BXL Iran Airtour ;;;
; UR-BXM ;McDonnell Douglas MD-82 (DC-9-82);; 9 Mar 2017 ;; Stored ;;;
; UR-CGS ;McDonnell Douglas MD-82 (DC-9-82);; 15 Nov 2010 ;; Stored ;;;
; UR-CGT ;McDonnell Douglas MD-82 (DC-9-82);; 31 Aug 2010 ;; Stored ;;;
; UR-CHW ;McDonnell Douglas MD-82 (DC-9-82);; Sep 2009 ; Sep 2009 ;UR-CHW Iran Airtour ;;;
; UR-CHX ;McDonnell Douglas MD-82 (DC-9-82);; 21 Apr 2016 ;; Stored ;;;
; UR-CHY ;McDonnell Douglas MD-82 (DC-9-82);; 21 May 2009 ; Aug 2009 ;UR-CHY Chabahar Airline ;;;
; UR-CHZ ;McDonnell Douglas MD-82 (DC-9-82);; 21 Apr 2009 ; 2010 ;UR-CHZ Iran Airtour ;;;
; UR-CJQ ;McDonnell Douglas MD-82 (DC-9-82);; 15 Nov 2011 ; 2 Apr 2012 ;UR-CJQ Iran Airtour ;lsd ;;
; UR-CJZ ;McDonnell Douglas MD-82 (DC-9-82);; 30 Nov 2011 ; 24 Sep 2012 ;UR-CJZ Iran Airtour ;;;
; UR-CRX ;McDonnell Douglas MD-82 (DC-9-82);; 6 Nov 2018 ; 5 Feb 2020 ;UR-CRX Bravo Airways ;lsf Air Fleet Management ;;
; UR-CSA ;McDonnell Douglas MD-82 (DC-9-82); Y172 ; 13 Dec 2018 ; 4 Feb 2020 ;UR-CSA Bravo Airways ;lsf Air Fleet Management ;;
; UR-BHJ ;McDonnell Douglas MD-83 (DC-9-83);; 9 Sep 2008 ; 17 Sep 2009 ;UR-BHJ Fars Air Qeshm ;;;
; UR-BXN ;McDonnell Douglas MD-83 (DC-9-83);; 22 Jun 2009 ; 22 Jun 2009 ;UR-BXN Kish Air ;;;
; UR-BXO ;McDonnell Douglas MD-83 (DC-9-83);; 21 Jun 2009 ; 21 Jun 2009 ;UR-BXO Kish Air ;;;
; UR-CIK ;McDonnell Douglas MD-83 (DC-9-83);; 10 Sep 2010 ; Feb 2012 ;UR-CIK ATA Airlines ;;;
; UR-COO ;McDonnell Douglas MD-83 (DC-9-83);; 26 Feb 2016 ; 1 Mar 2016 ;UR-COO Caspian Airlines ;;;
; UR-CPX ;McDonnell Douglas MD-83 (DC-9-83);; 22 Feb 2017 ; 25 Feb 2017 ;UR-CPX ATA Airlines ;;;
; UR-CQC ;McDonnell Douglas MD-83 (DC-9-83);; 26 Jan 2017 ; 20 Mar 2017 ;UR-CQC ATA Airlines ;;;
; UR-CIX ;McDonnell Douglas MD-88;; 5 May 2011 ; 7 May 2011 ;UR-CIX Taban Airlines ;;;
; UR-CIY ;McDonnell Douglas MD-88;; 6 Apr 2011 ; 6 May 2011 ;UR-CIY Taban Airlines ;;;
; UR-CIZ ;McDonnell Douglas MD-88;; 8 Apr 2011 ; 26 May 2011 ;UR-CIZ Taban Airlines ;;;
