;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; G-GNTZ ;British Aerospace 146-200A; CY82 ; 26 Nov 1994 ; 6 Nov 1997 ;G-GNTZ British Regional Airlines ;;;
; F-GHDB ;Saab 340A; Y33 ; 28 Sep 1992 ; Dec 1992 ;F-GHDB Brit Air ;lsf Brit Air ;;
; G-GNTA ;Saab 340A(QC); Y33 / Cargo ; 5 May 1991 ; 29 Mar 1998 ;G-GNTA British Midland ;;;
; G-GNTB ;Saab 340A(QC); Y33 / Cargo ; 30 Sep 1991 ; 29 Mar 1998 ;G-GNTB British Midland ;;;
; G-GNTD ;Saab 340A(QC); Y33 / Cargo ; 31 Dec 1992 ; 29 Mar 1998 ;G-GNTD British Midland Commuter ;;;
; G-GNTE ;Saab 340A(QC); Y33 / Cargo ; 22 Jan 1993 ; Oct 1996 ;G-GNTE British Regional Airlines ;lsd ;;
; G-GNTF ;Saab 340A; Y33 ; 27 Oct 1994 ; 29 Mar 1998 ;G-GNTF British Midland ;;;
; G-GNTG ;Saab 340A; Y33 ; 18 Nov 1994 ; 29 Mar 1998 ;G-GNTG British Midland Commuter ;;;
; G-GNTH ;Saab 340B; Y34 ; 23 Jan 1997 ; 29 Mar 1998 ;G-GNTH British Midland ;lsd ;;
; G-GNTI ;Saab 340B; Y34 ; 30 Jan 1997 ; 29 Mar 1998 ;G-GNTI British Midland ;lsd ;;
; G-GNTJ ;Saab 340B; Y34 ; 26 Feb 1997 ; 29 Mar 1998 ;G-GNTJ British Midland ;lsf Swedish Aircraft Two KB ;;
; G-RUNG ;Saab 340A; Y33 ; 3 Jun 1997 ; 29 Mar 1998 ;G-RUNG British Midland Commuter ;lsf Danish Air Transport (DAT) ;;
; SE-ISD ;Saab 340A; Y33 ; 27 Mar 1997 ; 2 Jul 1997 ;SE-ISD SAS Scandinavian Airlines ;lsf SAS Scandinavian Airlines ;;
; SE-KFA ;Saab 340A; Y33 ; 5 Nov 1996 ; 19 Mar 1997 ;OK-TOP Air Ostrava ;lsd ;;
; G-GNTC ;Saab Fairchild 340A; Y33 ; 25 Sep 1992 ; 29 Mar 1998 ;G-GNTC British Midland ;;;
; SE-ISO ;Saab Fairchild 340A;; 31 May 1994 ; 15 Dec 1994 ;SE-ISO British Midland ;lsf Skyways ;;
; SE-ISS ;Saab Fairchild 340A;; 26 Mar 1994 ; 31 May 1994 ;SE-ISS British Midland ;lsf Swedair ;;
