;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N880DV ;British Aerospace 146-200A; Y88 ; 28 Mar 1992 ; Dec 1993 ;N880DV Delta Connection ;880, lsd ;;
; N881DV ;British Aerospace 146-200A; Y88 ; Apr 1992 ; Apr 1994 ;N881DV Delta Connection ;881, lsd ;;
; N882DV ;British Aerospace 146-200A;; 2 Mar 1992 ; 8 Nov 1994 ;N719TA Trans American Charter ;;;
; N883DV ;British Aerospace 146-200A;; 27 Feb 1992 ; 21 Jun 1995 ;N138TR TriStar Airlines ;;;
; N884DV ;British Aerospace 146-200A;; 2 Feb 1992 ; 13 Jul 1995 ;N156TR TriStar Airlines ;;;
; N832BE ;British Aerospace Avro RJ70; CY69 ; 9 Sep 1993 ; 9 Mar 1996 ;N832BE Delta Connection ;832, lsd ;;
; N833BE ;British Aerospace Avro RJ70; CY69 ; 28 Sep 1993 ; 4 Apr 1996 ;N833BE Delta Connection ;833, lsd ;;
; N834BE ;British Aerospace Avro RJ70; CY69 ; 12 Nov 1993 ; 10 Jan 1996 ;N834BE Delta Connection ;834, lsd ;;
; N334BE ;Saab 340A;; 30 Jul 1998 ; 8 Oct 1999 ;N158CQ Chautauqua Airlines ;lsd ;;
; N335BE ;Saab 340A;; 9 Feb 1998 ; 12 Nov 1999 ;N335BE Chautauqua Airlines ;lsd ;;
; N337BE ;Saab 340A;; 18 Mar 1998 ; 10 Feb 2000 ;C-FPAI Provincial Airlines ;;;
; N339BE ;Saab 340A;; Oct 1997 ; Sep 2001 ;N339BE Unknown ;;;
; N340BE ;Saab 340A;; 31 Oct 1986 ; 8 Jan 1999 ;N340BE Unknown ;;;
; N341BE ;Saab 340A;; 31 Oct 1986 ; 8 Jan 1999 ;N341BE Unknown ;;;
; N342BE ;Saab 340A;; 27 Aug 1987 ; 15 May 2000 ;N96CN Chautauqua Airlines ;lsd ;;
; N343BE ;Saab 340A;; 30 Sep 1987 ; 15 Mar 2000 ;N101CN Chautauqua Airlines ;;;
; N344BE ;Saab 340A;; 26 Oct 1987 ; Apr 2000 ;N104CQ Chautauqua Airlines ;;;
; N345BE ;Saab 340A;; 8 Dec 1987 ; 15 Jun 2000 ;N108CQ Chautauqua Airlines ;lsd ;;
; N346BE ;Saab 340A;; 22 Jun 1989 ; 1 Oct 2000 ;N150CN Chautauqua Airlines ;;;
; N347BE ;Saab 340B;; 28 Apr 1990 ; Dec 2000 ;XA-TUN Aerolitoral ;;;
; N348BE ;Saab 340B;; 19 May 1990 ; Jun 2001 ;XA-TUQ Aerolitoral ;lsd ;;
; N349BE ;Saab 340B;; 18 Jun 1990 ; Dec 2000 ;XA-TUC Aerolitoral ;349, lsf Swedish Aircraft Two KB ;;
; N350BE ;Saab 340B;; 28 Jun 1990 ; Aug 2000 ;N350BE Colgan Air ;;;
; N351BE ;Saab 340B;; 31 May 1991 ; 5 Dec 2000 ;N351BE Colgan Air ;351, lsd ;;
; N352BE ;Saab 340B;; 31 May 1991 ; Aug 2000 ;N352BE Colgan Air ;352, lsd ;;
; N353BE ;Saab 340B;; 31 May 1991 ; 17 Oct 2000 ;N353BE Colgan Air ;253, lsd ;;
; N354BE ;Saab 340B;; 14 Jun 1991 ; Dec 2000 ;XA-TUM Aerolitoral ;354 ;;
; N355BE ;Saab 340B;; 30 Dec 1991 ; 14 Dec 2000 ;VH-RXX REX Airlines ;lsd ;;
; N356BE ;Saab 340B;; 10 Dec 1991 ; Dec 2000 ;N275CJ Saab Aircraft Leasing ;356, lsd ;;
; N357BE ;Saab 340B; Y34 ; 12 Dec 1991 ; Dec 2000 ;N357BE Colgan Air ;357, lsd ;;
; N358BE ;Saab 340B; Y34 ; 14 Jan 1992 ; 8 Dec 2000 ;VH-RXN REX Airlines ;358, lsd ;;
; N359BE ;Saab 340B; Y34 ; 14 Feb 1992 ; Dec 2000 ;VH-RXS REX Airlines ;359, lsd ;;
; N360BE ;Saab 340B; Y34 ; 25 Feb 1992 ; 10 Aug 2001 ;N360BE Colgan Air ;360, lsd ;;
; N361BE ;Saab 340B; Y34 ; 25 Mar 1992 ; Dec 2000 ;VH-KRX REX Airlines ;361 ;;
; N362BE ;Saab 340B; Y34 ; 25 Mar 1992 ; Dec 2000 ;N362BE PenAir ;362 ;;
; N363BE ;Saab 340B; Y34 ; 15 Apr 1992 ; Dec 2000 ;VH-ORX REX Airlines ;363 ;;
; N364BE ;Saab 340B; Y34 ; 13 Apr 1992 ; 15 Oct 2000 ;N364BE Colgan Air ;364, lsd ;;
; N365BE ;Saab 340B; Y34 ; 20 May 1992 ; Sep 2000 ;N299CJ Colgan Air ;365 ;;
; N366BE ;Saab 340B; Y34 ; 23 Jun 1992 ; Dec 2000 ;VH-PRX REX Airlines ;366 ;;
; N741BA ;Saab 340A;; 1 May 1991 ; Dec 2000 ;N741BA White Industries ;;;
; N742BA ;Saab 340A;; May 1991 ; Dec 2000 ;N742BA WFBN Wells Fargo Bank Northwest ;;;
; N743BA ;Saab 340A;; 25 May 1991 ; Dec 2000 ;N743BA WFBN Wells Fargo Bank Northwest ;;;
; N744BA ;Saab 340A;; May 1991 ; Dec 2000 ;N744BA White Industries ;;;
; N745BA ;Saab 340A;; May 1991 ; Dec 2000 ;C-GQXK Quebecair Express ;;;
; N746BA ;Saab 340A;; 30 Apr 1991 ; 24 Mar 2000 ;N138CQ Chautauqua Airlines ;;;
; N747BA ;Saab 340A;; 7 May 1991 ; 28 Jan 2000 ;N747BA Chautauqua Airlines ;lsd ;;
; N748BA ;Saab 340A;; 7 May 1991 ; 2 Aug 1999 ;N149CQ Chautauqua Airlines ;lsd ;;
; N749BA ;Saab 340A;; 9 May 1991 ; 7 Jan 2000 ;N749BA Chautauqua Airlines ;749, lsd ;;
; N751BA ;Saab 340A;; 3 May 1991 ; 1 Sep 1999 ;N751BA Chautauqua Airlines ;lsd ;;
; N336BE ;Saab Fairchild 340A;; 1 Apr 1998 ; 17 May 2001 ;C-FPAG Provincial Airlines ;336 ;;
; N338BE ;Saab Fairchild 340A;; Jul 1997 ; Sep 2001 ;N338BE Unknown ;;;
