;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; F-GYFM ;Airbus A319-112; Y145 ; 13 Nov 2002 ; 14 Oct 2010 ;F-GYFM Air Corsica ;lsf Johannesburg Limited ;;
; F-GYFN ;Airbus A319-112; Y145 ; 29 Oct 2003 ; 23 Apr 2004 ;F-OHJX Delvaux Aircraft Leasing ;lsd ;;
; F-GYJM ;Airbus A319-112; Y145 ; 3 Feb 2003 ; 14 Oct 2010 ;F-GYJM Air Corsica ;lsf Johannesburg Limited ;;
; F-GYFK ;Airbus A320-214;; 4 Mar 2004 ; 1 Apr 2011 ;EI-DDL BBAM ;lsd ;;
; F-GYFL ;Airbus A320-214;; 16 Apr 2004 ; 24 Jun 2010 ;CS-TQO White ;lsd ;;
; F-HBEV ;Airbus A320-216; Y180 ; 1 Oct 2009 ; 14 Oct 2010 ;F-HBEV Air Corsica ;;;
; F-HBSA ;Airbus A320-216; Y180 ; 13 Jan 2010 ; 14 Oct 2010 ;F-HBSA Air Corsica ;;;
; F-GHNS ;ATR 42-500; Y48 ; 23 Mar 2005 ; 3 Feb 2006 ;VT-ADQ Air Deccan ;lsd ;;
; F-GKPC ;ATR 72-202;; 1 Aug 2002 ; 11 Jan 2007 ;EC-KAD Swiftair ;;;
; F-GKPD ;ATR 72-202;; 1 Aug 2002 ; 29 Mar 2006 ;F-GKPD Airlinair ;;;
; F-GKPE ;ATR 72-202;; 1 Aug 2002 ; 21 Dec 2006 ;F-GKPE West Air Europe ;;;
; F-GKPF ;ATR 72-202;; 1 Aug 2002 ; 5 Apr 2006 ;HB-AFL Farnair Switzerland ;;;
; F-GKPH ;ATR 72-202;; 1 Aug 2002 ; 27 Jun 2007 ;F-GKPH ATRiam Capital ;lsd ;;
; F-GMGK ;ATR 72-202;; 1 Aug 2002 ; 18 Nov 2005 ;F-GMGK ATRiam Capital ;lsd ;;
; F-GRPI ;ATR 72-500 (72-212A); Y70 ; 13 Dec 2005 ; 14 Oct 2010 ;F-GRPI Air France ;;;
; F-GRPJ ;ATR 72-500 (72-212A); Y70 ; 23 Dec 2005 ; 14 Oct 2010 ;F-GRPJ Air Corsica ;lsf Kaliste Prop ;;
; F-GRPK ;ATR 72-500 (72-212A); Y70 ; 30 Mar 2006 ; 14 Oct 2010 ;F-GRPK Air Corsica ;lsf Kaliste Prop ;;
; F-GRPX ;ATR 72-500 (72-212A); Y70 ; 4 Oct 2006 ; 14 Oct 2010 ;F-GRPX Air Corsica ;lsf Kaliste Prop ;;
; F-GRPY ;ATR 72-500 (72-212A); Y70 ; 9 Feb 2007 ; 14 Oct 2010 ;F-GRPY Air Corsica ;lsf Kaliste Prop ;;
; F-GRPZ ;ATR 72-500 (72-212A); Y70 ; 24 Mar 2007 ; 14 Oct 2010 ;F-GRPZ Air Corsica ;lsf Kaliste Prop ;;
; F-GIOA ;Fokker F100; Y109 ; 1 Aug 2002 ; 30 Sep 2002 ; Scrapped ;lsd ;;
; F-GMPG ;Fokker F100; Y109 ; 1 Aug 2002 ; 25 Jul 2005 ;F-GMPG Régional ;;;
; F-GNLJ ;Fokker F100; Y109 ; 1 Aug 2002 ; 11 Oct 2005 ;F-GNLJ Air France ;lsd ;;
