;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; G-ASJC ;BAC 1-11-201AC One-Eleven;; 30 Nov 1970 ; 1 Nov 1971 ;G-ASJC British Caledonian ;;;
; G-ASJD ;BAC 1-11-201AC One-Eleven;; 30 Nov 1970 ; 21 Sep 1971 ;XX105 Royal Aircraft Establishment (RAE) ;;;
; G-ASJE ;BAC 1-11-201AC One-Eleven;; 30 Nov 1970 ; 1 Nov 1971 ;G-ASJE British Caledonian ;;;
; G-ASJF ;BAC 1-11-201AC One-Eleven;; 30 Nov 1970 ; 1 Nov 1971 ;G-ASJF British Caledonian ;;;
; G-ASJG ;BAC 1-11-201AC One-Eleven;; 30 Nov 1970 ; 1 Nov 1971 ;G-ASJG British Caledonian ;;;
; G-ASJH ;BAC 1-11-201AC One-Eleven;; 30 Nov 1970 ; 1 Nov 1971 ;G-ASJH British Caledonian ;;;
; G-ASJI ;BAC 1-11-201AC One-Eleven;; 30 Nov 1970 ; 1 Nov 1971 ;G-ASJI British Caledonian ;;;
; G-ASTJ ;BAC 1-11-201AC One-Eleven;; 30 Nov 1970 ; 1 Nov 1971 ;G-ASTJ British Caledonian ;Royal Burgh of Dunfermline ;;
; G-AWWX ;BAC 1-11-509EW One-Eleven;; 30 Nov 1970 ; 1 Nov 1971 ;G-AWWX British Caledonian ;Flagship Isle of Skye ;;
; G-AWWY ;BAC 1-11-509EW One-Eleven;; 30 Nov 1970 ; 1 Nov 1971 ;G-AWWY British Caledonian ;;;
; G-AWWZ ;BAC 1-11-509EW One-Eleven;; 30 Nov 1970 ; 1 Nov 1971 ;G-AWWZ British Caledonian ;Isle of Eriskay ;;
; G-AWYR ;BAC 1-11-501EX One-Eleven;; 30 Nov 1970 ; 1 Nov 1971 ;G-AWYR British Caledonian ;Isle of Tiree ;;
; G-AWYS ;BAC 1-11-501EX One-Eleven;; 30 Nov 1970 ; 1 Nov 1971 ;G-AWYS British Caledonian ;Isle of Bute ;;
; G-AWYT ;BAC 1-11-501EX One-Eleven;; 30 Nov 1970 ; 1 Nov 1971 ;G-AWYT British Caledonian ;;;
; G-AWYU ;BAC 1-11-501EX One-Eleven;; 30 Nov 1970 ; 1 Nov 1971 ;G-AWYU British Caledonian ;;;
; G-AWYV ;BAC 1-11-501EX One-Eleven;; 30 Nov 1970 ; 1 Nov 1971 ;G-AWYV British Caledonian ;Isle of Harris ;;
; G-AXJK ;BAC 1-11-501EX One-Eleven;; 30 Nov 1970 ; 1 Nov 1971 ;G-AXJK British Caledonian ;Isle of Staffa ;;
; G-AXJL ;BAC 1-11-501EX One-Eleven;; 30 Nov 1970 ; 1 Nov 1971 ;G-AXJL British Caledonian ;Isle of Mingulay ;;
; G-AXJM ;BAC 1-11-501EX One-Eleven;; 30 Nov 1970 ; 1 Nov 1971 ;G-AXJM British Caledonian ;;;
; G-AXYD ;BAC 1-11-509EW One-Eleven;; 30 Nov 1970 ; 1 Nov 1971 ;G-AXYD British Caledonian ;Isle of Arran ;;
; G-ARTA ;BAC Vickers VC-10 (1109); Y132 ; 30 Nov 1970 ; 1 Nov 1971 ;G-ARTA British Caledonian ;Loch Ness ;;
; G-ASIW ;BAC Vickers VC-10 (1103); Y93/Cargo ; 30 Nov 1970 ; 1 Nov 1971 ;G-ASIW British Caledonian ;Loch Lomond ;;
; G-ASIX ;BAC Vickers VC-10 (1103); Y93/Cargo ; 30 Nov 1970 ; 1 Nov 1971 ;G-ASIX British Caledonian ;Loch Maree ;;
; G-ATDJ ;BAC Vickers VC-10 (1103); Y93/Cargo ; 30 Nov 1970 ; 1 Nov 1971 ;G-ATDJ British Caledonian ;Loch Fyne ;;
