;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; C-FACJ ;Boeing 757-223(PCF)(WL); Cargo ; 18 Jun 2021 ;; 508 ; 22.8 Years ;;
; C-FGKJ ;Boeing 757-223(PCF)(WL); Cargo ; 30 Dec 2014 ;; 504 ; 30 Years ;;
; C-FKAJ ;Boeing 757-23A(PCF); Cargo ; 12 Mar 2014 ;lsd ; 502 ; 32.3 Years ;;
; C-FKCJ ;Boeing 757-236(PCF); Cargo ; 10 Mar 2008 ;lsd ; 501 ; 31.9 Years ;;
; C-FLAJ ;Boeing 757-23A(PCF); Cargo ; 5 Sep 2014 ;lsd ; 503 ; 32.1 Years ;;
; C-GAJU ;Boeing 757-225(WL);; Due ; Stored ;; 34.3 Years ;;
; C-GCJT ;Boeing 757-223(PCF)(WL); Cargo ; 26 Apr 2017 ;; 505 ; 30.7 Years ;;
; C-GIAJ ;Boeing 757-28A(PCF); Cargo ; 4 Mar 2014 ;lsd ; 500 ; 34.9 Years ;;
; C-GTCJ ;Boeing 757-223(PCF)(WL); Cargo ; 21 Jun 2018 ;; 506 ; 28.8 Years ;;
; C-GVAJ ;Boeing 757-223(PCF)(WL); Cargo ; 26 Sep 2018 ;; 507 ; 30.6 Years ;;
; C- ;Boeing 757-2G5(WL);; Due ; Stored ;; 22 Years ;;
; C-FGAJ ;Boeing 767-223(BDSF); Cargo ; 4 Aug 2008 ;; 601 ; 36.9 Years ;;
; C-FHCJ ;Boeing 767-224ER(BDSF); Cargo ; 4 Feb 2020 ;; 607 ; 21.3 Years ;;
; C-FOIJ ;Boeing 767-224ER(BDSF); Cargo ; 8 Apr 2020 ;; 606 ; 21.4 Years ;;
; C-FCAE ;Boeing 767-375ER(BDSF); Cargo ; 21 Jan 2020 ;lsd ; 643 ; 33.8 Years ;;
; C-FCCJ ;Boeing 767-323ER(BDSF)(WL); Cargo ; 27 Oct 2017 ;lsd ; 640 ; 29.9 Years ;;
; C-FDIJ ;Boeing 767-39HER(BDSF); Cargo ; 2 Apr 2015 ;lsd ; 635 ; 28.9 Years ;;
; C-FGSJ ;Boeing 767-39HER(BCF)(WL); Cargo ; 16 Jan 2015 ;; 634 ; 29 Years ;;
; C-FMAJ ;Boeing 767-323ER(BDSF)(WL); Cargo ; 8 Feb 2022 ;;; 33.6 Years ;;
; C-FMIJ ;Boeing 767-328ER(BDSF); Cargo ; 11 Sep 2015 ;; 636 ; 28.8 Years ;;
; C-FPIJ ;Boeing 767-33AER(BDSF); Cargo ; 6 Nov 2014 ;; 633 ; 26 Years ;;
; C-GAAJ ;Boeing 767-323ER(BDSF)(WL); Cargo ; 17 Jan 2019 ;lsd ; 641 ; 28.9 Years ;;
; C-GAJG ;Boeing 767-323ER(BDSF)(WL); Cargo ; 23 Nov 2018 ;lsd ; 642 ; 29.5 Years ;;
; C-GAZF ;Boeing 767-338ER(BDSF)(WL); Cargo ; 25 Jun 2021 ;lsf Amazon Services LLC, opf Amazon Prime Air ; 647 ; 30.3 Years ;;
; C-GAZI ;Boeing 767-338ER(BDSF)(WL); Cargo ; 13 Jul 2021 ;lsf Amazon Services LLC, opf Amazon Prime Air ; 646 ; 27.6 Years ;;
; C-GCIJ ;Boeing 767-306ER(BDSF); Cargo ; 4 Jan 2016 ;; 638 ; 26.5 Years ;;
; C-GOCJ ;Boeing 767-316ER(BDSF)(WL); Cargo ; 6 Nov 2020 ;lsd ; 644 ; 23.9 Years ;;
; C-GUAJ ;Boeing 767-35EER(BCF); Cargo ; 9 Oct 2014 ;; 631 ; 29.8 Years ;;
; C-GVIJ ;Boeing 767-328ER(BDSF); Cargo ; 9 Mar 2015 ;; 637 ; 28.1 Years ;;
; C-GXAJ ;Boeing 767-323ER(BDSF); Cargo ; 1 Nov 2018 ;; 639 ; 30 Years ;;
; C-GYAJ ;Boeing 767-35EER(BCF); Cargo ; 9 Oct 2014 ;lsd ; 632 ; 29.7 Years ;;
; C- ;Boeing 767-306ER(WL);; Due ; Stored ;; 26.6 Years ;;
; C- ;Boeing 777-232LR; Cargo ; Due ; Stored, lsd ;; 12.9 Years ;;
