;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; 9Y-TTA ;ATR 72-600 (72-212A); Y68 ; 9 Nov 2011 ;; 10.3 Years ;;
; 9Y-TTB ;ATR 72-600 (72-212A); Y68 ; 16 Dec 2011 ;; 10.2 Years ;;
; 9Y-TTC ;ATR 72-600 (72-212A); Y68 ; 10 Aug 2012 ; Parked ; 10.1 Years ;;
; 9Y-TTD ;ATR 72-600 (72-212A); Y68 ; 21 Sep 2012 ;; 10 Years ;;
; 9Y-TTE ;ATR 72-600 (72-212A); Y68 ; 14 Nov 2012 ;; 9.8 Years ;;
; 9Y-TTF ;ATR 72-600 (72-212A);; 26 Feb 2020 ;lsd ; 8.1 Years ;;
; 9Y-TTI ;ATR 72-600 (72-212A);; 15 Jan 2020 ;lsd ; 6 Years ;;
; 9Y-ANT ;Boeing 737-8 MAX;; 18 Jan 2022 ;; 0.4 Years ;;
; 9Y-BAH ;Boeing 737-8 MAX;; On Order ;lsd ; 0.1 Years ;;
; 9Y-BAR ;Boeing 737-8 MAX;; 24 Feb 2022 ;; 0.4 Years ;;
; 9Y-CAL ;Boeing 737-8 MAX;; 17 Nov 2021 ;lsd ; 0.7 Years ;;
; 9Y-GRN ;Boeing 737-8 MAX;; On Order ;; 0.1 Years ;;
; 9Y-GUY ;Boeing 737-8 MAX;; 1 Dec 2021 ;lsd ; 0.7 Years ;;
; 9Y-JAM ;Boeing 737-8 MAX;; On Order ;; 0.2 Years ;;
; 9Y-SUR ;Boeing 737-8 MAX;; On Order ;; 0.1 Years ;;
; 9Y-ANU ;Boeing 737-8Q8(WL); C16Y138 ; 1 Jan 2007 ;lsd ; 21.4 Years ;;
; 9Y-GEO ;Boeing 737-8Q8(WL); C16Y138 ; 28 Aug 2007 ;Spirit of Guyana, lsd ; 22.3 Years ;;
; 9Y-JME ;Boeing 737-86J(WL); C16Y138 ; 21 Apr 2014 ;lsd ; 19.1 Years ;;
; 9Y-JMF ;Boeing 737-8Q8(WL); C16Y138 ; 5 Apr 2013 ;lsd ; 14.4 Years ;;
; 9Y-KIN ;Boeing 737-8Q8(WL); C16Y138 ; 1 Jan 2007 ; Parked, lsd ; 21.4 Years ;;
; 9Y-MBJ ;Boeing 737-85P(WL); C16Y138 ; 10 Nov 2011 ;lsd ; 14.9 Years ;;
; 9Y-POS ;Boeing 737-8Q8(WL); C16Y138 ; 1 Jan 2007 ; Parked POS, lsd ; 22 Years ;;
; 9Y-TAB ;Boeing 737-8Q8(WL); C16Y138 ; 1 Jan 2007 ;lsd ; 21.7 Years ;;
