;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; B-HTG ;Airbus A321-231; C24Y148 ; 19 Feb 2021 ; Parked, lsd ; 20 Years ;;
; B-HTH ;Airbus A321-231; C24Y148 ; 19 Feb 2021 ; Parked ASP ; 18.5 Years ;;
; B-HTI ;Airbus A321-231; C24Y148 ; 19 Feb 2021 ; Parked ASP ; 18.4 Years ;;
; B-HTK ;Airbus A321-231; C24Y148 ; 19 Feb 2021 ; Parked, lsd ; 13.4 Years ;;
; B-HPB ;Airbus A321-251NX; C12Y190 ; 13 Nov 2020 ; Parked ; 1.3 Years ;;
; B-HPD ;Airbus A321-251NX; C12Y190 ; 8 Dec 2020 ; Parked ; 1.3 Years ;;
; B-HPE ;Airbus A321-251NX; C12Y190 ; 29 Apr 2021 ;; 0.9 Years ;;
; B-HPF ;Airbus A321-251NX; C12Y190 ; On Order ;;;;
; B-HPG ;Airbus A321-251NX; C12Y190 ; 10 Jun 2021 ; Parked ; 0.8 Years ;;
; B-HPH ;Airbus A321-251NX; C12Y190 ; 23 Nov 2021 ; Parked ; 0.3 Years ;;
; B-HLM ;Airbus A330-343; C24Y293 ; 21 Dec 2020 ;; 21.1 Years ;;
; B-HLN ;Airbus A330-343; C24Y293 ; 21 Dec 2020 ; Parked ; 21.1 Years ;;
; B-HLO ;Airbus A330-343; C24Y293 ; 20 Oct 2020 ;lsd ; 21 Years ;;
; B-HLP ;Airbus A330-343; C39Y223 ; 10 Aug 2001 ; Parked ASP ; 20.6 Years ;;
; B-HLQ ;Airbus A330-343; C39W21Y191 ; 31 Aug 2001 ; Parked ASP ; 20.5 Years ;;
; B-HLR ;Airbus A330-343; C39Y223 ; 28 Sep 2001 ; Parked ; 20.5 Years ;;
; B-HLS ;Airbus A330-343; C39W21Y191 ; 5 Oct 2001 ; Parked ASP ; 20.5 Years ;;
; B-HLT ;Airbus A330-343; C24Y293 ; 20 Oct 2020 ; Parked ; 20.3 Years ;;
; B-HLU ;Airbus A330-343; C24Y293 ; 8 Sep 2003 ; Parked ASP, oneworld cs ; 18.6 Years ;;
; B-HLV ;Airbus A330-343; C24Y293 ; 26 Sep 2003 ; Parked ASP ; 18.5 Years ;;
; B-HLW ;Airbus A330-343; C39Y223 ; 12 Dec 2003 ; Parked ; 18.3 Years ;;
; B-HWM ;Airbus A330-343; C42Y265 ; 9 Aug 2021 ; Parked ; 8.4 Years ;;
; B-HYQ ;Airbus A330-343;; 4 Oct 2020 ; Parked, lsd ; 18 Years ;;
; B-LAA ;Airbus A330-342; C42Y265 ; 20 Oct 2020 ; Parked, lsd ; 16.8 Years ;;
; B-LAB ;Airbus A330-342; C42Y265 ; 20 Oct 2020 ; Parked, lsd ; 16.8 Years ;;
; B-LAD ;Airbus A330-342; C39W21Y191 ; 25 Aug 2006 ; Parked ASP ; 15.7 Years ;;
; B-LAE ;Airbus A330-342; C28Y265 ; 27 Jul 2007 ;; 14.7 Years ;;
; B-LAF ;Airbus A330-342; C39W21Y191 ; 31 Aug 2007 ; Parked ASP ; 14.5 Years ;;
; B-LAJ ;Airbus A330-342; C39Y223 ; 22 Oct 2010 ; Parked ; 11.4 Years ;;
; B-LAK ;Airbus A330-343; C28Y265 ; 25 Feb 2011 ; Parked ; 11.1 Years ;;
; B-LAL ;Airbus A330-343; C28Y265 ; 13 May 2011 ;; 10.9 Years ;;
; B-LAM ;Airbus A330-343; C39Y223 ; 29 Jul 2011 ; Parked ; 10.7 Years ;;
; B-LAN ;Airbus A330-343; C39Y223 ; 24 Feb 2012 ;; 10.1 Years ;;
; B-LAO ;Airbus A330-343; C39Y223 ; 15 Jun 2012 ;; 9.8 Years ;;
; B-LAP ;Airbus A330-343; C28Y265 ; 28 Sep 2012 ; Parked ; 9.5 Years ;;
; B-LAQ ;Airbus A330-343; C39W21Y191 ; 17 Oct 2012 ; Parked ASP ; 9.5 Years ;;
; B-LAR ;Airbus A330-343; C39Y223 ; 26 Nov 2012 ;; 9.3 Years ;;
; B-LAX ;Airbus A330-343; C39Y223 ; 7 Dec 2012 ;; 9.3 Years ;;
; B-LAZ ;Airbus A330-343; C39Y223 ; 25 Feb 2013 ;; 9.1 Years ;;
; B-LBA ;Airbus A330-343; C39Y223 ; 26 Apr 2013 ;; 8.9 Years ;;
; B-LBB ;Airbus A330-343; C39Y223 ; 19 Jul 2013 ;; 8.7 Years ;;
; B-LBC ;Airbus A330-343; C39Y223 ; 19 Aug 2013 ;; 8.6 Years ;;
; B-LBD ;Airbus A330-343; C42Y265 ; 2 Dec 2020 ; Parked XMN ; 8 Years ;;
; B-LBE ;Airbus A330-343; C24Y293 ; 20 Oct 2020 ;; 7.8 Years ;;
; B-LBF ;Airbus A330-343; C24Y293 ; 20 Oct 2020 ;; 7.7 Years ;;
; B-LBG ;Airbus A330-343; C24Y293 ; 20 Oct 2020 ;; 7.5 Years ;;
; B-LBH ;Airbus A330-343; C24Y293 ; 20 Oct 2020 ;; 7.4 Years ;;
; B-LBI ;Airbus A330-343; C24Y293 ; 2 Dec 2020 ; Parked ; 7.1 Years ;;
; B-LBJ ;Airbus A330-343; C39W21Y191 ; 30 Apr 2015 ; Parked ASP ; 6.9 Years ;;
; B-LBK ;Airbus A330-343; C24Y293 ; 2 Dec 2020 ;; 7 Years ;;
