;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; OK-CCB ;Saab 340A;; 24 Nov 2005 ; 25 Apr 2008 ;OK-CCB OCA International ;;;
; OK-CCC ;Saab 340B;; 15 Mar 2006 ; 1 Jun 2015 ;HA-TVG Fleet Air International ;;;
; OK-CCD ;Saab 340B;; Oct 2007 ; 30 Jun 2014 ;OK-CCD Fly Lappeenranta ;;;
; OK-CCE ;Saab 340A(F); Cargo ; 6 Feb 2006 ; 10 Aug 2011 ;N844KH Aloha Air Cargo ;;;
; OK-CCF ;Saab 340A;; 5 Aug 2005 ; 2007 ; Scrapped ;;;
; OK-CCG ;Saab 340A(F); Cargo ; 12 Apr 2005 ; 2009 ; Preserved ;;;
; OK-CCK ;Saab 340A(F); Cargo ; 15 Oct 2007 ; Aug 2011 ;SE-LSR Siemens Financial Services ;;;
; OK-CCL ;Saab 340A(F); Cargo ; 25 Jan 2008 ; Sep 2012 ; Scrapped ;;;
; OK-CCN ;Saab 340B;; 21 Oct 2008 ; 6 Oct 2011 ;SE-KTE Golden Air ;Ostrava cs ;;
; OK-CCO ;Saab 340B;; 21 Oct 2008 ; 2012 ;OK-CCO Czech Airlines (CSA) ;;;
