;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; C-FDNG ;De Havilland Canada DHC-8-102 Dash 8;; 10 Mar 2017 ;; 32.6 Years ;;
; C-FVRJ ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 17 Jul 2019 ;; 30 Years ;;
; C-GMJJ ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 15 Apr 2019 ;; 30.4 Years ;;
; C-GNCJ ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 5 Sep 2019 ;; 29.8 Years ;;
; C-GYSJ ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 27 Sep 2019 ;; 30.3 Years ;;
; C-GBCT ;De Havilland Canada DHC-8-311Q Dash 8;; 6 Jul 2021 ;; 25.2 Years ;;
; C-GJBU ;De Havilland Canada DHC-8-311Q Dash 8;; 13 Oct 2021 ; Parked ; 23.3 Years ;;
; C-GUXZ ;De Havilland Canada DHC-8-311Q Dash 8;; 16 Jun 2021 ;; 21.3 Years ;;
; C-FCMG ;Dornier 328-110; Y30 ; 7 Jul 2014 ;; 26.5 Years ;;
; C-FDYN ;Dornier 328-110; Y30 ; 17 Feb 2005 ;; 24.1 Years ;;
; C-FHVX ;Dornier 328-110; Y30 ; 28 Feb 2006 ;; 24.1 Years ;;
