;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N742WA ;Boeing 747-412(BDSF); Cargo ; 23 Jul 2015 ; 7 Nov 2017 ;ER-BAJ Aerotranscargo ;lsd ;;
; N901AR ;Boeing 747-4R7F; Cargo ; 30 Sep 2013 ; 16 Sep 2015 ;N901AR Kalitta Air ;lsd ;;
; N902AR ;Boeing 747-428ERF; Cargo ; 15 Nov 2013 ; 24 Dec 2016 ;OE-IFP AerCap ;lsd ;;
; N904AR ;Boeing 747-428ERF; Cargo ; 2 Sep 2014 ; 1 Jan 2017 ;N904AR Sky Lease Cargo ;opby Sky Lease Cargo ;;
; N68044 ;McDonnell Douglas DC-10-10(F); Cargo ; 4 Dec 2006 ; 28 Jul 2007 ;CP-2489 TAB Cargo ;lsf Emery Worldwide Airlines ;;
; N189AX ;McDonnell Douglas DC-10-30F; Cargo ; 20 Jan 2004 ; 28 Apr 2004 ; Written Off ;Spirit of Success ;;
; N279AX ;McDonnell Douglas DC-10-30(F); Cargo ; 26 Jan 2004 ; 20 May 2010 ;N279AX Avocet Capital LLC ;Wings of Miami ;;
; N304SP ;McDonnell Douglas DC-10-30(F); Cargo ; 2 Aug 2005 ; 4 Nov 2007 ;N304SP MTA Cargo ;lsf DC-Cuatro Cargo SA ;;
; N306FV ;McDonnell Douglas DC-10-30(F); Cargo ; 22 Sep 2005 ;; Scrapped ;lsd ;;
; N47888 ;McDonnell Douglas DC-10-30(F); Cargo ; 9 Mar 2004 ; 4 Oct 2010 ;N900AR Cielos del Peru ;Captain Mike ;;
; N612GC ;McDonnell Douglas DC-10-30(F); Cargo ; 13 Oct 2004 ; Jun 2010 ;N612GC Cielos del Peru ;;;
; N614GC ;McDonnell Douglas DC-10-30(F); Cargo ; 7 Mar 2008 ; Mar 2010 ;N614GC Cielos del Peru ;lsf Cielos del Peru ;;
; N140WE ;McDonnell Douglas DC-10-40(F); Cargo ; 15 Aug 2001 ; 31 Jul 2004 ;N140WE South Winds Cargo ;lsd ;;
; N141WE ;McDonnell Douglas DC-10-40(F); Cargo ; Jan 2001 ; 16 Sep 2003 ;VP-BDG Aeroflot Cargo ;;;
; N142WE ;McDonnell Douglas DC-10-40(F); Cargo ; Aug 2002 ; 16 Oct 2003 ;VP-BDH Aeroflot - Russian Airlines ;;;
; N984AR ;McDonnell Douglas MD-11CF; Cargo ; 24 Jun 2009 ; 14 Mar 2015 ; Scrapped ;Capt. Luis C. Donado V. ;;
; N985AR ;McDonnell Douglas MD-11F; Cargo ; 7 Nov 2009 ;; Scrapped ;Frank Fine, lsd ;;
; N986AR ;McDonnell Douglas MD-11CF; Cargo ; 23 Oct 2009 ; 1 Jan 2017 ;N986AR Sky Lease Cargo ;opby Sky Lease Cargo ;;
; N987AR ;McDonnell Douglas MD-11F; Cargo ; 14 Nov 2012 ; 25 Dec 2016 ;N987AR Sky Lease Cargo ;Petete ;;
; N988AR ;McDonnell Douglas MD-11F; Cargo ; 25 May 2010 ; 13 Oct 2012 ; Written Off ;Petete, lsd ;;
