;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N300CE ;Saab 340B;; 21 Jul 2000 ; 28 Mar 2005 ;N300CE ATA Connection ;300, lsf Key Corporation Leasing ;;
; N301CE ;Saab 340B;; 28 Jul 2000 ; 28 Mar 2005 ;N301CE ATA Connection ;301 ;;
; N302CE ;Saab 340B;; 29 Aug 2000 ; 23 Mar 2005 ;N302CE ATA Connection ;302 ;;
; N303CE ;Saab 340B; Y34 ; 13 Mar 2000 ; 14 Mar 2005 ;N303CE ATA Connection ;303 ;;
; N304CE ;Saab 340B;; 19 Jul 2000 ; 28 Mar 2005 ;N304CE ATA Connection ;304 ;;
; N305CE ;Saab 340B;; 20 Dec 2000 ; 2 Mar 2005 ;N305CE ATA Connection ;305 ;;
; N306CE ;Saab 340B; Y34 ; 25 Aug 2000 ; 2 Mar 2005 ;N306CE ATA Connection ;306 ;;
; N307CE ;Saab 340B;; 20 Dec 2000 ; 15 Mar 2005 ;N307CE ATA Connection ;307 ;;
; N308CE ;Saab 340B;; 13 Mar 2000 ; 22 Mar 2005 ;N308CE ATA Connection ;308 ;;
; N309CE ;Saab 340B;; 9 Oct 2001 ; 28 Mar 2005 ;N309CE ATA Connection ;309 ;;
; N311CE ;Saab 340B;; 9 Oct 2001 ; 28 Mar 2005 ;N311CE ATA Connection ;311 ;;
; N312CE ;Saab 340B; Y34 ; 18 Oct 2002 ; 28 Mar 2005 ;N312CE ATA Connection ;312 ;;
; N314CE ;Saab 340B; Y34 ; 6 Aug 2002 ; 28 Mar 2005 ;N314CE ATA Connection ;314, lsd ;;
; N315CE ;Saab 340B; Y34 ; 23 Aug 2002 ; 28 Mar 2005 ;N315CE ATA Connection ;315 ;;
; N316CE ;Saab 340B; Y34 ; 6 Aug 2002 ; 28 Mar 2005 ;N316CE ATA Connection ;316, lsd ;;
; N317CE ;Saab 340B; Y34 ; 23 Aug 2002 ; 28 Mar 2005 ;N317CE ATA Connection ;317 ;;
; N318CE ;Saab 340B; Y34 ; 23 Aug 2002 ; 28 Mar 2005 ;N318CE ATA Connection ;318, lsd ;;
; N341CA ;Saab Fairchild 340A;; 2 Aug 1996 ; Dec 1996 ;N341CA Express Airlines I ;;;
; N342CA ;Saab Fairchild 340A;; Oct 1996 ; Dec 1996 ;N342CA Express Airlines I ;;;
; N343CA ;Saab Fairchild 340A;; Oct 1996 ; Dec 1996 ;N343CA Express Airlines I ;;;
; N344CA ;Saab Fairchild 340A;; Oct 1996 ; Dec 1996 ;N344CA Express Airlines I ;;;
; N380CA ;Saab Fairchild 340A;; Sep 1996 ; Mar 1997 ;N108PX Express Airlines I ;;;
