;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; EC-LSN ;ATR 72-202;; 29 Mar 2014 ; 6 Jun 2014 ;EC-LSN Swiftair ;lsf Swiftair ;;
; OY-CIB ;ATR 72-202;; 24 Oct 2014 ; 16 Oct 2015 ;SE-MGN West Air Sweden ;lsd ;;
; OY-RJH ;Bombardier CRJ-100LR (CL-600-2B19); Y50 ; 3 May 2012 ; 22 Nov 2013 ; Preserved ;;;
; EC-JEE ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 12 Mar 2013 ; 4 Dec 2013 ;EC-JEE SAS Scandinavian Airlines ;lsf Air Nostrum ;;
; EC-JOD ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 15 Nov 2012 ; 18 Jun 2014 ;EC-JOD SAS Scandinavian Airlines ;lsf Air Nostrum ;;
; EC-JOY ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 3 Sep 2012 ; 17 Nov 2013 ;EC-JOY SAS Scandinavian Airlines ;lsf Air Nostrum ;;
; OY-RJB ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 3 May 2012 ; 27 Sep 2012 ;N419AV Avmax Group ;;;
; OY-RJC ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 9 Oct 2013 ; 28 Mar 2015 ;OY-RJC BackBone Aviation ;lsd ;;
; OY-RJG ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 3 May 2012 ; 3 Aug 2012 ; Preserved ;;;
; OY-RJI ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 3 May 2012 ;; Stored ;;;
; OY-RJJ ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 3 May 2012 ; 7 Jul 2016 ;N778AV Avmax Group ;;;
; OY-RJK ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 29 Mar 2015 ; 28 Nov 2015 ;EC-MJE Air Nostrum ;;;
; OY-RJL ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 29 Mar 2015 ; 4 Jan 2016 ;PH-ACQ SAMCO Aircraft Maintenance ;;;
; OY-RJM ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 26 Feb 2014 ; 28 Mar 2015 ;OY-RJM BackBone Aviation ;;;
; OY-KFL ;Bombardier CRJ-900LR (CL-600-2D24); Y88 ; 1 Mar 2015 ; 18 Mar 2018 ;OY-KFL SAS Scandinavian Airlines ;lsd ;;
