;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; EI-FPB ;Bombardier CRJ-900LR (CL-600-2D24); Y90 ; 23 Mar 2016 ;lsd, opf SAS Scandinavian Airlines ; 6 Years ;;
; EI-FPD ;Bombardier CRJ-900LR (CL-600-2D24); Y90 ; 7 Apr 2016 ; Parked, lsd ; 5.9 Years ;;
; EI-FPE ;Bombardier CRJ-900LR (CL-600-2D24); Y90 ; 21 Apr 2016 ;lsd ; 5.9 Years ;;
; EI-FPF ;Bombardier CRJ-900LR (CL-600-2D24); Y90 ; 27 Apr 2016 ; Parked VLC, lsd, opf SAS Scandinavian Airlines ; 5.9 Years ;;
; EI-FPG ;Bombardier CRJ-900LR (CL-600-2D24); Y90 ; 17 May 2016 ;lsd, opf SAS Scandinavian Airlines ; 5.8 Years ;;
; EI-FPH ;Bombardier CRJ-900LR (CL-600-2D24); Y90 ; 16 Jun 2016 ;lsd, opf SAS Scandinavian Airlines ; 5.7 Years ;;
; EI-FPI ;Bombardier CRJ-900LR (CL-600-2D24); Y90 ; 10 May 2019 ;lsd ; 5.2 Years ;;
; EI-FPN ;Bombardier CRJ-900LR (CL-600-2D24); Y90 ; 30 Jun 2017 ; Parked, opf SAS Scandinavian Airlines ; 4.7 Years ;;
; EI-FPP ;Bombardier CRJ-900LR (CL-600-2D24); Y90 ; 14 Sep 2017 ; Parked, lsd, opf SAS Scandinavian Airlines ; 4.7 Years ;;
; EI-FPR ;Bombardier CRJ-900LR (CL-600-2D24); Y90 ; 28 Sep 2017 ;lsd, opf SAS Scandinavian Airlines ; 4.5 Years ;;
; EI-FPS ;Bombardier CRJ-900LR (CL-600-2D24); Y90 ; 13 Oct 2017 ;opf SAS Scandinavian Airlines ; 4.5 Years ;;
; EI-FPT ;Bombardier CRJ-900LR (CL-600-2D24); Y90 ; 9 Nov 2017 ;opf SAS Scandinavian Airlines ; 4.4 Years ;;
; EI-FPU ;Bombardier CRJ-900LR (CL-600-2D24); Y90 ; 7 Dec 2017 ;opf SAS Scandinavian Airlines ; 4.4 Years ;;
; EI-FPV ;Bombardier CRJ-900LR (CL-600-2D24); Y90 ; 15 Dec 2017 ;opf SAS Scandinavian Airlines ; 4.3 Years ;;
; EI-FPW ;Bombardier CRJ-900LR (CL-600-2D24); Y90 ; 8 Feb 2018 ;opf SAS Scandinavian Airlines ; 4.1 Years ;;
; EI-FPX ;Bombardier CRJ-900LR (CL-600-2D24); Y90 ; 6 Mar 2018 ;opf SAS Scandinavian Airlines ; 4 Years ;;
; EI-GEA ;Bombardier CRJ-900LR (CL-600-2D24); Y88 ; 6 Apr 2018 ; Parked, lsd ; 13 Years ;;
; EI-GEB ;Bombardier CRJ-900LR (CL-600-2D24); Y88 ; 1 Apr 2019 ; Parked, lsd ; 12.9 Years ;;
; EI-GEC ;Bombardier CRJ-900LR (CL-600-2D24); Y88 ; 29 Aug 2018 ;lsd ; 12.4 Years ;;
; EI-GED ;Bombardier CRJ-900LR (CL-600-2D24); Y88 ; 30 Aug 2018 ;lsd ; 12.7 Years ;;
; EI-GEF ;Bombardier CRJ-900LR (CL-600-2D24); Y88 ; 30 Aug 2018 ;lsd, opf SAS Scandinavian Airlines ; 12.5 Years ;;
; EI-GEH ;Bombardier CRJ-900LR (CL-600-2D24); Y88 ; 20 Jun 2019 ;lsd ; 13 Years ;;
