;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; XA-JXT ;Fokker F100; Y100 ; 22 Mar 2007 ; 27 Nov 2008 ;XA-JXT MexicanaClick ;lsd ;;
; XA-JXW ;Fokker F100; Y100 ; 29 Jun 2005 ; 27 Nov 2008 ;XA-JXW MexicanaClick ;;;
; XA-KXJ ;Fokker F100; Y100 ; 30 May 2005 ; 27 Nov 2008 ;XA-KXJ MexicanaClick ;;;
; XA-KXR ;Fokker F100; Y100 ; 27 Apr 2006 ; 27 Nov 2008 ;XA-KXR MexicanaClick ;lsd ;;
; XA-LXG ;Fokker F100; Y100 ; 10 Oct 2006 ; 27 Nov 2008 ;XA-LXG MexicanaClick ;lsd ;;
; XA-MQC ;Fokker F100; Y100 ; Nov 2008 ; 27 Nov 2008 ;XA-MQC MexicanaClick ;;;
; XA-MQJ ;Fokker F100; Y100 ; 25 Jan 2008 ; 27 Nov 2008 ;XA-MQJ MexicanaClick ;;;
; XA-MQK ;Fokker F100; Y100 ; 10 Jun 2008 ; 27 Nov 2008 ;XA-MQK MexicanaClick ;;;
; XA-MRA ;Fokker F100;; 22 May 2008 ; 27 Nov 2008 ;XA-MRA MexicanaClick ;;;
; XA-MRB ;Fokker F100; Y100 ; 15 Apr 2008 ; 27 Nov 2008 ;XA-MRB MexicanaClick ;;;
; XA-MRE ;Fokker F100; Y100 ; 31 May 2008 ; 27 Nov 2008 ;XA-MRE MexicanaClick ;;;
; XA-MRG ;Fokker F100; Y100 ; 12 Jul 2008 ; 27 Nov 2008 ;XA-MRG MexicanaClick ;;;
; XA-MRH ;Fokker F100; Y100 ; 13 Mar 2008 ; 27 Nov 2008 ;XA-MRH MexicanaClick ;;;
; XA-SGE ;Fokker F100; Y100 ; 13 May 2005 ; 27 Oct 2008 ;XA-SGE MexicanaClick ;;;
; XA-SGF ;Fokker F100; Y100 ; Jul 2005 ; 27 Nov 2008 ;XA-SGF MexicanaClick ;;;
; XA-SHI ;Fokker F100; Y100 ; 11 Apr 2005 ; 27 Nov 2008 ;XA-SHI MexicanaClick ;;;
; XA-SHJ ;Fokker F100; Y100 ; 21 Feb 2006 ; 27 Nov 2008 ;XA-SHJ MexicanaClick ;;;
; XA-SHK ;Fokker F100; Y100 ; 14 Dec 2006 ; 27 Nov 2008 ;XA-SHK MexicanaClick ;lsd ;;
; XA-SHL ;Fokker F100; Y100 ; 13 Dec 2006 ; 27 Nov 2008 ;XA-SHL MexicanaClick ;lsd ;;
; XA-TCG ;Fokker F100; Y100 ; Aug 2005 ; 27 Nov 2008 ;XA-TCG MexicanaClick ;lsd ;;
; XA-TCH ;Fokker F100; Y100 ; 21 Feb 2006 ; 27 Nov 2008 ;XA-TCH MexicanaClick ;;;
; XA-TCM ;Fokker F100; Y100 ; 22 Jul 2007 ; 27 Nov 2008 ;XA-TCM MexicanaClick ;lsf TAT Industries ;;
; XA-TCP ;Fokker F100; Y100 ; 21 Apr 2007 ; 27 Nov 2008 ;XA-TCP MexicanaClick ;lsf TAT Industries ;;
; XA-TKP ;Fokker F100; Y100 ; 5 Sep 2005 ; 27 Nov 2008 ;XA-TKP MexicanaClick ;;;
; XA-TKR ;Fokker F100; Y100 ; Jun 2005 ; 27 Nov 2008 ;XA-TKR MexicanaClick ;;;
