;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N403CA ;Bombardier CRJ-100ER (CL-600-2B19); Y50 ; 8 Feb 2002 ;; Scrapped ;7428 ;;
; N408CA ;Bombardier CRJ-100ER (CL-600-2B19); Y50 ; 30 Oct 2000 ; 14 Aug 2012 ;N408CA Delta Connection ;7440 ;;
; N409CA ;Bombardier CRJ-100ER (CL-600-2B19); Y50 ; 30 Oct 2000 ; 17 Aug 2012 ;N409CA Delta Connection ;7441 ;;
; N416CA ;Bombardier CRJ-100ER (CL-600-2B19); Y50 ; 9 Jan 2004 ; Apr 2008 ; Scrapped ;7450 ;;
; N420CA ;Bombardier CRJ-100ER (CL-600-2B19); Y50 ; 22 Nov 2000 ; 6 Aug 2012 ;N420CA Delta Connection ;7451 ;;
; N427CA ;Bombardier CRJ-100ER (CL-600-2B19); Y50 ; 8 Feb 2002 ; 28 Mar 2012 ;N427CA Delta Connection ;7460, lsd ;;
; N430CA ;Bombardier CRJ-100ER (CL-600-2B19); Y50 ; 27 May 2002 ; 28 Mar 2012 ; Scrapped ;7461, lsd ;;
; N431CA ;Bombardier CRJ-100ER (CL-600-2B19); Y50 ; 30 Jan 2001 ; 27 Aug 2006 ;N431CA Delta Connection ;7472 ;;
; N435CA ;Bombardier CRJ-100ER (CL-600-2B19); Y50 ; 21 Jun 2002 ; 6 Oct 2011 ;VQ-BNA RusLine ;7473 ;;
; N436CA ;Bombardier CRJ-100ER (CL-600-2B19); Y50 ; 5 Feb 2002 ; 27 Jul 2011 ;VQ-BNE RusLine ;7482 ;;
; N442CA ;Bombardier CRJ-100ER (CL-600-2B19); Y50 ; 16 Sep 2003 ; 17 Apr 2012 ;VQ-BND RusLine ;7483 ;;
; N587SW ;Bombardier CRJ-100ER (CL-600-2B19); Y50 ; 1 Sep 2006 ; 30 Nov 2011 ;N587SW Delta Connection ;7062 ;;
; N588SW ;Bombardier CRJ-100ER (CL-600-2B19); Y50 ; 2 Nov 2005 ; Nov 2011 ;N588SW Delta Connection ;7069 ;;
; N589SW ;Bombardier CRJ-100ER (CL-600-2B19); Y50 ; 24 Mar 2006 ;; Scrapped ;7072 ;;
; N590SW ;Bombardier CRJ-100ER (CL-600-2B19); Y50 ; 30 Nov 2005 ; 2011 ; Scrapped ;7077 ;;
; N591SW ;Bombardier CRJ-100ER (CL-600-2B19); Y50 ; 12 Apr 2006 ;; Scrapped ;7079 ;;
; N592SW ;Bombardier CRJ-100ER (CL-600-2B19); Y50 ; Aug 2006 ; Dec 2007 ;N592SW Delta Connection ;7279 ;;
; N594SW ;Bombardier CRJ-100ER (CL-600-2B19); Y50 ; 12 Jan 2006 ; 5 Feb 2013 ;N594SW SkyWest Airlines ;7285 ;;
; N595SW ;Bombardier CRJ-100ER (CL-600-2B19); Y50 ; 1 Jun 2006 ; Apr 2011 ;ZS-CMH Cemair ;7292 ;;
; N597SW ;Bombardier CRJ-100ER (CL-600-2B19); Y50 ; 23 Apr 2006 ; Mar 2011 ;ZS-CME Cemair ;7293 ;;
; N708CA ;Bombardier CRJ-100ER (CL-600-2B19); Y50 ; 29 Apr 1998 ; 19 Sep 2008 ;N708CA Bombardier Services Corporation ;;;
; N709CA ;Bombardier CRJ-100ER (CL-600-2B19); Y50 ; 21 May 1998 ; 14 May 2008 ;N709CA Bombardier Services Corporation ;;;
; N710CA ;Bombardier CRJ-100ER (CL-600-2B19); Y50 ; 1 Jun 1998 ; Jun 2011 ;N710CA Delta Connection ;7241 ;;
; N712CA ;Bombardier CRJ-100ER (CL-600-2B19); Y50 ; 25 Jun 1998 ; Jan 2012 ;N712CA Delta Connection ;7244 ;;
; N713CA ;Bombardier CRJ-100ER (CL-600-2B19); Y50 ; 28 Jul 1998 ; 30 Aug 2012 ;N713CA Delta Connection ;7245 ;;
; N716CA ;Bombardier CRJ-100ER (CL-600-2B19); Y50 ; 28 Jul 1998 ; 7 Sep 2012 ;N716CA Delta Connection ;7250 ;;
; N719CA ;Bombardier CRJ-100ER (CL-600-2B19); Y50 ; 27 Aug 1998 ; Feb 2008 ;N719CA Delta Connection ;7253 ;;
