;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; F-GHPV ;ATR 72-201;; 30 May 1991 ; 16 Jan 1992 ;F-GHPV Brit Air ;lsf Brit Air ;;
; F-GKPC ;ATR 72-202;; 14 Jun 1990 ; 1 Aug 2002 ;F-GKPC CCM Airlines ;;;
; F-GKPD ;ATR 72-202;; 28 May 1990 ; 1 Aug 2002 ;F-GKPD CCM Airlines ;;;
; F-GKPE ;ATR 72-202;; 23 Mar 1991 ; 1 Aug 2002 ;F-GKPE CCM Airlines ;;;
; F-GKPF ;ATR 72-202;; 23 Apr 1991 ; 1 Aug 2002 ;F-GKPF CCM Airlines ;;;
; F-GKPH ;ATR 72-202;; 11 Mar 1993 ; 1 Aug 2002 ;F-GKPH CCM Airlines ;lsd ;;
; F-GMGK ;ATR 72-202;; 24 Apr 1999 ; 1 Aug 2002 ;F-GMGK CCM Airlines ;lsd ;;
; F-GIOA ;Fokker F100; Y109 ; 29 Apr 2002 ; 1 Aug 2002 ;F-GIOA CCM Airlines ;lsd ;;
; F-GIOG ;Fokker F100; Y109 ; Feb 1993 ; 18 Jul 1996 ;F-GIOG TAT European Airlines ;lsf TAT European Airlines ;;
; F-GKHD ;Fokker F100;; 23 May 1996 ; 13 Nov 2003 ;F-GKHD Brit Air ;;;
; F-GKHE ;Fokker F100;; 26 Jun 1996 ; 26 Mar 2004 ;F-GKHE Brit Air ;;;
; F-GMPG ;Fokker F100; Y109 ; 18 Feb 2001 ; 1 Aug 2002 ;F-GMPG CCM Airlines ;;;
; F-GNLJ ;Fokker F100; Y109 ; 16 Mar 2001 ; 1 Aug 2002 ;F-GNLJ Air France ;lsd ;;
