;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N601XJ ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 14 Aug 2006 ; 7 Sep 2007 ;N601XJ Northwest Airlink ;601, lsf Mesaba Airlines ;;
; N746CZ ;Embraer ERJ-170LR (ERJ-170-100 LR); C9Y60 ; 18 May 2011 ; 24 Mar 2017 ;N746CZ Delta Connection ;746 ;;
; N747CZ ;Embraer ERJ-170LR (ERJ-170-100 LR); C9Y60 ; 19 May 2011 ; 1 Mar 2017 ;N747CZ Delta Connection ;747 ;;
; N748CZ ;Embraer ERJ-170LR (ERJ-170-100 LR); C9Y60 ; 3 Jun 2011 ; 31 Mar 2017 ;N748CZ Delta Connection ;748 ;;
; N749CZ ;Embraer ERJ-170LR (ERJ-170-100 LR); C9Y60 ; 12 Sep 2011 ; 31 Mar 2017 ;N749CZ Delta Connection ;749 ;;
; N751CZ ;Embraer ERJ-170LR (ERJ-170-100 LR); C9Y60 ; 29 Nov 2011 ; 15 May 2017 ;N751CZ Delta Connection ;751 ;;
; N752CZ ;Embraer ERJ-170LR (ERJ-170-100 LR); C9Y60 ; 1 Feb 2012 ; 15 May 2017 ;N752CZ Delta Connection ;752 ;;
; N200NN ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 11 Feb 2015 ; 1 Apr 2020 ;N200NN American Eagle ;000, lsf American Airlines ;;
; N201NN ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 16 Mar 2015 ; 5 Apr 2020 ;N201NN American Eagle ;001, lsf American Airlines ;;
; N202NN ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 13 Apr 2015 ; 31 Mar 2020 ;N202NN American Eagle ;002, lsf American Airlines ;;
; N203NN ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 27 Apr 2015 ; 1 Apr 2020 ;N203NN American Eagle ;003, lsf American Airlines ;;
; N204NN ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 18 May 2015 ; 3 Apr 2020 ;N204NN American Eagle ;004, lsf American Airlines ;;
; N205NN ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 15 Jun 2015 ; 31 Mar 2020 ;N205NN American Eagle ;005, lsf American Airlines ;;
; N206NN ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 6 Jul 2015 ; 27 Mar 2020 ;N206NN American Eagle ;006, lsf American Airlines ;;
; N207AN ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 6 Jul 2015 ; 29 Mar 2020 ;N207AN American Eagle ;007, lsf American Airlines ;;
; N208AN ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 23 Jul 2015 ; 27 Mar 2020 ;N208AN American Eagle ;008, lsf American Airlines ;;
; N209NN ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 13 Aug 2015 ; 16 Mar 2020 ;N209NN American Eagle ;009, lsf American Airlines ;;
; N210NN ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 20 Aug 2015 ; 28 Mar 2020 ;N210NN American Eagle ;010, lsf American Airlines ;;
; N211NN ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 24 Aug 2015 ; 29 Mar 2020 ;N211NN American Eagle ;011, lsf American Airlines ;;
; N212NN ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 4 Sep 2015 ; 5 Apr 2020 ;N212NN American Eagle ;012, lsf American Airlines ;;
; N213NN ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 11 Sep 2015 ; 26 Mar 2020 ;N213NN American Eagle ;013, lsf American Airlines ;;
; N214NN ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 22 Sep 2015 ; 4 Apr 2020 ;N214NN American Eagle ;014, lsf American Airlines ;;
; N215NN ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 19 Oct 2015 ; 3 Apr 2020 ;N215NN American Eagle ;015, lsf American Airlines ;;
; N216NN ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 19 Oct 2015 ; 2 Apr 2020 ;N216NN American Eagle ;016, lsf American Airlines ;;
; N217NN ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 6 Nov 2015 ; 29 Mar 2020 ;N217NN American Eagle ;017, lsf American Airlines ;;
; N218NN ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 23 Nov 2015 ; 29 Mar 2020 ;N218NN American Eagle ;018, lsf American Airlines ;;
; N219NN ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 23 Nov 2015 ; 2 Apr 2020 ;N219NN American Eagle ;019, lsf American Airlines ;;
; N602CZ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 26 Jun 2007 ; 5 Jan 2020 ;N602CZ Northwest Airlink ;602, lsf Delta Air Lines ;;
; N603CZ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 3 Aug 2007 ; 6 Jan 2020 ;N603CZ Northwest Airlink ;603, lsf Delta Air Lines ;;
