;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; OY-CNA ;Airbus A300B4-120;; 18 Sep 1993 ; 1 Jan 1994 ;OY-CNA Premiair ;;;
; OY-CNK ;Airbus A300B4-120;; 13 Aug 1993 ; 1 Jan 1994 ;OY-CNK Premiair ;;;
; OY-CNL ;Airbus A300B4-120;; 21 Sep 1993 ; 1 Jan 1994 ;OY-CNL Premiair ;;;
; OO-SCB ;Airbus A310-222;; 1 May 1987 ; 1 Nov 1987 ;OO-SCB Sabena ;lsf Sabena ;;
; OY-CND ;Airbus A320-231;; 3 Sep 1991 ; 1 Jan 1994 ;OY-CND Premiair ;;;
; OY-CNE ;Airbus A320-231;; 26 Sep 1991 ; 17 Apr 1993 ;OY-CNE Saarland Airlines ;;;
; OY-CNF ;Airbus A320-231;; 31 Aug 1993 ; 1 Jan 1994 ;OY-CNF Premiair ;;;
; OY-CNG ;Airbus A320-231;; 8 Oct 1991 ; 1 Jan 1994 ;OY-CNG Premiair ;;;
; OY-CNH ;Airbus A320-231;; 4 Nov 1991 ; 1 Jan 1994 ;OY-CNH Premiair ;;;
; OY-CNI ;Airbus A320-231;; 21 Oct 1991 ; 1 Jan 1994 ;OY-CNI Premiair ;;;
; TF-ISB ;Douglas DC-8-61;; 19 Dec 1985 ; Jan 1986 ;TF-ISB Eagle Air of Iceland ;lsf Eagle Air of Iceland ;;
