;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; D-AICA ;Airbus A320-212; Y180 ; 15 Apr 2019 ;; 24.1 Years ;;
; D-AICC ;Airbus A320-212; Y180 ; 28 May 2004 ; Parked ; 23.9 Years ;;
; D-AICE ;Airbus A320-212; Y180 ; 28 May 2004 ;; 23.5 Years ;;
; D-AICF ;Airbus A320-212; Y180 ; 28 May 2004 ;; 23.4 Years ;;
; D-AICG ;Airbus A320-212; Y180 ; 28 May 2004 ; Parked ; 23.1 Years ;;
; D-AICH ;Airbus A320-212; Y180 ; 28 May 2004 ;Hans, Retro cs ; 23 Years ;;
; D-AICI ;Airbus A320-212; Y180 ; 15 Mar 2020 ;; 21.2 Years ;;
; D-AICP ;Airbus A320-214; Y180 ; 15 Aug 2020 ; Parked KVA, lsd ; 18.3 Years ;;
; D-AICR ;Airbus A320-214; Y180 ; Sep 2020 ;lsd ; 11.4 Years ;;
; D-AICS ;Airbus A320-214; Y180 ; 31 Aug 2020 ;lsd ; 11.3 Years ;;
; D-AICU ;Airbus A320-214; Y180 ; 25 Feb 2022 ; Parked, lsd ; 13.1 Years ;;
; D-ATCH ;Airbus A320-212; Y180 ; 11 Nov 2019 ;; 21 Years ;;
; D-AIAC ;Airbus A321-211(WL); Y220 ; 13 Feb 2014 ;lsd ; 8.1 Years ;;
; D-AIAD ;Airbus A321-211(WL); Y220 ; 7 Apr 2014 ;lsd ; 7.9 Years ;;
; D-AIAF ;Airbus A321-211(WL); Y220 ; 9 Feb 2015 ;lsd ; 7.1 Years ;;
; D-AIAG ;Airbus A321-211(WL); Y220 ; 8 May 2015 ;lsd ; 6.8 Years ;;
; D-AIAI ;Airbus A321-211(WL); Y220 ; 15 May 2019 ;lsd ; 5.8 Years ;;
; D-ATCA ;Airbus A321-211; Y220 ; 31 Jan 2018 ; Parked, lsd ; 11.7 Years ;;
; D-ATCB ;Airbus A321-211(WL); Y220 ; 4 May 2018 ; Parked, lsd ; 7.1 Years ;;
; D-ATCC ;Airbus A321-211(WL); Y212 ; 30 May 2018 ;lsd ; 7 Years ;;
; D-ATCF ;Airbus A321-211(WL); Y215 ; 15 Jul 2019 ; Parked, lsd ; 8.3 Years ;;
; D-ATCG ;Airbus A321-211(WL); Y215 ; 16 May 2019 ;lsd ; 8 Years ;;
; D-AIYA ;Airbus A330-243; C22Y240 ; Due ; Stored, lsd ; 15 Years ;;
; D-AIYB ;Airbus A330-243; C22Y240 ; Due ; Stored, lsd ; 14.6 Years ;;
; D-AIYC ;Airbus A330-243; C22Y240 ; 9 Feb 2022 ;lsd ; 13.3 Years ;;
; D-AIYD ;Airbus A330-243; C22Y240 ; Due ; Stored, lsd ; 13.1 Years ;;
; D- ;Airbus A330-941;; On Order ;;;;
; D- ;Airbus A330-941;; On Order ;;;;
; D- ;Airbus A330-941;; On Order ;;;;
; D-ABOA ;Boeing 757-330(WL); Y275 ; 6 Mar 2004 ; Parked, lsd ; 23.8 Years ;;
; D-ABOB ;Boeing 757-330(WL); Y275 ; 28 May 2004 ; Parked, lsd ; 23.5 Years ;;
; D-ABOC ;Boeing 757-330(WL); Y275 ; 28 May 2004 ;lsd ; 23.4 Years ;;
; D-ABOE ;Boeing 757-330(WL); Y275 ; 5 Feb 2018 ;; 23.1 Years ;;
; D-ABOF ;Boeing 757-330(WL); Y275 ; 17 Jan 2018 ;; 23.1 Years ;;
; D-ABOG ;Boeing 757-330(WL); Y275 ; 17 Apr 2018 ;lsd ; 23.1 Years ;;
; D-ABOH ;Boeing 757-330(WL); Y275 ; 28 May 2004 ; Parked, lsd ; 23 Years ;;
; D-ABOI ;Boeing 757-330(WL); Y275 ; 28 May 2004 ;lsd ; 22.1 Years ;;
; D-ABOJ ;Boeing 757-330(WL); Y275 ; 18 Jun 2005 ;lsd ; 22 Years ;;
; D-ABOK ;Boeing 757-330(WL); Y275 ; 28 May 2004 ; Parked, lsd ; 22 Years ;;
; D-ABOL ;Boeing 757-330(WL); Y275 ; 13 Apr 2005 ;lsd ; 21.9 Years ;;
; D-ABOM ;Boeing 757-330(WL); Y275 ; 28 May 2004 ; Parked, lsd ; 21.8 Years ;;
; D-ABON ;Boeing 757-330(WL); Y275 ; 28 May 2004 ;Willi, lsd, 50th Anniversary cs ; 21.8 Years ;;
; D-ABUA ;Boeing 767-330ER(WL); C18W39Y202 ; 28 May 2004 ;lsd ; 29.4 Years ;;
; D-ABUB ;Boeing 767-330ER(WL); C18W39Y202 ; 28 May 2004 ;lsd ; 29.3 Years ;;
; D-ABUC ;Boeing 767-330ER(WL); C18W39Y202 ; 28 May 2004 ; Parked, lsd ; 29.2 Years ;;
; D-ABUD ;Boeing 767-330ER(WL); C18W39Y202 ; 28 May 2004 ;lsd ; 29.2 Years ;;
; D-ABUE ;Boeing 767-330ER(WL); C18W39Y202 ; 28 May 2004 ;lsd ; 28.4 Years ;;
; D-ABUF ;Boeing 767-330ER(WL); C18W39Y202 ; 28 May 2004 ;lsd ; 27.9 Years ;;
; D-ABUH ;Boeing 767-330ER(WL); C18W39Y202 ; 28 May 2004 ;lsd ; 27.5 Years ;;
; D-ABUI ;Boeing 767-330ER(WL); C18W39Y202 ; 28 May 2004 ;lsd ; 27.2 Years ;;
