;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N10970 ;Airbus A300B4-203;; May 1991 ; 19 Nov 1998 ;EI-EAC Air Contractors ;970 ;;
; N11984 ;Airbus A300B4-103; F24Y248 ; 1 Jul 1990 ; Jun 1995 ; Scrapped ;984 ;;
; N11985 ;Airbus A300B4-103;; Jun 1990 ; Dec 1996 ; Scrapped ;985 ;;
; N13971 ;Airbus A300B4-203;; Nov 1990 ; 24 Apr 1996 ;RP-C3008 Philippine Airlines ;;;
; N13972 ;Airbus A300B4-203;; Oct 1991 ; 21 May 1999 ;EI-EAD Air Contractors ;;;
; N13974 ;Airbus A300B4-203;; Jun 1991 ; 25 Jan 2002 ;N13974 Express.Net Airlines ;;;
; N13983 ;Airbus A300B4-103;; Aug 1990 ; Oct 1995 ; Scrapped ;983 ;;
; N14966 ;Airbus A300B4-203;; Dec 1990 ; 26 Jul 1997 ;D-ASAZ Dart Group ;;;
; N14968 ;Airbus A300B4-203;; Apr 1992 ; 8 Apr 1995 ;TC-ALP Air Alfa ;;;
; N14969 ;Airbus A300B4-203;; 20 Jun 1991 ; 24 Jun 1995 ;SE-DSH Air Ops ;;;
; N14973 ;Airbus A300B4-203;; 1 Jul 1991 ; Jul 1995 ;XA-SYG TAESA ;;;
; N14975 ;Airbus A300B4-203;; Jul 1991 ; 28 Sep 1995 ;N14975 Presidential Air ;;;
; N14976 ;Airbus A300B4-203;; Mar 1992 ; 1 Sep 1995 ;N14976 Presidential Air ;;;
; N14977 ;Airbus A300B4-203;; May 1992 ; 6 Nov 1995 ;N14977 Presidential Air ;;;
; N14980 ;Airbus A300B4-103; F24Y248 ; Aug 1990 ; 10 Mar 2011 ;TC-TKA Akdeniz Airlines ;980 ;;
; N15967 ;Airbus A300B4-203;; Oct 1990 ; Feb 1998 ;D-ASAA Dart Group ;;;
; N16982 ;Airbus A300B4-103;; Aug 1990 ; 3 Jun 1995 ;TC-TKC Akdeniz Airlines ;;;
; N29981 ;Airbus A300B4-103;; Aug 1990 ; 28 May 1995 ;TC-TKB Akdeniz Airlines ;981 ;;
; N72986 ;Airbus A300B4-203;; Mar 1990 ; 17 Feb 1995 ;N72986 Shaheen Air ;986, lsd ;;
; N72987 ;Airbus A300B4-203;; Aug 1990 ; 15 Jul 1995 ;TC-ALR Air Alfa ;987 ;;
; N72988 ;Airbus A300B4-203;; 16 Jan 1990 ; 11 Apr 1995 ;OB1611 Faucett Peru ;;;
; N72990 ;Airbus A300B4-203;; Mar 1990 ; 16 May 1995 ;SE-DSG Air Ops ;;;
; N74989 ;Airbus A300B4-203;; Jan 1990 ; 2 May 1995 ;SE-DSF Air Ops ;;;
; N2471 ;Boeing 727-024C;; 1 Jul 1967 ; Oct 1970 ;N1781B Boeing ;;;
; N8320 ;Boeing 727-024C;; 27 Jan 1971 ; 17 Nov 1971 ;HK-1273 Avianca ;;;
; N79746 ;Boeing 727-224(A); C14Y137 ; 11 Jun 1981 ; Jan 1999 ;N296SC Sun Country Airlines ;746 ;;
; N14206 ;Boeing 737-130; F8Y86 ; Dec 1990 ; 14 Jan 1999 ; Scrapped ;206 ;;
; N14208 ;Boeing 737-130; F8Y86 ; 4 Jul 1990 ; 18 Sep 1998 ; Scrapped ;208 ;;
; N14209 ;Boeing 737-130; F8Y86 ; Jun 1990 ; 28 Jan 1999 ; Scrapped ;209 ;;
; N14211 ;Boeing 737-130; F8Y86 ; Jul 1990 ; 10 Dec 1997 ; Scrapped ;211 ;;
; N14212 ;Boeing 737-130; F8Y86 ; Feb 1990 ; 10 Dec 1997 ; Scrapped ;212 ;;
; N16201 ;Boeing 737-130; F8Y86 ; Jul 1990 ; 7 Oct 1998 ; Scrapped ;201 ;;
; N20205 ;Boeing 737-130; F8Y86 ; 1 Jan 1991 ; 27 Jan 1993 ; Scrapped ;205 ;;
; N24213 ;Boeing 737-130; F8Y86 ; Jul 1990 ; 8 Jan 1998 ; Scrapped ;213 ;;
; N33202 ;Boeing 737-130; F8Y86 ; Apr 1991 ; 12 Nov 1997 ; Scrapped ;202 ;;
; N403PE ;Boeing 737-130; F8Y86 ; 1 Feb 1987 ; 14 Oct 1997 ; Scrapped ;;;
; N410PE ;Boeing 737-130;; 1 Feb 1987 ; Feb 1990 ;XA-RSY SARO - Servicios Aéreos Rutas Oriente ;;;
; N416PE ;Boeing 737-130;; 1 Feb 1987 ; Feb 1990 ;XA-RSZ SARO - Servicios Aéreos Rutas Oriente ;;;
; N417PE ;Boeing 737-130;; 1 Feb 1987 ; Feb 1990 ;N417PE SARO - Servicios Aéreos Rutas Oriente ;;;
; N44214 ;Boeing 737-130; F8Y86 ; Jul 1990 ; 10 Dec 1997 ; Scrapped ;214 ;;
; N59207 ;Boeing 737-130; F8Y86 ; Jul 1990 ; 10 Dec 1997 ; Scrapped ;207 ;;
; N77204 ;Boeing 737-130; F8Y86 ; Jun 1990 ; 3 Feb 1999 ; Scrapped ;204 ;;
; N77215 ;Boeing 737-130; F8Y86 ; Oct 1990 ; 7 Jan 1998 ; Scrapped ;215 ;;
; N10236 ;Boeing 737-222; F10Y92 ; Sep 1993 ; 16 Nov 1998 ; Scrapped ;236 ;;
; N10238 ;Boeing 737-214; F10Y92 ; Mar 1991 ; 12 Dec 1992 ; Scrapped ;238, lsf Integrated Resources Corporation ;;
; N10242 ;Boeing 737-2C0; F10Y92 ; Jul 1990 ; 21 May 1998 ; Scrapped ;242 ;;
; N10248 ;Boeing 737-219;; Jan 1992 ; 18 Sep 1998 ; Scrapped ;lsf Concord Asset Management ;;
; N10251 ;Boeing 737-291;; Aug 1990 ;; Scrapped ;;;
; N11244 ;Boeing 737-2C0; F10Y92 ; May 1991 ; 26 Nov 1994 ; Written Off ;244, lsd ;;
; N12230 ;Boeing 737-217; F10Y92 ; Jul 1990 ; 11 Aug 1998 ; Scrapped ;230 ;;
; N12231 ;Boeing 737-217; F10Y92 ; Jan 1991 ; 26 Aug 1998 ; Scrapped ;231 ;;
; N12235 ;Boeing 737-222; F10Y92 ; Feb 1992 ; 15 Jul 1998 ; Scrapped ;235 ;;
; N13234 ;Boeing 737-217; F10Y92 ; Apr 1991 ; 21 Oct 1997 ; Scrapped ;234 ;;
