;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N11526 ;Embraer ERJ-135LR; Y37 ; 4 Apr 2001 ; 9 Jul 2001 ;N11526 Continental Express ;526 ;;
; N12519 ;Embraer ERJ-135LR; Y37 ; 10 Jan 2001 ; 9 Jul 2001 ;N12519 Continental Express ;519 ;;
; N14505 ;Embraer ERJ-135ER; Y37 ; 18 Nov 1999 ; 18 Nov 1999 ;N14505 Continental Express ;505 ;;
; N14508 ;Embraer ERJ-135ER; Y37 ; 4 Feb 2000 ; 9 Jul 2001 ;N14508 Continental Express ;508 ;;
; N14514 ;Embraer ERJ-135LR; Y37 ; 28 Aug 2000 ; 9 Jul 2001 ;N14514 Continental Express ;514 ;;
; N14516 ;Embraer ERJ-135LR; Y37 ; 5 Oct 2000 ; 9 Jul 2001 ;N14516 Continental Express ;516 ;;
; N14522 ;Embraer ERJ-135LR; Y37 ; 7 Feb 2001 ; 9 Jul 2001 ;N14522 Continental Express ;522 ;;
; N15509 ;Embraer ERJ-135ER; Y37 ; 22 Mar 2000 ; 9 Jul 2001 ;N15509 Continental Express ;509 ;;
; N15527 ;Embraer ERJ-135LR; Y37 ; 5 Apr 2001 ; 9 Jul 2001 ;N15527 Continental Express ;527 ;;
; N16501 ;Embraer ERJ-135ER; Y37 ; 2 Sep 1999 ; 9 Jul 2001 ;N16501 Continental Express ;501 ;;
; N16502 ;Embraer ERJ-135ER; Y37 ; 2 Sep 1999 ; 9 Jul 2001 ;N16502 Continental Express ;502 ;;
; N16510 ;Embraer ERJ-135ER; Y37 ; 19 Apr 2000 ; 9 Jul 2001 ;N16510 Continental Express ;510 ;;
; N16511 ;Embraer ERJ-135ER; Y37 ; 24 May 2000 ; 9 Jul 2001 ;N16511 Continental Express ;511 ;;
; N16520 ;Embraer ERJ-135LR; Y37 ; 16 Jan 2001 ; 9 Jul 2001 ;N16520 Continental Express ;520 ;;
; N16525 ;Embraer ERJ-135LR; Y37 ; 21 Mar 2001 ; 9 Jul 2001 ;N16525 Continental Express ;525 ;;
; N17507 ;Embraer ERJ-135ER; Y37 ; 20 Jan 2000 ; 9 Jul 2001 ;N17507 Continental Express ;507 ;;
; N17513 ;Embraer ERJ-135LR; Y37 ; 26 Jul 2000 ; 9 Jul 2001 ;N17513 Continental Express ;513 ;;
; N17521 ;Embraer ERJ-135LR; Y37 ; 25 Jan 2001 ; 9 Jul 2001 ;N17521 Continental Express ;521 ;;
; N17524 ;Embraer ERJ-135LR; Y37 ; 14 Mar 2001 ; 9 Jul 2001 ;N17524 Continental Express ;524 ;;
; N19503 ;Embraer ERJ-135ER; Y37 ; 25 Sep 1999 ; 9 Jul 2001 ;N19503 Continental Express ;503 ;;
; N24517 ;Embraer ERJ-135LR; Y37 ; 30 Oct 2000 ; 9 Jul 2001 ;N24517 Continental Express ;517 ;;
; N25504 ;Embraer ERJ-135ER; Y37 ; 22 Oct 1999 ; 9 Jul 2001 ;N25504 Continental Express ;504 ;;
; N27506 ;Embraer ERJ-135ER; Y37 ; 17 Dec 1999 ; 9 Jul 2001 ;N27506 Continental Express ;506 ;;
; N27512 ;Embraer ERJ-135ER; Y37 ; 23 Jun 2000 ; 9 Jul 2001 ;N27512 Continental Express ;512 ;;
; N27523 ;Embraer ERJ-135LR; Y37 ; 22 Feb 2001 ; 9 Jul 2001 ;N27523 Continental Express ;523 ;;
; N28518 ;Embraer ERJ-135LR; Y37 ; 6 Nov 2000 ; 9 Jul 2001 ;N28518 Continental Express ;518 ;;
; N29515 ;Embraer ERJ-135LR; Y37 ; 19 Sep 2000 ; 9 Jul 2001 ;N29515 Continental Express ;515 ;;
; N12921 ;Embraer ERJ-145LR; Y50 ; 14 Dec 2000 ; 9 Jul 2001 ;N12921 Continental Express ;921 ;;
; N12922 ;Embraer ERJ-145LR; Y50 ; 8 Nov 2000 ; 9 Jul 2001 ;N12922 Continental Express ;922 ;;
; N12924 ;Embraer ERJ-145LR; Y50 ; 21 Sep 2000 ; 9 Jul 2001 ;N12924 Continental Express ;924 ;;
; N12934 ;Embraer ERJ-145ER; Y50 ; 21 Jul 1997 ; 9 Jul 2001 ;N12934 Continental Express ;934 ;;
; N12946 ;Embraer ERJ-145ER; Y50 ; 28 Apr 1998 ; 9 Jul 2001 ;N12946 Continental Express ;946 ;;
; N12957 ;Embraer ERJ-145LR; Y50 ; 22 Sep 1998 ; 9 Jul 2001 ;N12957 Continental Express ;957 ;;
; N12967 ;Embraer ERJ-145LR; Y50 ; 6 May 1999 ; 9 Jul 2001 ;N12967 Continental Express ;967 ;;
; N12996 ;Embraer ERJ-145LR; Y50 ; 8 Aug 2000 ; 9 Jul 2001 ;N12996 Continental Express ;996 ;;
; N13913 ;Embraer ERJ-145LR; Y50 ; 24 May 2001 ; 24 May 2001 ;N13913 Continental Express ;913 ;;
; N13914 ;Embraer ERJ-145LR; Y50 ; 9 May 2001 ; 9 Jul 2001 ;N13914 Continental Express ;914 ;;
; N13929 ;Embraer ERJ-145ER; Y50 ; 28 Feb 1997 ; 9 Jul 2001 ;N13929 Continental Express ;929 ;;
; N13935 ;Embraer ERJ-145ER; Y50 ; 20 Aug 1997 ; 9 Jul 2001 ;N13935 Continental Express ;935 ;;
; N13936 ;Embraer ERJ-145ER; Y50 ; 17 Sep 1997 ; 9 Jul 2001 ;N13936 Continental Express ;936 ;;
; N13949 ;Embraer ERJ-145LR; Y50 ; 14 May 1998 ; 9 Jul 2001 ;N13949 Continental Express ;949 ;;
; N13955 ;Embraer ERJ-145LR; Y50 ; 20 Aug 1998 ; 9 Jul 2001 ;N13955 Continental Express ;955 ;;
; N13956 ;Embraer ERJ-145LR; Y50 ; 10 Sep 1998 ; 9 Jul 2001 ;N13956 Continental Express ;956 ;;
; N13958 ;Embraer ERJ-145LR; Y50 ; 9 Oct 1998 ; 9 Jul 2001 ;N13958 Continental Express ;958 ;;
; N13964 ;Embraer ERJ-145LR; Y50 ; 8 Apr 1999 ; 9 Jul 2001 ;N13964 Continental Express ;964 ;;
