;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; CU-T1710 ;Antonov An-158; Y99 ; 21 Apr 2013 ; Parked HAV, lsd ; 8.9 Years ;;
; CU-T1711 ;Antonov An-158; Y99 ; 24 Jul 2013 ; Parked HAV, lsd ; 8.7 Years ;;
; CU-T1712 ;Antonov An-158; Y99 ; 11 Oct 2013 ; Parked HAV, lsd ; 8.5 Years ;;
; CU-T1714 ;Antonov An-158; Y99 ; 30 Apr 2014 ; Parked HAV ; 7.9 Years ;;
; CU-T1715 ;Antonov An-158; Y99 ; 8 Aug 2014 ; Parked HAV ; 7.6 Years ;;
; CU-T1716 ;Antonov An-158; Y99 ; 5 Jun 2015 ; Parked HAV ; 6.8 Years ;;
; CU-T1548 ;ATR 72-212; Y66 ; 1 Jul 2015 ;; 26.9 Years ;;
; ZS-XZB ;ATR 72-500 (72-212A);; 20 Feb 2017 ;lsf Solenta Aviation ; 15.6 Years ;;
; CU-T1250 ;Ilyushin Il-96-300; C18Y244 ; 30 Dec 2005 ;; 16.6 Years ;;
; CU-T1251 ;Ilyushin Il-96-300; C18Y244 ; 7 Mar 2006 ;; 16.1 Years ;;
; CU-T1717 ;Ilyushin Il-96-300;; Sep 2014 ; Parked ; 29.7 Years ;;
; CU-C1700 ;Tupolev Tu-204CE (Tu-204-100CE); Cargo ; 3 Aug 2007 ; Parked, lsd ; 15.2 Years ;;
; CU-C1703 ;Tupolev Tu-204CE (Tu-204-100CE); Cargo ; 18 Feb 2009 ; Parked HAV, lsd ; 13.7 Years ;;
; CU-T1701 ;Tupolev Tu-204-100E; C12Y164 ; 27 Dec 2007 ; Parked, lsd ; 14.7 Years ;;
; CU-T1702 ;Tupolev Tu-204-100E; C12Y164 ; 28 Dec 2007 ;lsd ; 14.5 Years ;;
