;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; A9C-DHM ;Boeing 767-281(BDSF); Cargo ; 7 Apr 2017 ; Parked, lsd ; 38.8 Years ;;
; A9C-DHP ;Boeing 767-281(BDSF); Cargo ; 9 Feb 2018 ;lsd ; 36.8 Years ;;
; A9C-DHQ ;Boeing 767-281(BDSF); Cargo ; 14 May 2018 ;lsd ; 38.5 Years ;;
; A9C-DHR ;Boeing 767-281(BDSF); Cargo ; 12 Dec 2018 ;lsd ; 37.7 Years ;;
; A9C-DHS ;Boeing 767-323ER(BDSF)(WL); Cargo ; 8 Mar 2021 ;; 18.7 Years ;;
; A9C-DHT ;Boeing 767-323ER(BDSF)(WL); Cargo ; 17 Aug 2021 ;; 18.8 Years ;;
; A9C-DHU ;Boeing 767-323ER(BCF)(WL); Cargo ; 6 Jul 2021 ;; 18.8 Years ;;
; A9C-DHW ;Boeing 767-323ER(BCF)(WL); Cargo ; 7 Sep 2021 ;; 18.5 Years ;;
; A9C-DHY ;Boeing 767-323ER(BCF)(WL); Cargo ; 20 Oct 2021 ;; 18.6 Years ;;
; A9C-DHZ ;Boeing 767-323ER(BCF)(WL); Cargo ; 18 Aug 2021 ;; 19.1 Years ;;
