;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; G-BMNA ;Airbus A300B4-203;; 29 Apr 1986 ; 18 Dec 1986 ;D-AHLJ Hapag-Lloyd ;lsf Hapag-Lloyd ;;
; G-BMNB ;Airbus A300B4-103; Y336 ; 16 Dec 1986 ; 27 Jun 1990 ;F-GIJT Air Inter ;lsf Hapag-Lloyd ;;
; G-BMNC ;Airbus A300B4-103; Y336 ; 23 Mar 1988 ; 16 Apr 1991 ;F-GIJU Air Inter ;lsd ;;
; G-ATTP ;BAC 1-11-207AJ One-Eleven;; 26 Mar 1975 ; 19 Nov 1991 ;CC-CYM Ladeco Airlines ;lsd ;;
; G-ATVH ;BAC 1-11-207AJ One-Eleven;; 26 Mar 1975 ; 11 Nov 1991 ;CC-CYL Ladeco Airlines ;City of Newcastle upon Tyne, lsd ;;
; G-ATPJ ;BAC 1-11-301AG One-Eleven;; 20 Apr 1970 ; 19 Nov 1990 ;CC-CYF Ladeco Airlines ;lsd ;;
; G-ATPK ;BAC 1-11-301AG One-Eleven;; 3 Apr 1985 ; 1 May 1991 ;5N-OMO Okada Air ;Highland Opportunity ;;
; G-ATPL ;BAC 1-11-301AG One-Eleven;; 30 Mar 1971 ; 17 Dec 1990 ;CC-CYI Ladeco Airlines ;lsd ;;
; G-BPNX ;BAC 1-11-304AX One-Eleven;; 27 Apr 1988 ; 29 May 1991 ;5N-MZE Okada Air ;;;
; G-AVOE ;BAC 1-11-416EK One-Eleven;; 5 May 1983 ; 26 Sep 1983 ;N390BA Britt Airways ;lsd ;;
; G-AVOF ;BAC 1-11-416EK One-Eleven;; 25 May 1984 ; 15 Oct 1984 ;N392BA Britt Airways ;lsd ;;
; G-AXCK ;BAC 1-11-401AK One-Eleven;; 24 Mar 1969 ; 4 Feb 1983 ;N164W Westinghouse Electric Company ;;;
; G-AXCP ;BAC 1-11-401AK One-Eleven;; 10 Jan 1983 ; 27 Oct 1986 ;N173FE Florida Express ;;;
; G-AZED ;BAC 1-11-414EG One-Eleven;; 13 Apr 1987 ; 15 Mar 1988 ;N174FE Braniff ;lsf Braniff ;;
; G-AWWX ;BAC 1-11-509EW One-Eleven;; 3 Oct 1975 ; 3 Nov 1992 ;G-AWWX British Air Ferries ;;;
; G-AXYD ;BAC 1-11-509EW One-Eleven;; 20 Apr 1988 ; 6 Nov 1992 ;G-AXYD British Air Ferries ;;;
; G-AZPZ ;BAC 1-11-515FB One-Eleven;; 30 Apr 1981 ; 22 Feb 1982 ;G-AZPZ British Caledonian ;;;
; G-BCWA ;BAC 1-11-518FG One-Eleven;; 22 Jan 1975 ; 6 Nov 1992 ;G-BCWA British Air Ferries ;;;
; G-BCXR ;BAC 1-11-517FE One-Eleven;; 23 Mar 1983 ; 3 Nov 1992 ;G-BCXR British Air Ferries ;;;
; G-BDAE ;BAC 1-11-518FG One-Eleven;; 21 Feb 1975 ; 5 Nov 1992 ;G-BDAE British Air Ferries ;;;
; G-BDAS ;BAC 1-11-518FG One-Eleven;; 21 Feb 1975 ; 5 Nov 1992 ;G-BDAS British Air Ferries ;;;
; G-BDAT ;BAC 1-11-518FG One-Eleven;; 25 Feb 1975 ; 12 Nov 1992 ;G-BDAT British Air Ferries ;;;
; G-BEKA ;BAC 1-11-520FN One-Eleven;; 10 Oct 1979 ; 6 Nov 1992 ;G-BEKA British Air Ferries ;;;
; G-BJMV ;BAC 1-11-531FS One-Eleven;; 26 Nov 1981 ; 2 Nov 1992 ;G-BJMV British Air Ferries ;;;
; G-BJYL ;BAC 1-11-515FB One-Eleven;; 26 Mar 1982 ; 12 Nov 1992 ;G-BJYL British Air Ferries ;;;
; G-BJYM ;BAC 1-11-531FS One-Eleven;; 7 May 1982 ; 30 Oct 1992 ;G-BJYM British Air Ferries ;;;
; G-BSYN ;BAC 1-11-509EW One-Eleven;; 9 Apr 1990 ; 28 Oct 1990 ;EI-CCW Ryanair ;;;
; G-TARO ;BAC 1-11-525FT One-Eleven;; 28 Mar 1984 ; 24 Dec 1985 ;YR-BCO TAROM ;lsf TAROM ;;
; G-BICV ;Boeing 737-2L9(A);; May 1981 ; 6 Nov 1983 ;C6-BEX Bahamasair ;lsd ;;
; G-BJXJ ;Boeing 737-219(A); Y130 ; 5 Mar 1982 ; 29 Oct 1987 ;G-BJXJ Britannia Airways ;lsd ;;
; G-BJXL ;Boeing 737-2T4(A);; 29 Apr 1986 ; 1 Nov 1986 ;N702ML Midway Airlines ;lsd ;;
; G-BKAP ;Boeing 737-2L9(A);; 27 Apr 1982 ; 1 Nov 1983 ;G-BKAP Orion Airways ;lsf Maersk Air ;;
; G-BKNH ;Boeing 737-210(A); Y130 ; 30 Apr 1987 ; 19 Mar 1993 ;PK-RIJ Mandala Airlines ;Highland Prospect, lsf Chemco Equipment Leasing ;;
; G-BLDE ;Boeing 737-2E7(A);; 22 Apr 1984 ; 15 Mar 1993 ;PK-RII Mandala Airlines ;;;
; G-BMDF ;Boeing 737-2E7(A);; 27 Mar 1984 ; 2 Nov 1992 ;G-BMDF Ryanair ;;;
; G-WGEL ;Boeing 737-2U4(A);; 5 Jul 1988 ; 14 Nov 1993 ;VT-SIB Sahara Airlines ;;;
; G-BNNJ ;Boeing 737-3Q8;; 11 Feb 1988 ; 7 Nov 1992 ;G-BNNJ British Airways ;lsd ;;
; G-BOWR ;Boeing 737-3Q8;; 1 Feb 1992 ; 7 Nov 1992 ;G-BOWR British Airways ;lsd ;;
; G-SCUH ;Boeing 737-3Q8;; 2 May 1985 ; 7 Nov 1992 ;G-SCUH British Airways ;lsd ;;
; G-BNNK ;Boeing 737-4Q8;; 30 Nov 1988 ; 27 Nov 1992 ;G-BNNK British Airways ;lsd ;;
; G-BNNL ;Boeing 737-4Q8;; 26 Jan 1989 ; 27 Nov 1992 ;G-BNNL British Airways ;lsd ;;
; G-BPNZ ;Boeing 737-4Q8;; 30 May 1990 ; 7 Nov 1992 ;G-BPNZ British Airways ;lsf ILFC ;;
