;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;;
; N101DU ;Airbus A220-100; C12Y97 ; 25 Oct 2018 ;; 8101 ; 3.4 Years ;;;
; N102DU ;Airbus A220-100; C12Y97 ; 17 Dec 2018 ;; 8102 ; 3.2 Years ;;;
; N103DU ;Airbus A220-100; C12Y97 ; 7 Dec 2018 ;; 8103 ; 3.3 Years ;;;
; N104DU ;Airbus A220-100; C12Y97 ; 31 Dec 2018 ;; 8104 ; 3.2 Years ;;;
; N105DU ;Airbus A220-100; C12Y97 ; 15 Feb 2019 ;; 8105 ; 3.1 Years ;;;
; N106DU ;Airbus A220-100; C12Y97 ; 22 Feb 2019 ;; 8106 ; 3.1 Years ;;;
; N107DU ;Airbus A220-100; C12Y97 ; 1 Mar 2019 ; Parked ; 8107 ; 3 Years ;;;
; N108DQ ;Airbus A220-100; C12Y97 ; 26 Apr 2019 ;; 8108 ; 2.9 Years ;;;
; N109DU ;Airbus A220-100; C12Y97 ; 13 Mar 2019 ; Parked ; 8109 ; 3 Years ;;;
; N110DU ;Airbus A220-100; C12Y97 ; 28 Mar 2019 ;; 8110 ; 3 Years ;;;
; N111NG ;Airbus A220-100; C12Y97 ; 6 Jun 2019 ;; 8111 ; 2.8 Years ;;;
; N112DU ;Airbus A220-100; C12Y97 ; 18 Apr 2019 ;; 8112 ; 2.9 Years ;;;
; N113DQ ;Airbus A220-100; C12Y97 ; 20 May 2019 ;; 8113 ; 2.8 Years ;;;
; N114DU ;Airbus A220-100; C12Y97 ; 30 May 2019 ;; 8114 ; 2.8 Years ;;;
; N115DU ;Airbus A220-100; C12Y97 ; 18 Jun 2019 ;; 8115 ; 2.7 Years ;;;
; N116DU ;Airbus A220-100; C12Y97 ; 20 Jun 2019 ;; 8116 ; 2.7 Years ;;;
; N117DU ;Airbus A220-100; C12Y97 ; 25 Jun 2019 ;; 8117 ; 2.7 Years ;;;
; N118DU ;Airbus A220-100; C12Y97 ; 28 Jun 2019 ;; 8118 ; 2.7 Years ;;;
; N119DU ;Airbus A220-100; C12Y97 ; 12 Jul 2019 ;; 8119 ; 2.7 Years ;;;
; N120DU ;Airbus A220-100; C12Y97 ; 25 Jul 2019 ;; 8120 ; 2.6 Years ;;;
; N121DU ;Airbus A220-100; C12Y97 ; 9 Aug 2019 ;; 8121 ; 2.6 Years ;;;
; N122DU ;Airbus A220-100; C12Y97 ; 29 Aug 2019 ;; 8122 ; 2.5 Years ;;;
; N123DQ ;Airbus A220-100; C12Y97 ; 16 Sep 2019 ;; 8123 ; 2.5 Years ;;;
; N124DU ;Airbus A220-100; C12Y97 ; 23 Sep 2019 ;; 8124 ; 2.5 Years ;;;
; N125DU ;Airbus A220-100; C12Y97 ; 30 Sep 2019 ;; 8125 ; 2.4 Years ;;;
; N126DU ;Airbus A220-100; C12Y97 ; 10 Oct 2019 ;; 8126 ; 2.4 Years ;;;
; N127DU ;Airbus A220-100; C12Y97 ; 30 Oct 2019 ;; 8127 ; 2.4 Years ;;;
; N128DU ;Airbus A220-100; C12Y97 ; 21 Nov 2019 ;; 8128 ; 2.3 Years ;;;
; N129DU ;Airbus A220-100; C12Y97 ; 24 Jan 2020 ;; 8129 ; 2.1 Years ;;;
; N130DU ;Airbus A220-100; C12Y97 ; 28 Feb 2020 ;; 8130 ; 2 Years ;;;
; N131DU ;Airbus A220-100; C12Y97 ; 6 Mar 2020 ;; 8131 ; 2 Years ;;;
; N132DU ;Airbus A220-100; C12Y97 ; 21 Oct 2020 ;; 8132 ; 2 Years ;;;
; N133DU ;Airbus A220-100; C12Y97 ; 22 Oct 2020 ;; 8133 ; 2 Years ;;;
; N134DU ;Airbus A220-100; C12Y97 ; 28 Oct 2020 ;; 8134 ; 1.9 Years ;;;
; N135DQ ;Airbus A220-100; C12Y97 ; 28 Oct 2020 ;; 8135 ; 1.7 Years ;;;
; N136DQ ;Airbus A220-100; C12Y97 ; 28 Oct 2020 ;; 8136 ; 1.6 Years ;;;
; N137DU ;Airbus A220-100; C12Y97 ; 29 Oct 2020 ;; 8137 ; 1.4 Years ;;;
; N138DU ;Airbus A220-100; C12Y97 ; 23 Oct 2020 ;; 8138 ; 1.4 Years ;;;
; N139DU ;Airbus A220-100; C12Y97 ; 4 Feb 2021 ;; 8139 ; 1.1 Years ;;;
; N140DU ;Airbus A220-100; C12Y97 ; 29 Jan 2021 ;; 8140 ; 1.2 Years ;;;
; N141DU ;Airbus A220-100; C12Y97 ; 8 Mar 2021 ;; 8141 ; 1 Years ;;;
; N142DU ;Airbus A220-100; C12Y97 ; 17 Feb 2022 ; Parked ; 8142 ; 0.1 Years ;;;
; N143DU ;Airbus A220-100; C12Y97 ; 31 Jan 2022 ;; 8143 ; 0.1 Years ;;;
; N144DU ;Airbus A220-100; C12Y97 ; On Order ;; 8144 ;;;;
; N145DQ ;Airbus A220-100; C12Y97 ; On Order ;; 8145 ;;;;
; N ;Airbus A220-100; C12Y97 ; On Order ;;;;;;
; N301DU ;Airbus A220-300; C12Y118 ; 18 Mar 2021 ;; 8301 ; 1 Years ;;;
; N302DU ;Airbus A220-300; C12Y118 ; 22 Oct 2020 ;; 8302 ; 1.7 Years ;;;
; N303DU ;Airbus A220-300; C12Y118 ; 26 Oct 2020 ;; 8303 ; 1.6 Years ;;;
; N304DU ;Airbus A220-300; C12Y118 ; 30 Oct 2020 ;; 8304 ; 1.4 Years ;;;
; N305DU ;Airbus A220-300; C12Y118 ; 30 Oct 2020 ;; 8305 ; 1.4 Years ;;;
; N306DU ;Airbus A220-300; C12Y118 ; 8 Dec 2020 ;; 8306 ; 1.3 Years ;;;
; N307DU ;Airbus A220-300; C12Y118 ; 29 Jan 2021 ;; 8307 ; 1.1 Years ;;;
; N308DU ;Airbus A220-300; C12Y118 ; 13 Apr 2021 ;; 8308 ; 0.9 Years ;;;
; N309DU ;Airbus A220-300; C12Y118 ; 9 Jun 2021 ;; 8309 ; 0.8 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;;
; N310DU ;Airbus A220-300; C12Y118 ; 15 Dec 2021 ;; 8310 ; 0.2 Years ;;;
; N311DU ;Airbus A220-300;; On Order ;;;;;;
; N301NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ; Parked SAL, lsd ; 3101 ; 22.6 Years ;;;
; N302NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ; Parked VCV, lsd ; 3102 ; 22.6 Years ;;;
; N314NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ; Parked ; 3114 ; 22 Years ;;;
; N315NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3115 ; 21.8 Years ;;;
; N316NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3116 ; 21.7 Years ;;;
; N317NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3117 ; 21.5 Years ;;;
; N318NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3118 ; 21.5 Years ;;;
; N319NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3119 ; 21.4 Years ;;;
; N320NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3120 ; 21.2 Years ;;;
; N321NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ; Parked ; 3121 ; 21.1 Years ;;;
; N322NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3122 ; 21.1 Years ;;;
; N323NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3123 ; 21 Years ;;;
; N324NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3124 ; 21 Years ;;;
; N325NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3125 ; 20.9 Years ;;;
; N326NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3126 ; 20.8 Years ;;;
; N327NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3127 ; 20.8 Years ;;;
; N328NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3128 ; 20.8 Years ;;;
; N329NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3129 ; 20.7 Years ;;;
; N330NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3130 ; 20.7 Years ;;;
; N331NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3131 ; 20.6 Years ;;;
; N332NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3132 ; 20.6 Years ;;;
; N333NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3133 ; 20.5 Years ;;;
; N334NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3134 ; 20.2 Years ;;;
; N335NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3135 ; 20.2 Years ;;;
; N336NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3136 ; 20.1 Years ;;;
; N337NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3137 ; 20.1 Years ;;;
; N338NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3138 ; 20 Years ;;;
; N339NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3139 ; 20 Years ;;;
; N340NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ; Parked ; 3140 ; 20 Years ;;;
; N341NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3141 ; 19.9 Years ;;;
; N342NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3142 ; 19.8 Years ;;;
; N343NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3143 ; 19.8 Years ;;;
; N344NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3144 ; 19.7 Years ;;;
; N345NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3145 ; 19.7 Years ;;;
; N346NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3146 ; 19.5 Years ;;;
; N347NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3147 ; 19.6 Years ;;;
; N348NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3148 ; 19.5 Years ;;;
; N349NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3149 ; 19.5 Years ;;;
; N351NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3151 ; 19.5 Years ;;;
; N352NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3152 ; 19.5 Years ;;;
; N353NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3153 ; 19.4 Years ;;;
; N354NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3154 ; 19.4 Years ;;;
; N355NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3155 ; 19.4 Years ;;;
; N357NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3157 ; 19.3 Years ;;;
; N358NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3158 ; 19.2 Years ;;;
; N359NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3159 ; 19.1 Years ;;;
; N360NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3160 ; 19 Years ;;;
; N361NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3161 ; 18.9 Years ;;;
; N362NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ; Parked VCV ; 3162 ; 18.8 Years ;;;
; N363NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3163 ; 18.8 Years ;;;
; N364NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3164 ; 18.7 Years ;;;
; N365NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3165 ; 18.6 Years ;;;
; N366NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3166 ; 18.6 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;;
; N368NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3168 ; 18.5 Years ;;;
; N369NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3169 ; 18.5 Years ;;;
; N370NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ;; 3170 ; 18.3 Years ;;;
; N371NB ;Airbus A319-114; C12Y120 ; 29 Oct 2008 ; Parked ; 3171 ; 18.3 Years ;;;
; N309US ;Airbus A320-211; C16Y141 ; 29 Oct 2008 ; Parked ; 3209 ; 31.6 Years ;;;
; N312US ;Airbus A320-211; C16Y141 ; 29 Oct 2008 ;; 3212 ; 31.2 Years ;;;
; N317US ;Airbus A320-211; C16Y141 ; 29 Oct 2008 ;; 3217 ; 30.9 Years ;;;
; N319US ;Airbus A320-211; C16Y141 ; 29 Oct 2008 ;; 3219 ; 30.8 Years ;;;
; N320US ;Airbus A320-211; C16Y141 ; 29 Oct 2008 ;; 3220 ; 30.8 Years ;;;
; N321US ;Airbus A320-211; C16Y141 ; 29 Oct 2008 ;; 3221 ; 30.4 Years ;;;
; N325US ;Airbus A320-211; C16Y141 ; 29 Oct 2008 ; Parked ; 3225 ; 30.2 Years ;;;
; N326US ;Airbus A320-211; C16Y141 ; 29 Oct 2008 ;; 3226 ; 30.2 Years ;;;
; N329NW ;Airbus A320-211; C16Y141 ; 29 Oct 2008 ; Parked ; 3229 ; 30 Years ;;;
; N331NW ;Airbus A320-211; C16Y141 ; 29 Oct 2008 ;; 3231 ; 29.9 Years ;;;
; N332NW ;Airbus A320-211; C16Y141 ; 29 Oct 2008 ;; 3232 ; 29.9 Years ;;;
; N333NW ;Airbus A320-211; C16Y141 ; 29 Oct 2008 ;; 3233 ; 29.8 Years ;;;
; N334NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ; Parked ; 3234 ; 29.8 Years ;;;
; N335NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ;; 3235 ; 29.7 Years ;;;
; N336NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ;; 3236 ; 29.6 Years ;;;
; N337NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ;; 3237 ; 29.5 Years ;;;
; N338NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ;; 3238 ; 29.5 Years ;;;
; N339NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ;; 3239 ; 29.5 Years ;;;
; N340NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ;; 3240 ; 29.4 Years ;;;
; N341NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ;; 3241 ; 29.3 Years ;;;
; N342NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ;; 3242 ; 29.3 Years ;;;
; N343NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ;; 3243 ; 29.3 Years ;;;
; N344NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ;; 3244 ; 29.3 Years ;;;
; N345NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ;; 3245 ; 29.1 Years ;;;
; N347NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ;; 3247 ; 29.1 Years ;;;
; N348NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ;; 3248 ; 29 Years ;;;
; N349NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ; Parked ; 3249 ; 29 Years ;;;
; N350NA ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ;; 3250 ; 29 Years ;;;
; N351NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ;; 3251 ; 24.2 Years ;;;
; N352NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ;; 3252 ; 24.1 Years ;;;
; N353NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ;; 3253 ; 24.1 Years ;;;
; N354NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ;; 3254 ; 24 Years ;;;
; N355NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ;; 3255 ; 24 Years ;;;
; N356NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ;; 3256 ; 23.9 Years ;;;
; N357NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ;; 3257 ; 23.8 Years ;;;
; N358NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ;; 3258 ; 23.8 Years ;;;
; N359NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ; Parked ; 3259 ; 23.7 Years ;;;
; N360NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ;; 3260 ; 23.4 Years ;;;
; N361NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ;; 3261 ; 23.4 Years ;;;
; N362NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ; Parked ; 3262 ; 23.3 Years ;;;
; N363NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ;; 3263 ; 23.3 Years ;;;
; N364NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ;; 3264 ; 23.1 Years ;;;
; N365NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ;; 3265 ; 23.1 Years ;;;
; N366NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ;; 3266 ; 23 Years ;;;
; N367NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ;; 3267 ; 23 Years ;;;
; N368NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ; Parked ; 3268 ; 22.9 Years ;;;
; N369NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ; Parked ; 3269 ; 22.8 Years ;;;
; N370NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ; Parked ; 3270 ; 22.7 Years ;;;
; N371NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ;; 3271 ; 20.7 Years ;;;
; N372NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ;; 3272 ; 20.4 Years ;;;
; N373NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ;; 3273 ; 20.3 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;;
; N374NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ;; 3274 ; 20.3 Years ;;;
; N375NC ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ;; 3275 ; 19.9 Years ;;;
; N376NW ;Airbus A320-212; C16Y141 ; 29 Oct 2008 ; Parked ; 3276 ; 19.8 Years ;;;
; N377NW ;Airbus A320-211; C16Y141 ; 29 Oct 2008 ;; 3277 ; 18.6 Years ;;;
; N378NW ;Airbus A320-211; C16Y141 ; 29 Oct 2008 ;; 3278 ; 18.5 Years ;;;
; N101DQ ;Airbus A321-211(WL); C20Y171 ; 13 Feb 2020 ;; 1001 ; 2.1 Years ;;;
; N102DN ;Airbus A321-211(WL); C20Y171 ; 12 Mar 2020 ;; 1002 ; 2 Years ;;;
; N103DY ;Airbus A321-211(WL); C20Y171 ; 28 Aug 2020 ;; 1003 ; 2 Years ;;;
; N104DN ;Airbus A321-211(WL); C20Y171 ; 28 Aug 2020 ;; 1004 ; 1.8 Years ;;;
; N105DX ;Airbus A321-211(WL); C20Y171 ; 25 Sep 2020 ;lsd ; 1005 ; 1.6 Years ;;;
; N106DN ;Airbus A321-211(WL); C20Y171 ; 9 Oct 2020 ;; 1006 ; 1.7 Years ;;;
; N107DN ;Airbus A321-211(WL); C20Y171 ; 13 Nov 2020 ;; 1007 ; 1.5 Years ;;;
; N108DN ;Airbus A321-211(WL); C20Y171 ; 17 Mar 2021 ;lsd ; 1008 ; 1 Years ;;;
