;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; D-CDIA ;Saab 340A;; 5 Nov 1986 ; 1 Apr 1992 ;D-CDIA Deutsche BA ;;;
; D-CDIB ;Saab 340A;; 6 Dec 1986 ; 1 Apr 1992 ;D-CDIB Deutsche BA ;;;
; D-CDIC ;Saab 340A;; 30 Mar 1988 ; 1 Apr 1992 ;D-CDIC Deutsche BA ;lsf Deutsche Leasing ;;
; D-CDID ;Saab 340A;; 8 Jul 1988 ; 1 Apr 1992 ;D-CDID Deutsche BA ;lsf Deutsche Leasing ;;
; D-CDIG ;Saab 340A;; 1 Apr 1991 ; 1 Apr 1992 ;D-CDIG Deutsche BA ;;;
; D-CDIH ;Saab 340A;; 6 Sep 1991 ; 1 Apr 1992 ;D-CDIH Deutsche BA ;;;
; D-CDIJ ;Saab 340A;; 2 Jan 1992 ; 1 Apr 1992 ;D-CDIJ Deutsche BA ;;;
; D-CDIE ;Saab Fairchild 340A; Y33 ; 27 Dec 1989 ; 1 Apr 1992 ;D-CDIE Deutsche BA ;;;
; D-CDIF ;Saab Fairchild 340A; Y33 ; Apr 1990 ; 1 Apr 1992 ;D-CDIF Deutsche BA ;;;
; HB-AHD ;Saab Fairchild 340A; Y33 ; 25 Mar 1990 ; 5 Apr 1990 ;HB-AHD Crossair ;lsf Crossair ;;
