;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; UR-DNJ ;Boeing 737-36Q; Y148 ; 24 Oct 2008 ; Jun 2011 ;UR-DNJ AeroSvit Airlines ;lsd ;;
; UR-IVK ;Boeing 737-3L9; Y148 ; 8 Sep 2006 ;; Stored ;;;
; UR-KIV ;Boeing 737-4Y0; Y150 ; 3 Aug 2004 ; 18 Jul 2012 ;UR-KIV AeroSvit Airlines ;;;
; UR-DNC ;Boeing 737-5L9; Y126 ; 13 Nov 2007 ; 22 Mar 2013 ;UR-GBB Ukraine International Airlines ;;;
; UR-DND ;Boeing 737-5L9; Y126 ; 11 Jan 2008 ; 24 Apr 2013 ;UR-GBC Ukraine International Airlines ;;;
; UR-DNH ;Boeing 737-5Y0; Y126 ; 1 Jul 2008 ;; Stored ;;;
; UR-DNM ;Boeing 767-322ER; F10C30Y150 ; 31 Mar 2009 ; 29 Apr 2010 ;UR-DNM AeroSvit Airlines ;lsd ;;
; UR-DNA ;Embraer ERJ-145EU; Y49 ; 30 Aug 2007 ;; Stored ;;;
; UR-DNB ;Embraer ERJ-145EU; Y49 ; 30 Aug 2007 ; 25 May 2017 ;UR-DNB Windrose Airlines ;;;
; UR-DNE ;Embraer ERJ-145EU; Y49 ; 4 Jan 2008 ;; Stored ;;;
; UR-DNF ;Embraer ERJ-145EU; Y49 ; 31 Jan 2008 ; 6 Jun 2017 ;UR-DNF Windrose Airlines ;;;
; UR-DNG ;Embraer ERJ-145EP; Y49 ; 29 Apr 2008 ; 1 Jun 2017 ;UR-DNG Windrose Airlines ;;;
; UR-DNI ;Embraer ERJ-145EP; Y49 ; 24 Jul 2008 ;; Stored ;;;
; UR-DNK ;Embraer ERJ-145EP; Y49 ; 9 Jul 2008 ; 28 Apr 2011 ; Written Off ;;;
; UR-DNL ;Embraer ERJ-145EU; Y49 ; 23 Jul 2008 ;; Stored ;;;
; UR-DNN ;Embraer ERJ-145LR; Y48 ; 11 Apr 2010 ;; Stored ;;;
; UR-DNO ;Embraer ERJ-145EP; Y49 ; 14 Oct 2008 ;; Stored ;;;
; UR-DNP ;Embraer ERJ-145EP; Y49 ; 10 Nov 2008 ; 26 Oct 2017 ;UR-DNP Windrose Airlines ;;;
; UR-DNQ ;Embraer ERJ-145EP; Y49 ; 23 Dec 2008 ;; Stored ;;;
; UR-DNR ;Embraer ERJ-145LR; Y48 ; 20 Apr 2010 ; 6 Jun 2017 ;UR-DNR Windrose Airlines ;;;
; UR-DNS ;Embraer ERJ-145LR; Y48 ; 7 May 2010 ;; Stored ;;;
; UR-DNT ;Embraer ERJ-145LR; Y48 ; 15 Oct 2013 ; 1 Jun 2017 ;UR-DNT Windrose Airlines ;;;
; UR-DNU ;Embraer ERJ-145LR; Y48 ; 8 Jun 2010 ; 29 Jun 2021 ;N40FX TVPX Trust Services ;;;
; UR-DNV ;Embraer ERJ-145LR; Y48 ; 8 Jul 2010 ; 26 Nov 2012 ;N38FX Exodus Aircraft LLC ;;;
; UR-DNW ;Embraer ERJ-145LR; Y48 ; 4 Aug 2010 ;; Stored ;;;
; UR-DNX ;Embraer ERJ-145LR; Y48 ; 20 Aug 2010 ; 9 Jun 2011 ;SE-RAF City Airline ;;;
; UR-DNY ;Embraer ERJ-145LR; Y48 ; 2 Sep 2010 ; 30 Jan 2014 ;F-HFKC Enhance Aero Group ;;;
; UR-DNZ ;Embraer ERJ-145LR; Y48 ; 24 Sep 2010 ; 16 Oct 2017 ;N37FX Exodus Aircraft LLC ;;;
; UR-DPA ;Embraer ERJ-145LR; Y48 ; 10 Feb 2011 ; 16 Oct 2017 ;N36FX Exodus Aircraft LLC ;Retro cs ;;
; UR-DPB ;Embraer ERJ-145LR; Y48 ; 19 Nov 2010 ; 26 Oct 2017 ;UR-DPB Windrose Airlines ;;;
