;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; D-AEAA ;Airbus A300B4-622R(F); Cargo ; 27 Jan 2016 ;; 27.4 Years ;;
; D-AEAB ;Airbus A300B4-622R(F); Cargo ; 18 Nov 2013 ;; 19.6 Years ;;
; D-AEAC ;Airbus A300B4-622R(F); Cargo ; 18 Jun 2013 ;"No.1 Best Workplace" sticker ; 31.1 Years ;;
; D-AEAD ;Airbus A300B4-622R(F); Cargo ; 24 Apr 2013 ;; 30.5 Years ;;
; D-AEAE ;Airbus A300B4-622R(F); Cargo ; 25 Oct 2012 ;; 27 Years ;;
; D-AEAF ;Airbus A300B4-622R(F); Cargo ; 18 Oct 2013 ;; 19.7 Years ;;
; D-AEAG ;Airbus A300B4-622R(F); Cargo ; 30 Nov 2011 ;; 30.4 Years ;;
; D-AEAH ;Airbus A300B4-622R(F); Cargo ; 21 Dec 2012 ;; 24.1 Years ;;
; D-AEAI ;Airbus A300B4-622R(F); Cargo ; 27 Feb 2013 ;; 29.8 Years ;;
; D-AEAJ ;Airbus A300B4-622R(F); Cargo ; 8 Apr 2013 ;; 29.8 Years ;;
; D-AEAK ;Airbus A300B4-622R(F); Cargo ; 3 Jul 2012 ;; 29.3 Years ;;
; D-AEAL ;Airbus A300B4-622R(F); Cargo ; 26 Mar 2012 ;; 29.2 Years ;;
; D-AEAM ;Airbus A300B4-622R(F); Cargo ; 20 Dec 2013 ;; 22.3 Years ;;
; D-AEAN ;Airbus A300B4-622R(F); Cargo ; 22 Aug 2012 ;; 28.7 Years ;;
; D-AEAO ;Airbus A300B4-622R(F); Cargo ; 18 Oct 2011 ;; 28.4 Years ;;
; D-AEAP ;Airbus A300B4-622R(F); Cargo ; 2 Feb 2012 ;; 28 Years ;;
; D-AEAQ ;Airbus A300B4-622R(F); Cargo ; 26 Jul 2012 ; Parked ; 28 Years ;;
; D-AEAR ;Airbus A300B4-622R(F); Cargo ; 17 Sep 2012 ;; 28 Years ;;
; D-AEAS ;Airbus A300B4-622R(F); Cargo ; 3 Jul 2012 ; Parked ; 27.4 Years ;;
; D-AEAT ;Airbus A300B4-622R(F); Cargo ; 23 May 2012 ;; 27.6 Years ;;
; D-AZMK ;Airbus A300B4-622R(F); Cargo ; 17 Jan 2020 ;"DHL Rainbow logo" sticker ; 29.1 Years ;;
; D-AZMO ;Airbus A300F4-622R; Cargo ; 20 Apr 2015 ;; 15.6 Years ;;
; D-ALEJ ;Airbus A330-243F; Cargo ; 28 May 2019 ;; 5 Years ;;
; D-ALMA ;Airbus A330-243F; Cargo ; 14 Aug 2018 ;; 7.7 Years ;;
; D-ALMD ;Airbus A330-243F; Cargo ; 6 Sep 2018 ;; 11.5 Years ;;
; D-ACVG ;Airbus A330-343(P2F); Cargo ; 7 May 2021 ;; 11.9 Years ;;
; D-AJFK ;Airbus A330-343(P2F); Cargo ; 4 Oct 2021 ;"No.1 Best Workplace" sticker ; 8.3 Years ;;
; D-ALEN ;Boeing 757-2Q8(PCF); Cargo ; 2 Dec 2015 ;; 23.3 Years ;;
; D-ALEO ;Boeing 757-2Q8(PCF); Cargo ; 26 Feb 2016 ;; 23.5 Years ;;
; D-ALEP ;Boeing 757-2Q8(PCF)(WL); Cargo ; 29 Dec 2015 ;; 20 Years ;;
; D-ALEQ ;Boeing 757-2Q8(PCF); Cargo ; 13 May 2016 ;; 26.5 Years ;;
; D-ALER ;Boeing 757-2Q8(PCF); Cargo ; 21 Sep 2016 ;; 27.4 Years ;;
; D-ALES ;Boeing 757-2Q8(PCF); Cargo ; 29 Jun 2016 ;; 23.5 Years ;;
; D-ALET ;Boeing 757-28A(PCF); Cargo ; 18 Mar 2019 ;; 22.9 Years ;;
; D-ALEU ;Boeing 757-23N(PCF)(WL); Cargo ; 29 Mar 2019 ; Parked, lsd ; 23.2 Years ;;
; D-ALEV ;Boeing 757-28A(PCF); Cargo ; 28 Mar 2019 ;; 25.5 Years ;;
