;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; N603KW ;Boeing 767-246;; 5 Jul 2018 ;; 603 ; 36.6 Years ;;
; N604KW ;Boeing 767-233;; 31 Aug 2018 ;; 604 ; 33.5 Years ;;
; N605KW ;Boeing 767-266ER;; Jun 2019 ;; 605 ; 37.5 Years ;;
; N606KW ;Boeing 767-233;; 15 Oct 2020 ; Parked ; 606 ; 33.1 Years ;;
; N225NE ;Boeing 767-323ER;; 2 Dec 2020 ;lsf New England Patriots ;; 30.4 Years ;;
; N700KW ;Boeing 767-336ER;; 10 Aug 2018 ;; 700 ; 30 Years ;;
; N703KW ;Boeing 767-336ER;; 16 Jun 2018 ;; 703 ; 30.9 Years ;;
; N705KW ;Boeing 767-336ER;; 21 Jun 2018 ;; 705 ; 30.9 Years ;;
; N706KW ;Boeing 767-336ER;; 7 Jun 2018 ;; 706 ; 31.7 Years ;;
; N771KW ;Boeing 777-212ER;; 29 May 2020 ; Parked MCI ; 771 ; 20 Years ;;
; N783KW ;Boeing 777-2U8ER;; 15 Oct 2020 ; Parked ; 783 ; 16.7 Years ;;
; N821JT ;Boeing 777-2H6ER;; 15 Oct 2020 ; Parked ;; 24.7 Years ;;
; N822KW ;Boeing 777-212ER; Preighter ; Due ; Stored ;; 19.7 Years ;;
; N826KW ;Boeing 777-212ER; Preighter ; Due ; Stored ; 826 ; 21 Years ;;
; N827KW ;Boeing 777-212ER; Preighter ; Due ; Stored ; 827 ; 20.6 Years ;;
; N829KW ;Boeing 777-212ER; Preighter ; Due ; Stored ; 829 ; 20.6 Years ;;
; N834KW ;Boeing 777-312;; Due ; Stored ;; 19.4 Years ;;
; N775KW ;Boeing 777-381ER;; 8 Feb 2022 ; Parked ; 775 ; 17.5 Years ;;
; N776KW ;Boeing 777-381ER;; 3 Feb 2022 ; Parked ;; 15.4 Years ;;
