;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; VH-TQG ;De Havilland Canada DHC-8-201 Dash 8; Y36 ; 24 Feb 1996 ;opf QantasLink ; 26.1 Years ;;
; VH-TQS ;De Havilland Canada DHC-8-202 Dash 8; Y36 ; 27 Mar 1998 ;opf QantasLink ; 26.2 Years ;;
; VH-TQX ;De Havilland Canada DHC-8-202Q Dash 8; Y36 ; 17 Mar 2000 ;opf QantasLink ; 25.3 Years ;;
; VH-SBB ;De Havilland Canada DHC-8-315Q Dash 8; Y50 ; 27 Jan 2009 ;opf QantasLink ; 22.4 Years ;;
; VH-SBG ;De Havilland Canada DHC-8-315Q Dash 8; Y50 ; 18 Jan 2011 ;opf QantasLink ; 21 Years ;;
; VH-SBI ;De Havilland Canada DHC-8-315Q Dash 8; Y50 ; 7 Aug 2006 ;opf QantasLink ; 17.4 Years ;;
; VH-SBJ ;De Havilland Canada DHC-8-315Q Dash 8; Y50 ; 17 Jul 2012 ;opf QantasLink ; 20.3 Years ;;
; VH-SBT ;De Havilland Canada DHC-8-315Q Dash 8; Y50 ; 21 May 2009 ;opf QantasLink ; 20.3 Years ;;
; VH-SBV ;De Havilland Canada DHC-8-315Q Dash 8; Y50 ; 18 Jan 2011 ; Parked, opf QantasLink ; 19.3 Years ;;
; VH-SBW ;De Havilland Canada DHC-8-315Q Dash 8; Y50 ; 13 Jul 2009 ;opf QantasLink ; 18.3 Years ;;
; VH-SCE ;De Havilland Canada DHC-8-315Q Dash 8; Y50 ; 1 Jun 2006 ;opf QantasLink ; 18 Years ;;
; VH-TQD ;De Havilland Canada DHC-8-315Q Dash 8; Y50 ; 19 Jan 2004 ;opf QantasLink ; 18.7 Years ;;
; VH-TQE ;De Havilland Canada DHC-8-315Q Dash 8; Y50 ; 24 Jul 2003 ;opf QantasLink ; 19.3 Years ;;
; VH-TQH ;De Havilland Canada DHC-8-315Q Dash 8; Y50 ; 15 Aug 2003 ; Parked, opf QantasLink ; 18.7 Years ;;
; VH-TQK ;De Havilland Canada DHC-8-315Q Dash 8; Y50 ; 11 Feb 2004 ;opf QantasLink ; 18.2 Years ;;
; VH-TQL ;De Havilland Canada DHC-8-315Q Dash 8; Y50 ; 22 Jul 2004 ;opf QantasLink ; 18 Years ;;
; VH-TQM ;De Havilland Canada DHC-8-315Q Dash 8; Y50 ; 13 Aug 2004 ;opf QantasLink ; 17.8 Years ;;
; VH-TQY ;De Havilland Canada DHC-8-315Q Dash 8; Y50 ; 24 Oct 2000 ;opf QantasLink ; 21.5 Years ;;
; VH-TQZ ;De Havilland Canada DHC-8-315Q Dash 8; Y50 ; 29 Nov 2000 ;opf QantasLink ; 21.4 Years ;;
