;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; HK-5199 ;ATR 42-500; Y50 ; 26 Sep 2016 ;lsd ; 15.6 Years ;;
; HK-5266 ;ATR 42-500; Y48 ; 21 Aug 2018 ;lsd ; 14.4 Years ;;
; HK-5282 ;ATR 42-600; Y48 ; 16 Aug 2018 ;lsd ; 6.3 Years ;;
; HK-5310 ;ATR 42-600; Y48 ; 11 Mar 2019 ;lsd ; 5.3 Years ;;
; HK-5313 ;ATR 42-600; Y48 ; 8 Apr 2019 ;lsd ; 3.2 Years ;;
; HK-5314 ;ATR 42-600; Y50 ; 18 May 2019 ;; 2.8 Years ;;
; HK-5315 ;ATR 42-600; Y48 ; 17 Apr 2019 ;lsd ; 3.2 Years ;;
; HK-5321 ;ATR 42-600; Y50 ; 11 May 2019 ;; 2.8 Years ;;
; HK-5331 ;ATR 42-600; Y50 ; 28 Aug 2019 ;; 2.5 Years ;;
; HK-5341 ;ATR 42-600; Y50 ; 29 Nov 2019 ;; 2.3 Years ;;
; HK-5349 ;ATR 42-600; Y50 ; 31 Dec 2019 ;; 2.2 Years ;;
; HK-5351 ;ATR 42-600;; 30 Jul 2021 ;; 1.8 Years ;;
; HK-5354 ;ATR 42-600;; On Order ;lsd ; 2.2 Years ;;
; HK-5391 ;ATR 42-600;; 28 Dec 2021 ;lsd ; 4.6 Years ;;
; HK-5292 ;ATR 72-600 (72-212A); Y70 ; 12 Dec 2018 ;Casanare ; 3.6 Years ;;
; HK-5293 ;ATR 72-600 (72-212A); Y70 ; 30 Oct 2018 ;;;;
; HK-5294 ;ATR 72-600 (72-212A); Y70 ; 13 Dec 2018 ;; 3.6 Years ;;
; HK-5322 ;ATR 72-600 (72-212A); Y70 ; 18 May 2019 ;; 2.8 Years ;;
; HK-5347 ;ATR 72-600 (72-212A); Y70 ; 12 Dec 2019 ;; 2.2 Years ;;
; HK-5398 ;ATR 72-600 (72-212A);; Due ; Stored, lsd ; 10 Years ;;
; HK-5399 ;ATR 72-600 (72-212A);; Due ; Stored, lsd ; 10.3 Years ;;
