;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; HC-BRA ;Airbus A310-324;; 26 Sep 1991 ; 14 Jun 1993 ;F-OGQY Uzbekistan Airways ;Ciudad de Guayaquil, lsf Widebody Finance Ltd ;;
; HC-BRB ;Airbus A310-324;; 27 Sep 1991 ; 2 Jul 1993 ;F-OGQZ Uzbekistan Airways ;Ciudad de Quito, lsf Widebody Finance Ltd ;;
; PP-SFH ;Airbus A310-304;; 23 Oct 1997 ; 12 Jan 2001 ;N238TR RGF Holding Corp. ;;;
; N238TA ;Boeing 737-242(A);; 20 Aug 1993 ; Sep 1993 ;N238TA LACSA Lineas Aéreas Costarricenses ;lsf LACSA Lineas Aéreas Costarricenses ;;
; N8148A ;Douglas DC-8-33(F); Cargo ; 23 Jul 1979 ; 25 Sep 1979 ;N8148A Intercontinental Airways ;lsf Intercontinental Airways ;;
; JY-AGH ;Lockheed L-1011-385-3 TriStar 500;; 10 Jul 1986 ; 15 Dec 1986 ;JY-AGH Royal Jordanian ;lsf ALIA - The Royal Jordanian Airline ;;
; HC-AMS ;Lockheed L-188A Electra;; 11 Mar 1967 ; Mar 1975 ; Scrapped ;;;
; HC-ANQ ;Lockheed L-188A Electra;; 21 Dec 1967 ; Mar 1975 ; Scrapped ;;;
; HC-AQF ;Lockheed L-188A Electra;; 25 Jul 1969 ; May 1972 ; Scrapped ;;;
; HC-AVX ;Lockheed L-188C Electra;; 7 Sep 1971 ; 6 Mar 1972 ;N359AC F. B. Ayer & Associates ;lsd ;;
; HC-AYL ;Lockheed L-188A Electra;; 11 Jun 1972 ; 21 Mar 1973 ;N5017K International Air Leases (IAL) ;lsd ;;
; HC-AZJ ;Lockheed L-188C Electra;; Dec 1973 ; 6 Aug 1974 ;HC-AZJ TAME ;lsd ;;
; N278AC ;Lockheed L-188A Electra;; Jun 1974 ; Oct 1974 ;HC-AZL TAME ;lsd ;;
; N7138C ;Lockheed L-188A Electra;; 1 Dec 1972 ; 31 Jan 1973 ;N7138C California Airmotive ;lsd ;;
; PP-SFB ;McDonnell Douglas DC-10-30;; Nov 1996 ;; Scrapped ;lsf VASP ;;
