;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; N7164 ;Bombardier CRJ-100ER (CL-600-2B19); Y50 ; 19 Mar 2021 ;lsd ; 25 Years ;;
; N114WF ;Bombardier CRJ-200ER(SF) (CL-600-2B19);; 21 Oct 2021 ;lsd ; 21.3 Years ;;
; N155MW ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 14 Mar 2015 ;; 28.7 Years ;;
; N258PS ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 11 Dec 2021 ;lsd ; 17.8 Years ;;
; N321EA ;Bombardier CRJ-200LR (CL-600-2B19); Y50 ; 2 Oct 2019 ;lsd ; 21.1 Years ;;
; N92EA ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 10 Dec 2013 ; Parked LEW, lsd ; 19.2 Years ;;
; N96EA ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 13 Nov 2013 ; Parked LEW, 96, lsd ; 19.5 Years ;;
; N11EA ;Bombardier CRJ-701ER (CL-600-2C10);; 4 Jun 2015 ;; 19.9 Years ;;
; N900EA ;Bombardier CRJ-900LR (CL-600-2D24);; 22 Jan 2021 ;lsd ; 15.4 Years ;;
; N903EA ;Bombardier CRJ-900LR (CL-600-2D24);; 2 Jul 2021 ;lsd ; 15.7 Years ;;
; N905EA ;Bombardier CRJ-900LR (CL-600-2D24);; 31 Aug 2021 ; Parked TUS, lsd ; 15.7 Years ;;
