;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; OO-LTJ ;Boeing 737-3M8; Y142 ; 30 Mar 1992 ; 19 Jan 1996 ;OO-LTJ Air Provence Charter ;;;
; OO-LTL ;Boeing 737-3M8;; 1995 ; 27 Oct 1996 ;OO-LTL Virgin Express ;lsd ;;
; OO-LTM ;Boeing 737-3M8;; 21 Oct 1993 ; 4 Jan 1996 ;F-GLTM Air Provence Charter ;;;
; OO-LTO ;Boeing 737-33A; Y142 ; 23 Apr 1995 ; 14 Dec 1995 ;F-GRSA Star Europe ;lsd ;;
; OO-LTP ;Boeing 737-33A; Y142 ; 9 Feb 1993 ; 31 Mar 1993 ;OO-LTP EBA France ;lsd ;;
; OO-LTU ;Boeing 737-33A; Y142 ; 4 Apr 1995 ; 1 Aug 1996 ;OO-LTU Virgin Express ;lsd ;;
; OO-LTV ;Boeing 737-3Y0;; 2 Feb 1996 ; 28 Jan 1997 ;OO-LTV Virgin Express ;lsd ;;
; OO-LTW ;Boeing 737-33A; Y142 ; 15 Apr 1995 ; 12 Oct 1996 ;OO-LTW Virgin Express ;lsd ;;
; OO-LTX ;Boeing 737-3Q8;; 2 May 1995 ; 31 Oct 1995 ;CS-TGP SATA International ;lsd ;;
; OO-LTY ;Boeing 737-3Y0;; 28 Feb 1996 ; 18 Oct 1996 ;OO-LTY Virgin Express ;lsd ;;
; SE-DTA ;Boeing 737-3Q8;; 1 May 1996 ; 3 Nov 1996 ;SE-DTA Nordic European Airlines ;lsf Nordic European Airlines ;;
; OO-LTQ ;Boeing 737-436;; 28 Apr 1994 ; 15 Oct 1996 ;G-DOCY British Airways ;lsf British Airways ;;
; OO-LTR ;Boeing 737-4S3;; 14 Jan 1993 ; 1 Nov 1995 ;EC-997 Futura ;lsd ;;
; OO-LTS ;Boeing 737-436; Y164 ; 1 Apr 1994 ; 2 Feb 1996 ;OO-LTS Air Provence Charter ;lsf British Airways ;;
; OO-LTT ;Boeing 737-4Q8;; 5 May 1994 ; 26 Oct 1994 ;N631LF ILFC ;lsd ;;
; OO-SBN ;Boeing 737-4Y0;; 2 Nov 1995 ; 27 Aug 1996 ;OO-SBN Virgin Express ;lsd ;;
