;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; 5B-DBB ;Airbus A320-231;; 4 Mar 1992 ; Apr 2003 ;5B-DBB Cyprus Airways ;lsf Cyprus Airways ;;
; 5B-DBC ;Airbus A320-231;; 31 Mar 1992 ; 13 Apr 2003 ;5B-DBC Cyprus Airways ;;;
; 5B-DBD ;Airbus A320-231;; 5 Mar 1993 ; 25 Feb 2002 ;5B-DBD Cyprus Airways ;lsf Cyprus Airways ;;
; 5B-DBJ ;Airbus A320-231;; 16 Feb 2001 ; 15 Jul 2003 ;I-LING Wind Jet ;lsd ;;
; 5B-DBK ;Airbus A320-231;; 2 Mar 2001 ; 1 Jul 2003 ;XA-TXT Mexicana ;lsd ;;
; 5B-DBR ;Boeing 737-8Q8(WL); Y189 ; 12 Apr 2007 ; 3 Nov 2010 ;N364LF ILFC ;Eypos, lsd ;;
; 5B-DBU ;Boeing 737-8Q8(WL); Y189 ; 28 Feb 2003 ; 2 Nov 2010 ;N641LF ILFC ;Zephyros, lsd ;;
; 5B-DBV ;Boeing 737-8Q8(WL); Y189 ; 19 Mar 2003 ; 4 Nov 2010 ;N651LF ILFC ;Levantes, lsd ;;
; 5B-DBX ;Boeing 737-8Q8(WL); Y189 ; 22 Apr 2010 ; 2 Nov 2010 ;N371LF ILFC ;Grecos, lsd ;;
; 5B-DBZ ;Boeing 737-8BK(WL); Y189 ; 16 Jun 2006 ; 4 Nov 2010 ;4X-EKT El Al Israel Airlines ;Notos, lsd ;;
; C-GLBW ;Boeing 737-8Q8(WL); Y189 ; 25 May 2010 ; 4 Nov 2010 ;N858AM Aeromexico ;Maistros, lsf Sunwing Airlines ;;
