;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; LZ-LAA ;Airbus A320-231; Y180 ; 19 Apr 2021 ;; 30.3 Years ;;
; LZ-LAB ;Airbus A320-231; Y180 ; 19 Apr 2021 ;; 30.3 Years ;;
; LZ-LAC ;Airbus A320-231; Y180 ; 19 Apr 2021 ;; 30.1 Years ;;
; LZ-LAD ;Airbus A320-231; Y180 ; 19 Apr 2021 ;; 29.6 Years ;;
; LZ-LAE ;Airbus A320-231; Y180 ; 19 Apr 2021 ;; 30.4 Years ;;
; LZ-LAG ;Airbus A320-231; Y180 ; 19 Apr 2021 ;; 29.9 Years ;;
; LZ-LDJ ;McDonnell Douglas MD-82 (DC-9-82); Y164 ; 19 Apr 2021 ;; 27.1 Years ;;
; LZ-LDK ;McDonnell Douglas MD-82 (DC-9-82); Y164 ; 19 Apr 2021 ; Parked ; 34.8 Years ;;
; LZ-LDM ;McDonnell Douglas MD-82 (DC-9-82); Y164 ; 19 Apr 2021 ;; 27.2 Years ;;
; LZ-LDN ;McDonnell Douglas MD-82 (DC-9-82); Y164 ; 19 Apr 2021 ;; 29 Years ;;
; LZ-LDP ;McDonnell Douglas MD-82 (DC-9-82); Y164 ; 19 Apr 2021 ;; 31.5 Years ;;
; LZ-LDS ;McDonnell Douglas MD-82 (DC-9-82); Y164 ; 19 Apr 2021 ;; 28.9 Years ;;
; LZ-LDT ;McDonnell Douglas MD-82 (DC-9-82); Y164 ; 19 Apr 2021 ;; 30.5 Years ;;
; LZ-LDU ;McDonnell Douglas MD-82 (DC-9-82); Y164 ; 19 Apr 2021 ;; 29.7 Years ;;
; LZ-LDW ;McDonnell Douglas MD-82 (DC-9-82); Y164 ; 19 Apr 2021 ;; 32.5 Years ;;
