;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; OE-LYU ;Airbus A319-132; Y150 ; 15 Mar 2018 ;; 8.9 Years ;;
; OE-LYV ;Airbus A319-132; Y150 ; 15 Mar 2018 ;; 10 Years ;;
; OE-LYW ;Airbus A319-132; Y150 ; 15 Mar 2018 ;; 10.1 Years ;;
; OE-LYX ;Airbus A319-132; Y150 ; 15 Nov 2017 ;; 11.9 Years ;;
; OE-LYY ;Airbus A319-132; Y150 ; 26 Jun 2017 ; Parked ; 11.9 Years ;;
; OE-LYZ ;Airbus A319-132; Y150 ; 19 Jun 2017 ;; 12 Years ;;
; D-ABFO ;Airbus A320-214; Y180 ; 20 Dec 2017 ; Parked ; 11.1 Years ;;
; D-ABFP ;Airbus A320-214; Y180 ; 27 Sep 2021 ; Parked ; 11 Years ;;
; D-ABFR ;Airbus A320-214; Y180 ; 20 Dec 2017 ;; 11 Years ;;
; D-ABHN ;Airbus A320-214; Y180 ; 20 Dec 2017 ; Parked ; 11.7 Years ;;
; D-AEUD ;Airbus A320-214; Y180 ; 13 Sep 2021 ;; 12.8 Years ;;
; D-AEUE ;Airbus A320-214; Y180 ; 8 Oct 2021 ;; 12.1 Years ;;
; D-AEUH ;Airbus A320-214; Y180 ; 20 Sep 2021 ; Parked ; 11.8 Years ;;
; OE-IEU ;Airbus A320-214(WL); Y180 ; 20 Jul 2016 ;; 6.1 Years ;;
; OE-IEW ;Airbus A320-214(WL); Y180 ; 30 May 2016 ;; 5.8 Years ;;
; OE-IQA ;Airbus A320-214(WL); Y180 ; 24 Oct 2016 ;; 6 Years ;;
; OE-IQB ;Airbus A320-214(WL); Y180 ; 5 Jan 2017 ;; 6 Years ;;
; OE-IQC ;Airbus A320-214(WL); Y180 ; 1 Mar 2017 ;; 6 Years ;;
; OE-IQD ;Airbus A320-214(WL); Y180 ; 10 Apr 2017 ; Parked ; 5.9 Years ;;
