;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; OH-LVC ;Airbus A319-112; CY138 ; 31 Aug 2000 ;; 21.5 Years ;;;
; OH-LVD ;Airbus A319-112; CY138 ; 31 Oct 2000 ;oneworld cs ; 21.4 Years ;;;
; OH-LVH ;Airbus A319-112; CY138 ; 6 Nov 2002 ;; 22 Years ;;;
; OH-LVI ;Airbus A319-112; CY138 ; 26 Mar 2003 ;; 21.3 Years ;;;
; OH-LVK ;Airbus A319-112; CY138 ; 26 Mar 2004 ;lsd ; 18.1 Years ;;;
; OH-LVL ;Airbus A319-112; CY138 ; 2 Sep 2004 ;; 17.7 Years ;;;
; OH-LXA ;Airbus A320-214; CY174 ; 27 Feb 2001 ; Parked LDE ; 21.1 Years ;;;
; OH-LXB ;Airbus A320-214; CY174 ; 28 May 2001 ; Parked LDE ; 20.9 Years ;;;
; OH-LXC ;Airbus A320-214; CY174 ; 7 Sep 2001 ;; 20.6 Years ;;;
; OH-LXD ;Airbus A320-214; CY174 ; 30 Oct 2001 ;; 20.5 Years ;;;
; OH-LXF ;Airbus A320-214; CY174 ; 28 Feb 2002 ;lsd ; 20.1 Years ;;;
; OH-LXH ;Airbus A320-214; CY174 ; 16 Jan 2003 ; Parked PRG, lsd ; 19.3 Years ;;;
; OH-LXI ;Airbus A320-214; CY174 ; 5 May 2003 ; Parked LDE, lsd ; 19 Years ;;;
; OH-LXK ;Airbus A320-214; CY174 ; 16 Sep 2003 ;lsd ; 18.6 Years ;;;
; OH-LXL ;Airbus A320-214; CY174 ; 19 Dec 2003 ;; 18.3 Years ;;;
; OH-LXM ;Airbus A320-214; CY174 ; 6 Feb 2004 ;; 18.2 Years ;;;
; OH-LZA ;Airbus A321-211; CY209 ; 28 Jan 1999 ; Parked CHR, lsd ; 23.1 Years ;;;
; OH-LZB ;Airbus A321-211; CY209 ; 4 Mar 1999 ; Parked PRG, lsd ; 23 Years ;;;
; OH-LZC ;Airbus A321-211; CY209 ; 8 Mar 2000 ; Parked PRG, lsd ; 22 Years ;;;
; OH-LZD ;Airbus A321-211; CY209 ; 9 Jun 2000 ; Parked PRG, lsd ; 21.8 Years ;;;
