;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; OH-ATA ;ATR 42-500; Y48 ; 30 Nov 2005 ; Sep 2011 ;VQ-BPE NordStar Airlines ;;;
; OH-ATB ;ATR 42-500; Y48 ; 28 Feb 2006 ; 30 Oct 2011 ;OH-ATB Flybe Nordic ;;;
; OH-ATC ;ATR 42-500; Y48 ; 6 Oct 2006 ; 30 Oct 2011 ;OH-ATC Flybe Nordic ;;;
; OH-ATD ;ATR 42-500; Y48 ; 21 Dec 2006 ; 30 Oct 2011 ;OH-ATD Flybe Nordic ;;;
; EI-REL ;ATR 72-500 (72-212A); Y72 ; 20 Jan 2008 ; Aug 2008 ;EI-REL Aer Arann ;lsf Aer Arann ;;
; OH-ATE ;ATR 72-500 (72-212A); Y68 ; 30 Jan 2007 ; 30 Oct 2011 ;OH-ATE Flybe Nordic ;lsd ;;
; OH-ATF ;ATR 72-500 (72-212A); Y68 ; 15 Mar 2007 ; 30 Oct 2011 ;OH-ATF Flybe Nordic ;lsd ;;
; OH-ATG ;ATR 72-500 (72-212A); Y68 ; 11 Oct 2007 ; 30 Oct 2011 ;OH-ATG Flybe Nordic ;lsd ;;
; OH-ATH ;ATR 72-500 (72-212A); Y68 ; 15 Nov 2007 ; 30 Oct 2011 ;OH-ATH Flybe Nordic ;lsd ;;
; OH-ATI ;ATR 72-500 (72-212A); Y68 ; 30 May 2008 ; 30 Oct 2011 ;OH-ATI Flybe Nordic ;lsd ;;
; OH-ATJ ;ATR 72-500 (72-212A); Y68 ; 23 Oct 2008 ; 30 Oct 2011 ;OH-ATJ Flybe Nordic ;lsd ;;
; OH-ATK ;ATR 72-500 (72-212A); Y72 ; 9 Oct 2009 ; 30 Oct 2011 ;OH-ATK Flybe Nordic ;lsd ;;
; OH-ATL ;ATR 72-500 (72-212A); Y68 ; 16 Dec 2009 ; 30 Oct 2011 ;OH-ATL Flybe Nordic ;lsd ;;
; OH-ATM ;ATR 72-500 (72-212A); Y72 ; 13 May 2011 ; 30 Oct 2011 ;OH-ATM Flybe Nordic ;lsd ;;
; OH-ATN ;ATR 72-500 (72-212A); Y72 ; 23 Sep 2011 ; 30 Oct 2011 ;OH-ATN Flybe Nordic ;lsd ;;
; OH-EBE ;Embraer ERJ-145LU; Y49 ; 25 Oct 2003 ; 24 Jun 2010 ;PR-PSJ Passaredo Transportes Aereos ;;;
; OH-EBF ;Embraer ERJ-145LU; Y50 ; 8 Feb 2005 ; 19 Apr 2010 ;PR-PSK Passaredo Transportes Aereos ;lsd ;;
; OH-LEI ;Embraer ERJ-170STD (ERJ-170-100); CY76 ; 16 Nov 2009 ; 30 Oct 2011 ;OH-LEI Flybe Nordic ;lsd ;;
; OH-LEK ;Embraer ERJ-170STD (ERJ-170-100); CY76 ; 11 Feb 2010 ; 30 Oct 2011 ;OH-LEK Flybe Nordic ;lsd ;;
