;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; N717UA ;Douglas DC-8-33(F); Cargo ; 25 Nov 1980 ; Sep 1983 ;N717UA CAM Air International ;lsd ;;
; N280F ;Lockheed L-188A(F) Electra; Cargo ; 19 Jul 1974 ; 6 Jul 1977 ; Written Off ;lsd ;;
; N402GN ;Lockheed L-188C(F) Electra; Cargo ; Sep 1980 ; 1 Sep 1983 ;N402GN CAM Air International ;Karen Debra ;;
; N405GN ;Lockheed L-188A(PF) Electra; Passenger/Cargo ; 20 Nov 1980 ; 1 Sep 1983 ;N405GN CAM Air International ;lsd ;;
; N664F ;Lockheed L-188A(F) Electra; Cargo ; 10 Mar 1978 ; 1 Sep 1983 ;N664F CAM Air International ;Donna Jean ;;
; N665F ;Lockheed L-188A(F) Electra; Cargo ; 15 Oct 1977 ; 1 Sep 1983 ;N665F CAM Air International ;lsd ;;
; N666F ;Lockheed L-188A(F) Electra; Cargo ; 3 Mar 1975 ; 1 Sep 1983 ;N666F CAM Air International ;lsd ;;
; N667F ;Lockheed L-188C(F) Electra; Cargo ; Aug 1976 ; 1 Sep 1983 ;N667F CAM Air International ;Debbie Ann ;;
; N668F ;Lockheed L-188C(F) Electra; Cargo ; Nov 1977 ; 1 Sep 1983 ;N668F CAM Air International ;lsd ;;
; N669F ;Lockheed L-188A(F) Electra; Cargo ; 22 Nov 1980 ; 1 Sep 1983 ;N669F CAM Air International ;Brean Nicole, lsd ;;
