;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; TC-FLE ;Airbus A300B2K-3C;; 9 May 2003 ; Sep 2006 ; Scrapped ;;;
; TC-FLJ ;Airbus A300B2K-3C;; Mar 2005 ; Jan 2006 ;TC-FLJ Saudi Arabian Airlines ;;;
; TC-FLM ;Airbus A300B2K-3C;; Feb 2006 ; Sep 2006 ; Preserved ;;;
; TC-SGA ;Airbus A300B2K-3C;; 14 Dec 2004 ; 22 Mar 2005 ;TC-SGA Onur Air ;lsf Saga Airlines ;;
; TC-FLA ;Airbus A300B4-203;; Jul 2003 ; Dec 2004 ;TC-FLA Saudi Arabian Airlines ;;;
; TC-FLF ;Airbus A300B4-2C;; 24 Feb 2006 ; 24 Feb 2006 ; Scrapped ;;;
; TC-FLG ;Airbus A300B4-2C;; 31 Jul 2004 ; Sep 2006 ; Scrapped ;;;
; TC-FLK ;Airbus A300B4-2C;; 30 Apr 2005 ; 16 Sep 2005 ;TC-FLK Saudi Arabian Airlines ;;;
; TC-FLL ;Airbus A300B4-2C(SCD);; 24 Aug 2005 ; Jun 2007 ;EP-IBJ Iran Air ;;;
; TC-FLH ;Boeing 737-3Q8;; 7 Oct 2003 ; 19 Oct 2005 ;N737FA Jetscape ;lsd ;;
; TC-FLI ;Boeing 737-4Q8;; 4 Feb 2004 ; 4 Jan 2005 ;N240MC Jetscape ;lsd ;;
; TC-APN ;Boeing 737-86N; Y189 ; Oct 2004 ; Jan 2005 ;TC-APN Pegasus ;lsf Pegasus ;;
; TC-FLB ;Boeing 757-236;; 28 Apr 2003 ; 9 Mar 2004 ;N241CV WFBN Wells Fargo Bank Northwest ;;;
; TC-FLC ;Boeing 757-27B;; 7 May 2003 ; 24 Mar 2004 ;N136CV WFBN Wells Fargo Bank Northwest ;;;
; TC-FLD ;Boeing 757-256;; 23 May 2003 ; 29 May 2003 ;TC-FLD Sudan Airways ;lsd ;;
; TC-FLR ;Embraer ERJ-145EP;; 27 Sep 2005 ; 1 Jul 2006 ;EI-DKH ECC Leasing Company ;lsd ;;
; YR-MDM ;McDonnell Douglas MD-82 (DC-9-82);; May 2006 ; Jul 2006 ;YR-MDM Jetran Air ;lsf Jetran Air ;;
; TC-AKN ;McDonnell Douglas MD-83 (DC-9-83);; 11 Aug 2006 ; 5 Oct 2006 ;TC-AKN World Focus Airways ;lsf World Focus Airways ;;
; TC-FLN ;McDonnell Douglas MD-83 (DC-9-83);; 30 Apr 2005 ; 15 Mar 2006 ;LZ-LDG Bulgarian Air Charter ;;;
; TC-FLO ;McDonnell Douglas MD-83 (DC-9-83);; May 2005 ; Feb 2007 ;LZ-LDH Bulgarian Air Charter ;;;
